Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jacob Gilyard,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with John Konchar,Shared Games with Kennedy Chandler,Shared Games with Kenneth Lofton Jr.,Shared Games with Santi Aldama,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Brandon Clarke,Danny Green,David Roddy,Desmond Bane,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,John Konchar,Kennedy Chandler,Kenneth Lofton Jr.,Santi Aldama,Tyus Jones,Vince Williams Jr.,Xavier Tillman Sr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with John Konchar,co_inf with Kennedy Chandler,co_inf with Kenneth Lofton Jr.,co_inf with Santi Aldama,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,29-091,MEM,NYK,1.0,32.53333333333333,1.0,2.0,0.5,0.0,0.0,,1.0,4.0,0.25,6.0,8.0,14.0,3.0,1.0,1.0,1.0,1.0,3.0,9.8,-1.0,2.0,1.0,0.5,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,15.0,87.0,5.4375,9.4,81.99999999999999,5.124999999999999,0.0376551580264942,W (+3),W (+3)
2.0,2.0,2022-10-21,29-093,MEM,HOU,1.0,33.25,3.0,4.0,0.75,0.0,0.0,,0.0,2.0,0.0,2.0,7.0,9.0,2.0,0.0,2.0,0.0,5.0,6.0,7.9,23.0,4.0,3.0,0.75,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,13.0,75.0,4.6875,7.899999999999999,93.5,5.84375,0.0376551580264942,W (+7),W (+7)
3.0,3.0,2022-10-22,29-094,MEM,DAL,1.0,22.316666666666663,1.0,3.0,0.333,0.0,0.0,,0.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,4.0,3.0,1.0,2.0,2.2,-30.0,3.0,1.0,0.3333333333333333,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,4.0,38.0,2.375,2.2,48.6,3.0375,0.0376551580264942,L (-41),L (-41)
4.0,4.0,2022-10-24,29-096,MEM,BRK,1.0,31.266666666666666,3.0,5.0,0.6,0.0,0.0,,3.0,6.0,0.5,4.0,9.0,13.0,2.0,1.0,1.0,0.0,2.0,9.0,13.3,20.0,5.0,3.0,0.6,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,15.0,69.0,4.3125,12.099999999999996,85.69999999999999,5.356249999999999,0.0376551580264942,W (+10),W (+10)
5.0,5.0,2022-10-27,29-099,MEM,SAC,1.0,23.883333333333333,6.0,9.0,0.667,0.0,0.0,,0.0,3.0,0.0,7.0,4.0,11.0,4.0,0.0,0.0,4.0,4.0,12.0,10.2,2.0,9.0,6.0,0.6666666666666666,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,11.0,92.0,5.75,10.2,86.89999999999999,5.43125,0.0376551580264942,W (+15),W (+15)
6.0,6.0,2022-10-29,29-101,MEM,UTA,1.0,19.216666666666665,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,,5.0,5.0,10.0,1.0,1.0,1.0,4.0,4.0,2.0,2.8,11.0,2.0,1.0,0.5,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,9.0,91.0,5.6875,2.799999999999999,89.5,5.59375,0.0376551580264942,L (-1),L (-1)
7.0,7.0,2022-10-31,29-103,MEM,UTA,1.0,18.516666666666666,1.0,4.0,0.25,0.0,0.0,,0.0,1.0,0.0,2.0,7.0,9.0,1.0,1.0,1.0,4.0,1.0,2.0,0.7,-11.0,4.0,1.0,0.25,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,5.0,32.0,2.0,0.7000000000000002,58.89999999999999,3.68125,0.0376551580264942,L (-16),L (-16)
8.0,8.0,2022-11-02,29-105,MEM,POR,1.0,33.61666666666667,6.0,9.0,0.667,0.0,0.0,,2.0,3.0,0.667,4.0,7.0,11.0,5.0,0.0,2.0,1.0,2.0,14.0,17.7,-6.0,9.0,6.0,0.6666666666666666,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,19.0,69.0,4.3125,16.9,66.69999999999999,4.168749999999999,0.0376551580264942,W (+5),W (+5)
9.0,9.0,2022-11-04,29-107,MEM,CHO,1.0,21.73333333333333,6.0,10.0,0.6,0.0,0.0,,1.0,2.0,0.5,11.0,8.0,19.0,4.0,2.0,2.0,2.0,2.0,13.0,21.5,31.0,10.0,6.0,0.6,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,26.0,84.0,5.25,21.1,89.1,5.56875,0.0376551580264942,W (+31),W (+31)
10.0,10.0,2022-11-06,29-109,MEM,WAS,1.0,22.183333333333334,2.0,2.0,1.0,0.0,0.0,,0.0,0.0,,5.0,5.0,10.0,1.0,0.0,0.0,1.0,3.0,4.0,6.9,9.0,2.0,2.0,1.0,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,12.0,50.0,3.125,6.9,66.39999999999999,4.15,0.0376551580264942,W (+6),W (+6)
11.0,,2022-11-07,29-110,MEM,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,,81.0,5.0625,0.0,75.3,4.70625,0.0376551580264942,L (-3),L (-3)
12.0,11.0,2022-11-09,29-112,MEM,SAS,1.0,37.43333333333333,3.0,4.0,0.75,0.0,0.0,,1.0,2.0,0.5,10.0,9.0,19.0,2.0,1.0,1.0,6.0,3.0,7.0,10.6,5.0,4.0,3.0,0.75,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,18.0,69.0,4.3125,10.199999999999996,77.50000000000001,4.843750000000001,0.0376551580264942,W (+2),W (+2)
13.0,12.0,2022-11-11,29-114,MEM,MIN,1.0,26.85,1.0,3.0,0.333,0.0,0.0,,1.0,4.0,0.25,5.0,4.0,9.0,3.0,1.0,1.0,1.0,4.0,3.0,6.0,6.0,3.0,1.0,0.3333333333333333,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,9.0,66.0,4.125,5.6,80.39999999999998,5.024999999999999,0.0376551580264942,W (+11),W (+11)
14.0,13.0,2022-11-13,29-116,MEM,WAS,1.0,29.383333333333333,6.0,8.0,0.75,0.0,0.0,,0.0,0.0,,6.0,4.0,10.0,6.0,1.0,0.0,3.0,5.0,12.0,14.4,4.0,8.0,6.0,0.75,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,18.0,48.0,3.0,14.4,42.79999999999999,2.6749999999999994,0.0376551580264942,L (-10),L (-10)
15.0,14.0,2022-11-15,29-118,MEM,NOP,1.0,12.816666666666666,1.0,2.0,0.5,0.0,0.0,,0.0,2.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,-2.0,2.0,1.0,0.5,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,2.0,67.0,4.1875,-8.881784197001252e-16,68.7,4.29375,0.0376551580264942,L (-11),L (-11)
16.0,15.0,2022-11-18,29-121,MEM,OKC,1.0,25.3,3.0,3.0,1.0,0.0,0.0,,0.0,4.0,0.0,3.0,4.0,7.0,0.0,0.0,0.0,2.0,1.0,6.0,4.4,15.0,3.0,3.0,1.0,37,35,24,38,37,1,23,27,38,20,5,39,42,8,23,18,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,80.0,15.0,61.0,37.0,0.6607142857142857,0.0,0.5,0.4137931034482758,0.5205479452054794,0.6065573770491803,1.0,0.6571428571428571,0.4285714285714285,0.5277777777777778,0.5555555555555556,0.2083333333333333,0.5064935064935064,0.525,0.5333333333333333,0.3770491803278688,0.4864864864864865,59.0,73.0,0.0,0.0,16,4.0,85.0,5.3125,4.4,85.9,5.36875,0.0376551580264942,W (+11),W (+11)
