Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Danny Green,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jacob Gilyard,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with John Konchar,Shared Games with Kennedy Chandler,Shared Games with Kenneth Lofton Jr.,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Danny Green,David Roddy,Desmond Bane,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,John Konchar,Kennedy Chandler,Kenneth Lofton Jr.,Santi Aldama,Steven Adams,Tyus Jones,Vince Williams Jr.,Xavier Tillman Sr.,Ziaire Williams,co_inf with Danny Green,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with John Konchar,co_inf with Kennedy Chandler,co_inf with Kenneth Lofton Jr.,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,26-030,MEM,NYK,0.0,18.666666666666668,4.0,6.0,0.667,0.0,2.0,0.0,0.0,0.0,,2.0,4.0,6.0,0.0,0.0,0.0,1.0,4.0,8.0,5.4,-12.0,4.0,4.0,1.0,3,46,36,51,49,1,31,39,48,23,10,54,37,56,9,37,26,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.2727272727272727,0.6571428571428571,0.6206896551724138,0.6986301369863014,0.8032786885245902,1.0,0.8857142857142857,0.6190476190476191,0.6666666666666666,0.6388888888888888,0.4166666666666667,0.7012987012987013,0.8809523809523809,0.7,0.6,0.6065573770491803,0.7027027027027027,2,59.0,73.0,0.0338983050847457,0.0,18,7.0,95.0,5.277777777777778,5.4,94.2,5.233333333333333,20.0,4.5,2.5,0.8,1.8,0.0582038176697611,0.682,0.017,0.393,1.3,2.7,W (+3),W (+3)
2.0,2.0,2022-10-21,26-032,MEM,HOU,0.0,14.75,1.0,2.0,0.5,0.0,0.0,,2.0,4.0,0.5,1.0,3.0,4.0,2.0,0.0,1.0,2.0,2.0,4.0,3.1,-16.0,2.0,1.0,0.5,3,46,36,51,49,1,31,39,48,23,10,54,37,56,9,37,26,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.2727272727272727,0.6571428571428571,0.6206896551724138,0.6986301369863014,0.8032786885245902,1.0,0.8857142857142857,0.6190476190476191,0.6666666666666666,0.6388888888888888,0.4166666666666667,0.7012987012987013,0.8809523809523809,0.7,0.6,0.6065573770491803,0.7027027027027027,2,59.0,73.0,0.0338983050847457,0.0,18,3.0,85.0,4.722222222222222,2.3,103.5,5.75,20.0,4.5,2.5,0.8,1.8,0.0582038176697611,0.682,0.017,0.393,1.3,2.7,W (+7),W (+7)
3.0,3.0,2022-10-22,26-033,MEM,DAL,0.0,16.783333333333335,4.0,7.0,0.571,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,8.0,5.2,-2.0,7.0,4.0,0.5714285714285714,3,46,36,51,49,1,31,39,48,23,10,54,37,56,9,37,26,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.2727272727272727,0.6571428571428571,0.6206896551724138,0.6986301369863014,0.8032786885245902,1.0,0.8857142857142857,0.6190476190476191,0.6666666666666666,0.6388888888888888,0.4166666666666667,0.7012987012987013,0.8809523809523809,0.7,0.6,0.6065573770491803,0.7027027027027027,2,59.0,73.0,0.0338983050847457,0.0,18,5.0,37.0,2.055555555555556,5.199999999999999,41.9,2.327777777777777,20.0,4.5,2.5,0.8,1.8,0.0582038176697611,0.682,0.017,0.393,1.3,2.7,L (-41),L (-41)
4.0,4.0,2022-10-24,26-035,MEM,BRK,0.0,16.733333333333334,4.0,5.0,0.8,0.0,0.0,,5.0,6.0,0.833,0.0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,13.0,10.1,-10.0,5.0,4.0,0.8,3,46,36,51,49,1,31,39,48,23,10,54,37,56,9,37,26,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.2727272727272727,0.6571428571428571,0.6206896551724138,0.6986301369863014,0.8032786885245902,1.0,0.8857142857142857,0.6190476190476191,0.6666666666666666,0.6388888888888888,0.4166666666666667,0.7012987012987013,0.8809523809523809,0.7,0.6,0.6065573770491803,0.7027027027027027,2,59.0,73.0,0.0338983050847457,0.0,18,5.0,79.0,4.388888888888889,8.099999999999998,100.2,5.566666666666666,20.0,4.5,2.5,0.8,1.8,0.0582038176697611,0.682,0.017,0.393,1.3,2.7,W (+10),W (+10)
5.0,5.0,2022-10-27,26-038,MEM,SAC,0.0,22.55,6.0,8.0,0.75,0.0,1.0,0.0,4.0,5.0,0.8,0.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,16.0,17.1,11.0,7.0,6.0,0.8571428571428571,3,46,36,51,49,1,31,39,48,23,10,54,37,56,9,37,26,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.2727272727272727,0.6571428571428571,0.6206896551724138,0.6986301369863014,0.8032786885245902,1.0,0.8857142857142857,0.6190476190476191,0.6666666666666666,0.6388888888888888,0.4166666666666667,0.7012987012987013,0.8809523809523809,0.7,0.6,0.6065573770491803,0.7027027027027027,2,59.0,73.0,0.0338983050847457,0.0,18,11.0,92.0,5.111111111111111,15.5,87.0,4.833333333333333,20.0,4.5,2.5,0.8,1.8,0.0582038176697611,0.682,0.017,0.393,1.3,2.7,W (+15),W (+15)
6.0,6.0,2022-10-29,26-040,MEM,UTA,0.0,14.95,4.0,6.0,0.667,0.0,0.0,,0.0,0.0,,2.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,8.0,5.9,-6.0,6.0,4.0,0.6666666666666666,3,46,36,51,49,1,31,39,48,23,10,54,37,56,9,37,26,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.2727272727272727,0.6571428571428571,0.6206896551724138,0.6986301369863014,0.8032786885245902,1.0,0.8857142857142857,0.6190476190476191,0.6666666666666666,0.6388888888888888,0.4166666666666667,0.7012987012987013,0.8809523809523809,0.7,0.6,0.6065573770491803,0.7027027027027027,2,59.0,73.0,0.0338983050847457,0.0,18,6.0,94.0,5.222222222222222,5.9,92.89999999999998,5.16111111111111,20.0,4.5,2.5,0.8,1.8,0.0582038176697611,0.682,0.017,0.393,1.3,2.7,L (-1),L (-1)
7.0,7.0,2022-10-31,26-042,MEM,UTA,0.0,15.983333333333333,4.0,7.0,0.571,0.0,0.0,,0.0,2.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,8.0,6.5,-9.0,7.0,4.0,0.5714285714285714,3,46,36,51,49,1,31,39,48,23,10,54,37,56,9,37,26,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.2727272727272727,0.6571428571428571,0.6206896551724138,0.6986301369863014,0.8032786885245902,1.0,0.8857142857142857,0.6190476190476191,0.6666666666666666,0.6388888888888888,0.4166666666666667,0.7012987012987013,0.8809523809523809,0.7,0.6,0.6065573770491803,0.7027027027027027,2,59.0,73.0,0.0338983050847457,0.0,18,5.0,32.0,1.7777777777777777,6.5,58.29999999999999,3.2388888888888885,20.0,4.5,2.5,0.8,1.8,0.0582038176697611,0.682,0.017,0.393,1.3,2.7,L (-16),L (-16)
8.0,8.0,2022-11-02,26-044,MEM,POR,0.0,14.0,3.0,6.0,0.5,0.0,0.0,,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,6.0,2.8,9.0,6.0,3.0,0.5,3,46,36,51,49,1,31,39,48,23,10,54,37,56,9,37,26,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.2727272727272727,0.6571428571428571,0.6206896551724138,0.6986301369863014,0.8032786885245902,1.0,0.8857142857142857,0.6190476190476191,0.6666666666666666,0.6388888888888888,0.4166666666666667,0.7012987012987013,0.8809523809523809,0.7,0.6,0.6065573770491803,0.7027027027027027,2,59.0,73.0,0.0338983050847457,0.0,18,3.0,85.0,4.722222222222222,2.8,87.3,4.85,20.0,4.5,2.5,0.8,1.8,0.0582038176697611,0.682,0.017,0.393,1.3,2.7,W (+5),W (+5)
9.0,9.0,2022-11-04,26-046,MEM,CHO,0.0,15.916666666666666,4.0,7.0,0.571,0.0,0.0,,5.0,5.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,1.0,3.0,13.0,12.0,9.0,7.0,4.0,0.5714285714285714,3,46,36,51,49,1,31,39,48,23,10,54,37,56,9,37,26,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.2727272727272727,0.6571428571428571,0.6206896551724138,0.6986301369863014,0.8032786885245902,1.0,0.8857142857142857,0.6190476190476191,0.6666666666666666,0.6388888888888888,0.4166666666666667,0.7012987012987013,0.8809523809523809,0.7,0.6,0.6065573770491803,0.7027027027027027,2,59.0,73.0,0.0338983050847457,0.0,18,7.0,103.0,5.722222222222222,10.000000000000004,101.8,5.655555555555555,20.0,4.5,2.5,0.8,1.8,0.0582038176697611,0.682,0.017,0.393,1.3,2.7,W (+31),W (+31)
10.0,10.0,2022-11-06,26-048,MEM,WAS,0.0,21.4,7.0,8.0,0.875,0.0,0.0,,2.0,2.0,1.0,0.0,5.0,5.0,1.0,0.0,2.0,1.0,2.0,16.0,15.0,5.0,8.0,7.0,0.875,3,46,36,51,49,1,31,39,48,23,10,54,37,56,9,37,26,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.2727272727272727,0.6571428571428571,0.6206896551724138,0.6986301369863014,0.8032786885245902,1.0,0.8857142857142857,0.6190476190476191,0.6666666666666666,0.6388888888888888,0.4166666666666667,0.7012987012987013,0.8809523809523809,0.7,0.6,0.6065573770491803,0.7027027027027027,2,59.0,73.0,0.0338983050847457,0.0,18,13.0,49.0,2.7222222222222223,14.199999999999996,59.10000000000001,3.2833333333333337,20.0,4.5,2.5,0.8,1.8,0.0582038176697611,0.682,0.017,0.393,1.3,2.7,W (+6),W (+6)
