Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with Danny Green,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with John Konchar,Shared Games with Kennedy Chandler,Shared Games with Kenneth Lofton Jr.,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Brandon Clarke,Danny Green,David Roddy,Desmond Bane,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,John Konchar,Kennedy Chandler,Kenneth Lofton Jr.,Santi Aldama,Steven Adams,Tyus Jones,Vince Williams Jr.,Xavier Tillman Sr.,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with John Konchar,co_inf with Kennedy Chandler,co_inf with Kenneth Lofton Jr.,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-19,21-037,MEM,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,26,2,28,27,33,26,13,35,31,18,9,36,18,36,4,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,0.4642857142857143,0.1818181818181818,0.4,0.4655172413793103,0.4520547945205479,0.4262295081967213,0.0,0.3714285714285714,0.5555555555555556,0.4305555555555556,0.5,0.375,0.4675324675324675,0.4285714285714285,0.45,0.2666666666666666,0.4918032786885246,8,59.0,73.0,0.135593220338983,0.0,17,,102.0,6.0,0.0,92.4,5.435294117647059,0.0219046625638886,W (+3),W (+3)
2.0,,2022-10-21,21-039,MEM,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,26,2,28,27,33,26,13,35,31,18,9,36,18,36,4,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,0.4642857142857143,0.1818181818181818,0.4,0.4655172413793103,0.4520547945205479,0.4262295081967213,0.0,0.3714285714285714,0.5555555555555556,0.4305555555555556,0.5,0.375,0.4675324675324675,0.4285714285714285,0.45,0.2666666666666666,0.4918032786885246,8,59.0,73.0,0.135593220338983,0.0,17,,88.0,5.176470588235294,0.0,105.8,6.223529411764706,0.0219046625638886,W (+7),W (+7)
3.0,,2022-10-22,21-040,MEM,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,26,2,28,27,33,26,13,35,31,18,9,36,18,36,4,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,0.4642857142857143,0.1818181818181818,0.4,0.4655172413793103,0.4520547945205479,0.4262295081967213,0.0,0.3714285714285714,0.5555555555555556,0.4305555555555556,0.5,0.375,0.4675324675324675,0.4285714285714285,0.45,0.2666666666666666,0.4918032786885246,8,59.0,73.0,0.135593220338983,0.0,17,,42.0,2.4705882352941178,0.0,47.1,2.7705882352941176,0.0219046625638886,L (-41),L (-41)
4.0,,2022-10-24,21-042,MEM,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,26,2,28,27,33,26,13,35,31,18,9,36,18,36,4,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,0.4642857142857143,0.1818181818181818,0.4,0.4655172413793103,0.4520547945205479,0.4262295081967213,0.0,0.3714285714285714,0.5555555555555556,0.4305555555555556,0.5,0.375,0.4675324675324675,0.4285714285714285,0.45,0.2666666666666666,0.4918032786885246,8,59.0,73.0,0.135593220338983,0.0,17,,84.0,4.941176470588236,0.0,108.29999999999998,6.370588235294116,0.0219046625638886,W (+10),W (+10)
5.0,,2022-10-27,21-045,MEM,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,26,2,28,27,33,26,13,35,31,18,9,36,18,36,4,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,0.4642857142857143,0.1818181818181818,0.4,0.4655172413793103,0.4520547945205479,0.4262295081967213,0.0,0.3714285714285714,0.5555555555555556,0.4305555555555556,0.5,0.375,0.4675324675324675,0.4285714285714285,0.45,0.2666666666666666,0.4918032786885246,8,59.0,73.0,0.135593220338983,0.0,17,,103.0,6.0588235294117645,0.0,102.5,6.029411764705882,0.0219046625638886,W (+15),W (+15)
6.0,,2022-10-29,21-047,MEM,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,26,2,28,27,33,26,13,35,31,18,9,36,18,36,4,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,0.4642857142857143,0.1818181818181818,0.4,0.4655172413793103,0.4520547945205479,0.4262295081967213,0.0,0.3714285714285714,0.5555555555555556,0.4305555555555556,0.5,0.375,0.4675324675324675,0.4285714285714285,0.45,0.2666666666666666,0.4918032786885246,8,59.0,73.0,0.135593220338983,0.0,17,,100.0,5.882352941176471,0.0,98.8,5.811764705882353,0.0219046625638886,L (-1),L (-1)
7.0,,2022-10-31,21-049,MEM,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,26,2,28,27,33,26,13,35,31,18,9,36,18,36,4,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,0.4642857142857143,0.1818181818181818,0.4,0.4655172413793103,0.4520547945205479,0.4262295081967213,0.0,0.3714285714285714,0.5555555555555556,0.4305555555555556,0.5,0.375,0.4675324675324675,0.4285714285714285,0.45,0.2666666666666666,0.4918032786885246,8,59.0,73.0,0.135593220338983,0.0,17,,37.0,2.176470588235294,0.0,64.8,3.8117647058823527,0.0219046625638886,L (-16),L (-16)
8.0,,2022-11-02,21-051,MEM,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,26,2,28,27,33,26,13,35,31,18,9,36,18,36,4,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,0.4642857142857143,0.1818181818181818,0.4,0.4655172413793103,0.4520547945205479,0.4262295081967213,0.0,0.3714285714285714,0.5555555555555556,0.4305555555555556,0.5,0.375,0.4675324675324675,0.4285714285714285,0.45,0.2666666666666666,0.4918032786885246,8,59.0,73.0,0.135593220338983,0.0,17,,88.0,5.176470588235294,0.0,90.1,5.3,0.0219046625638886,W (+5),W (+5)
9.0,,2022-11-04,21-053,MEM,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,26,2,28,27,33,26,13,35,31,18,9,36,18,36,4,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,0.4642857142857143,0.1818181818181818,0.4,0.4655172413793103,0.4520547945205479,0.4262295081967213,0.0,0.3714285714285714,0.5555555555555556,0.4305555555555556,0.5,0.375,0.4675324675324675,0.4285714285714285,0.45,0.2666666666666666,0.4918032786885246,8,59.0,73.0,0.135593220338983,0.0,17,,110.0,6.470588235294118,0.0,111.8,6.576470588235294,0.0219046625638886,W (+31),W (+31)
10.0,,2022-11-06,21-055,MEM,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,26,2,28,27,33,26,13,35,31,18,9,36,18,36,4,30,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,0.4642857142857143,0.1818181818181818,0.4,0.4655172413793103,0.4520547945205479,0.4262295081967213,0.0,0.3714285714285714,0.5555555555555556,0.4305555555555556,0.5,0.375,0.4675324675324675,0.4285714285714285,0.45,0.2666666666666666,0.4918032786885246,8,59.0,73.0,0.135593220338983,0.0,17,,62.0,3.647058823529412,0.0,73.3,4.311764705882353,0.0219046625638886,W (+6),W (+6)
