Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with Danny Green,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Jacob Gilyard,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with John Konchar,Shared Games with Kennedy Chandler,Shared Games with Kenneth Lofton Jr.,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Brandon Clarke,Danny Green,David Roddy,Desmond Bane,Dillon Brooks,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,John Konchar,Kennedy Chandler,Kenneth Lofton Jr.,Santi Aldama,Steven Adams,Tyus Jones,Vince Williams Jr.,Xavier Tillman Sr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with John Konchar,co_inf with Kennedy Chandler,co_inf with Kenneth Lofton Jr.,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,23-070,MEM,NYK,1.0,37.88333333333333,11.0,24.0,0.458,3.0,6.0,0.5,9.0,11.0,0.818,1.0,3.0,4.0,9.0,0.0,1.0,6.0,4.0,34.0,21.8,1.0,18.0,8.0,0.4444444444444444,49,2,50,42,55,1,30,47,52,23,15,57,37,60,10,43,26,56.0,11.0,70.0,58.0,73.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.875,0.1818181818181818,0.7142857142857143,0.7241379310344828,0.7534246575342466,1.0,0.8571428571428571,0.746031746031746,0.7222222222222222,0.6388888888888888,0.625,0.7402597402597403,0.8809523809523809,0.75,0.6666666666666666,0.7049180327868853,0.7027027027027027,10,59.0,73.0,0.1694915254237288,0.0,18,7.0,95.0,5.277777777777778,18.200000000000003,81.39999999999999,4.522222222222222,23.3,6.0,5.7,5.2,0.5,0.1664754354855533,0.557,0.247,0.409,3.8,3.4,W (+3),W (+3)
2.0,2.0,2022-10-21,23-072,MEM,HOU,1.0,31.23333333333333,17.0,26.0,0.654,5.0,6.0,0.833,10.0,13.0,0.769,3.0,1.0,4.0,8.0,1.0,2.0,3.0,2.0,49.0,43.0,23.0,20.0,12.0,0.6,49,2,50,42,55,1,30,47,52,23,15,57,37,60,10,43,26,56.0,11.0,70.0,58.0,73.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.875,0.1818181818181818,0.7142857142857143,0.7241379310344828,0.7534246575342466,1.0,0.8571428571428571,0.746031746031746,0.7222222222222222,0.6388888888888888,0.625,0.7402597402597403,0.8809523809523809,0.75,0.6666666666666666,0.7049180327868853,0.7027027027027027,10,59.0,73.0,0.1694915254237288,0.0,18,22.0,66.0,3.6666666666666665,39.0,66.8,3.711111111111111,23.3,6.0,5.7,5.2,0.5,0.1664754354855533,0.557,0.247,0.409,3.8,3.4,W (+7),W (+7)
3.0,3.0,2022-10-22,23-073,MEM,DAL,1.0,29.516666666666666,6.0,12.0,0.5,0.0,2.0,0.0,8.0,8.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,3.0,3.0,20.0,13.9,-31.0,10.0,6.0,0.6,49,2,50,42,55,1,30,47,52,23,15,57,37,60,10,43,26,56.0,11.0,70.0,58.0,73.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.875,0.1818181818181818,0.7142857142857143,0.7241379310344828,0.7534246575342466,1.0,0.8571428571428571,0.746031746031746,0.7222222222222222,0.6388888888888888,0.625,0.7402597402597403,0.8809523809523809,0.75,0.6666666666666666,0.7049180327868853,0.7027027027027027,10,59.0,73.0,0.1694915254237288,0.0,18,3.0,39.0,2.1666666666666665,10.700000000000005,36.4,2.022222222222222,23.3,6.0,5.7,5.2,0.5,0.1664754354855533,0.557,0.247,0.409,3.8,3.4,L (-41),L (-41)
4.0,4.0,2022-10-24,23-075,MEM,BRK,1.0,34.166666666666664,12.0,22.0,0.545,4.0,6.0,0.667,10.0,11.0,0.909,2.0,6.0,8.0,7.0,2.0,0.0,2.0,1.0,38.0,34.7,20.0,16.0,8.0,0.5,49,2,50,42,55,1,30,47,52,23,15,57,37,60,10,43,26,56.0,11.0,70.0,58.0,73.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.875,0.1818181818181818,0.7142857142857143,0.7241379310344828,0.7534246575342466,1.0,0.8571428571428571,0.746031746031746,0.7222222222222222,0.6388888888888888,0.625,0.7402597402597403,0.8809523809523809,0.75,0.6666666666666666,0.7049180327868853,0.7027027027027027,10,59.0,73.0,0.1694915254237288,0.0,18,20.0,64.0,3.555555555555556,30.7,77.6,4.311111111111111,23.3,6.0,5.7,5.2,0.5,0.1664754354855533,0.557,0.247,0.409,3.8,3.4,W (+10),W (+10)
5.0,5.0,2022-10-27,23-078,MEM,SAC,1.0,31.5,8.0,18.0,0.444,1.0,3.0,0.333,5.0,5.0,1.0,1.0,4.0,5.0,6.0,0.0,0.0,3.0,1.0,22.0,15.3,2.0,15.0,7.0,0.4666666666666667,49,2,50,42,55,1,30,47,52,23,15,57,37,60,10,43,26,56.0,11.0,70.0,58.0,73.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.875,0.1818181818181818,0.7142857142857143,0.7241379310344828,0.7534246575342466,1.0,0.8571428571428571,0.746031746031746,0.7222222222222222,0.6388888888888888,0.625,0.7402597402597403,0.8809523809523809,0.75,0.6666666666666666,0.7049180327868853,0.7027027027027027,10,59.0,73.0,0.1694915254237288,0.0,18,7.0,96.0,5.333333333333333,13.299999999999995,89.19999999999999,4.955555555555555,23.3,6.0,5.7,5.2,0.5,0.1664754354855533,0.557,0.247,0.409,3.8,3.4,W (+15),W (+15)
6.0,,2022-10-29,23-080,MEM,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,49,2,50,42,55,1,30,47,52,23,15,57,37,60,10,43,26,56.0,11.0,70.0,58.0,73.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.875,0.1818181818181818,0.7142857142857143,0.7241379310344828,0.7534246575342466,1.0,0.8571428571428571,0.746031746031746,0.7222222222222222,0.6388888888888888,0.625,0.7402597402597403,0.8809523809523809,0.75,0.6666666666666666,0.7049180327868853,0.7027027027027027,10,59.0,73.0,0.1694915254237288,0.0,18,,100.0,5.555555555555555,0.0,98.8,5.488888888888889,23.3,6.0,5.7,5.2,0.5,0.1664754354855533,0.557,0.247,0.409,3.8,3.4,L (-1),L (-1)
7.0,6.0,2022-10-31,23-082,MEM,UTA,1.0,31.48333333333333,12.0,18.0,0.667,1.0,2.0,0.5,12.0,15.0,0.8,1.0,4.0,5.0,4.0,0.0,0.0,3.0,2.0,37.0,28.9,-19.0,16.0,11.0,0.6875,49,2,50,42,55,1,30,47,52,23,15,57,37,60,10,43,26,56.0,11.0,70.0,58.0,73.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.875,0.1818181818181818,0.7142857142857143,0.7241379310344828,0.7534246575342466,1.0,0.8571428571428571,0.746031746031746,0.7222222222222222,0.6388888888888888,0.625,0.7402597402597403,0.8809523809523809,0.75,0.6666666666666666,0.7049180327868853,0.7027027027027027,10,59.0,73.0,0.1694915254237288,0.0,18,10.0,27.0,1.5,24.1,40.69999999999998,2.26111111111111,23.3,6.0,5.7,5.2,0.5,0.1664754354855533,0.557,0.247,0.409,3.8,3.4,L (-16),L (-16)
8.0,7.0,2022-11-02,23-084,MEM,POR,1.0,32.06666666666667,7.0,19.0,0.368,0.0,2.0,0.0,6.0,7.0,0.857,0.0,9.0,9.0,7.0,2.0,0.0,8.0,1.0,20.0,10.3,1.0,17.0,7.0,0.4117647058823529,49,2,50,42,55,1,30,47,52,23,15,57,37,60,10,43,26,56.0,11.0,70.0,58.0,73.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.875,0.1818181818181818,0.7142857142857143,0.7241379310344828,0.7534246575342466,1.0,0.8571428571428571,0.746031746031746,0.7222222222222222,0.6388888888888888,0.625,0.7402597402597403,0.8809523809523809,0.75,0.6666666666666666,0.7049180327868853,0.7027027027027027,10,59.0,73.0,0.1694915254237288,0.0,18,4.0,84.0,4.666666666666667,7.9,82.2,4.566666666666666,23.3,6.0,5.7,5.2,0.5,0.1664754354855533,0.557,0.247,0.409,3.8,3.4,W (+5),W (+5)
9.0,8.0,2022-11-04,23-086,MEM,CHO,1.0,24.9,4.0,12.0,0.333,1.0,3.0,0.333,3.0,4.0,0.75,0.0,4.0,4.0,11.0,0.0,0.0,5.0,0.0,12.0,8.7,40.0,9.0,3.0,0.3333333333333333,49,2,50,42,55,1,30,47,52,23,15,57,37,60,10,43,26,56.0,11.0,70.0,58.0,73.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.875,0.1818181818181818,0.7142857142857143,0.7241379310344828,0.7534246575342466,1.0,0.8571428571428571,0.746031746031746,0.7222222222222222,0.6388888888888888,0.625,0.7402597402597403,0.8809523809523809,0.75,0.6666666666666666,0.7049180327868853,0.7027027027027027,10,59.0,73.0,0.1694915254237288,0.0,18,6.0,104.0,5.777777777777778,7.500000000000002,104.3,5.794444444444444,23.3,6.0,5.7,5.2,0.5,0.1664754354855533,0.557,0.247,0.409,3.8,3.4,W (+31),W (+31)
10.0,9.0,2022-11-06,23-088,MEM,WAS,1.0,33.25,9.0,27.0,0.333,1.0,4.0,0.25,4.0,6.0,0.667,2.0,7.0,9.0,6.0,1.0,0.0,4.0,0.0,23.0,11.6,3.0,23.0,8.0,0.3478260869565217,49,2,50,42,55,1,30,47,52,23,15,57,37,60,10,43,26,56.0,11.0,70.0,58.0,73.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.875,0.1818181818181818,0.7142857142857143,0.7241379310344828,0.7534246575342466,1.0,0.8571428571428571,0.746031746031746,0.7222222222222222,0.6388888888888888,0.625,0.7402597402597403,0.8809523809523809,0.75,0.6666666666666666,0.7049180327868853,0.7027027027027027,10,59.0,73.0,0.1694915254237288,0.0,18,2.0,60.0,3.333333333333333,9.999999999999998,63.3,3.5166666666666666,23.3,6.0,5.7,5.2,0.5,0.1664754354855533,0.557,0.247,0.409,3.8,3.4,W (+6),W (+6)
