Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jacob Gilyard,Shared Games with Jaren Jackson Jr.,Shared Games with John Konchar,Shared Games with Kennedy Chandler,Shared Games with Kenneth Lofton Jr.,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Brandon Clarke,Danny Green,David Roddy,Desmond Bane,Dillon Brooks,Ja Morant,Jacob Gilyard,Jaren Jackson Jr.,John Konchar,Kennedy Chandler,Kenneth Lofton Jr.,Santi Aldama,Steven Adams,Tyus Jones,Vince Williams Jr.,Xavier Tillman Sr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jaren Jackson Jr.,co_inf with John Konchar,co_inf with Kennedy Chandler,co_inf with Kenneth Lofton Jr.,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,20-350,MEM,NYK,0,12.533333333333331,1.0,2.0,.500,1.0,2.0,.500,2,2.0,1.000,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,5.0,6.6,-2,0.0,0.0,,31,35,22,31,30,1,21,29,21,12,32,23,34,8,26,13,56.0,11.0,70.0,58.0,73.0,61.0,1,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.5535714285714286,0.0,0.5,0.3793103448275862,0.4246575342465753,0.4918032786885246,1.0,0.3333333333333333,0.4027777777777778,0.5833333333333334,0.5,0.4155844155844156,0.5476190476190477,0.425,0.5333333333333333,0.4262295081967213,0.3513513513513513,3,59.0,73.0,0.0508474576271186,0.0,17,6.0,96.0,5.647058823529412,5.799999999999999,93.8,5.517647058823529,6.7,0.5,-3.5,-3.9,0.4,0.0109523312819443,0.531,0.747,0.095,-0.2,0.0,W (+3),W (+3)
2.0,2.0,2022-10-21,20-352,MEM,HOU,0,15.166666666666666,4.0,7.0,.571,3.0,4.0,.750,1,1.0,1.000,2.0,3.0,5.0,0.0,0.0,1.0,1.0,3.0,12.0,9.5,-4,3.0,1.0,0.3333333333333333,31,35,22,31,30,1,21,29,21,12,32,23,34,8,26,13,56.0,11.0,70.0,58.0,73.0,61.0,1,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.5535714285714286,0.0,0.5,0.3793103448275862,0.4246575342465753,0.4918032786885246,1.0,0.3333333333333333,0.4027777777777778,0.5833333333333334,0.5,0.4155844155844156,0.5476190476190477,0.425,0.5333333333333333,0.4262295081967213,0.3513513513513513,3,59.0,73.0,0.0508474576271186,0.0,17,9.0,79.0,4.647058823529412,9.1,96.7,5.688235294117647,6.7,0.5,-3.5,-3.9,0.4,0.0109523312819443,0.531,0.747,0.095,-0.2,0.0,W (+7),W (+7)
3.0,3.0,2022-10-22,20-353,MEM,DAL,0,22.433333333333334,2.0,6.0,.333,2.0,5.0,.400,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,6.0,0.2,-10,1.0,0.0,0.0,31,35,22,31,30,1,21,29,21,12,32,23,34,8,26,13,56.0,11.0,70.0,58.0,73.0,61.0,1,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.5535714285714286,0.0,0.5,0.3793103448275862,0.4246575342465753,0.4918032786885246,1.0,0.3333333333333333,0.4027777777777778,0.5833333333333334,0.5,0.4155844155844156,0.5476190476190477,0.425,0.5333333333333333,0.4262295081967213,0.3513513513513513,3,59.0,73.0,0.0508474576271186,0.0,17,1.0,41.0,2.411764705882353,0.2000000000000001,46.9,2.7588235294117647,6.7,0.5,-3.5,-3.9,0.4,0.0109523312819443,0.531,0.747,0.095,-0.2,0.0,L (-41),L (-41)
4.0,4.0,2022-10-24,20-355,MEM,BRK,0,11.05,0.0,2.0,.000,0.0,0.0,,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.2,-4,2.0,0.0,0.0,31,35,22,31,30,1,21,29,21,12,32,23,34,8,26,13,56.0,11.0,70.0,58.0,73.0,61.0,1,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.5535714285714286,0.0,0.5,0.3793103448275862,0.4246575342465753,0.4918032786885246,1.0,0.3333333333333333,0.4027777777777778,0.5833333333333334,0.5,0.4155844155844156,0.5476190476190477,0.425,0.5333333333333333,0.4262295081967213,0.3513513513513513,3,59.0,73.0,0.0508474576271186,0.0,17,0.0,84.0,4.941176470588236,-1.2,109.5,6.441176470588236,6.7,0.5,-3.5,-3.9,0.4,0.0109523312819443,0.531,0.747,0.095,-0.2,0.0,W (+10),W (+10)
5.0,5.0,2022-10-27,20-358,MEM,SAC,0,29.83333333333333,5.0,6.0,.833,3.0,4.0,.750,0,0.0,,2.0,7.0,9.0,1.0,1.0,0.0,0.0,5.0,13.0,14.0,+24,2.0,2.0,1.0,31,35,22,31,30,1,21,29,21,12,32,23,34,8,26,13,56.0,11.0,70.0,58.0,73.0,61.0,1,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.5535714285714286,0.0,0.5,0.3793103448275862,0.4246575342465753,0.4918032786885246,1.0,0.3333333333333333,0.4027777777777778,0.5833333333333334,0.5,0.4155844155844156,0.5476190476190477,0.425,0.5333333333333333,0.4262295081967213,0.3513513513513513,3,59.0,73.0,0.0508474576271186,0.0,17,18.0,85.0,5.0,14.0,88.5,5.205882352941177,6.7,0.5,-3.5,-3.9,0.4,0.0109523312819443,0.531,0.747,0.095,-0.2,0.0,W (+15),W (+15)
6.0,,2022-10-29,20-360,MEM,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31,35,22,31,30,1,21,29,21,12,32,23,34,8,26,13,56.0,11.0,70.0,58.0,73.0,61.0,1,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.5535714285714286,0.0,0.5,0.3793103448275862,0.4246575342465753,0.4918032786885246,1.0,0.3333333333333333,0.4027777777777778,0.5833333333333334,0.5,0.4155844155844156,0.5476190476190477,0.425,0.5333333333333333,0.4262295081967213,0.3513513513513513,3,59.0,73.0,0.0508474576271186,0.0,17,,100.0,5.882352941176471,0.0,98.8,5.811764705882353,6.7,0.5,-3.5,-3.9,0.4,0.0109523312819443,0.531,0.747,0.095,-0.2,0.0,L (-1),L (-1)
7.0,,2022-10-31,20-362,MEM,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,31,35,22,31,30,1,21,29,21,12,32,23,34,8,26,13,56.0,11.0,70.0,58.0,73.0,61.0,1,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.5535714285714286,0.0,0.5,0.3793103448275862,0.4246575342465753,0.4918032786885246,1.0,0.3333333333333333,0.4027777777777778,0.5833333333333334,0.5,0.4155844155844156,0.5476190476190477,0.425,0.5333333333333333,0.4262295081967213,0.3513513513513513,3,59.0,73.0,0.0508474576271186,0.0,17,,37.0,2.176470588235294,0.0,64.8,3.8117647058823527,6.7,0.5,-3.5,-3.9,0.4,0.0109523312819443,0.531,0.747,0.095,-0.2,0.0,L (-16),L (-16)
8.0,,2022-11-02,20-364,MEM,POR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,31,35,22,31,30,1,21,29,21,12,32,23,34,8,26,13,56.0,11.0,70.0,58.0,73.0,61.0,1,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.5535714285714286,0.0,0.5,0.3793103448275862,0.4246575342465753,0.4918032786885246,1.0,0.3333333333333333,0.4027777777777778,0.5833333333333334,0.5,0.4155844155844156,0.5476190476190477,0.425,0.5333333333333333,0.4262295081967213,0.3513513513513513,3,59.0,73.0,0.0508474576271186,0.0,17,,88.0,5.176470588235294,0.0,90.1,5.3,6.7,0.5,-3.5,-3.9,0.4,0.0109523312819443,0.531,0.747,0.095,-0.2,0.0,W (+5),W (+5)
9.0,6.0,2022-11-04,21-001,MEM,CHO,0,19.166666666666668,1.0,4.0,.250,0.0,2.0,.000,2,2.0,1.000,1.0,8.0,9.0,0.0,0.0,0.0,1.0,0.0,4.0,3.7,-9,2.0,1.0,0.5,31,35,22,31,30,1,21,29,21,12,32,23,34,8,26,13,56.0,11.0,70.0,58.0,73.0,61.0,1,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.5535714285714286,0.0,0.5,0.3793103448275862,0.4246575342465753,0.4918032786885246,1.0,0.3333333333333333,0.4027777777777778,0.5833333333333334,0.5,0.4155844155844156,0.5476190476190477,0.425,0.5333333333333333,0.4262295081967213,0.3513513513513513,3,59.0,73.0,0.0508474576271186,0.0,17,6.0,104.0,6.117647058823529,2.9000000000000004,108.9,6.405882352941177,6.7,0.5,-3.5,-3.9,0.4,0.0109523312819443,0.531,0.747,0.095,-0.2,0.0,W (+31),W (+31)
10.0,7.0,2022-11-06,21-003,MEM,WAS,0,16.166666666666668,2.0,3.0,.667,2.0,3.0,.667,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,4.9,+6,0.0,0.0,,31,35,22,31,30,1,21,29,21,12,32,23,34,8,26,13,56.0,11.0,70.0,58.0,73.0,61.0,1,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.5535714285714286,0.0,0.5,0.3793103448275862,0.4246575342465753,0.4918032786885246,1.0,0.3333333333333333,0.4027777777777778,0.5833333333333334,0.5,0.4155844155844156,0.5476190476190477,0.425,0.5333333333333333,0.4262295081967213,0.3513513513513513,3,59.0,73.0,0.0508474576271186,0.0,17,5.0,57.0,3.3529411764705883,4.9,68.39999999999999,4.023529411764706,6.7,0.5,-3.5,-3.9,0.4,0.0109523312819443,0.531,0.747,0.095,-0.2,0.0,W (+6),W (+6)
