Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with Danny Green,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jacob Gilyard,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with John Konchar,Shared Games with Kennedy Chandler,Shared Games with Kenneth Lofton Jr.,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Brandon Clarke,Danny Green,David Roddy,Desmond Bane,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,John Konchar,Kennedy Chandler,Kenneth Lofton Jr.,Santi Aldama,Steven Adams,Vince Williams Jr.,Xavier Tillman Sr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with John Konchar,co_inf with Kennedy Chandler,co_inf with Kenneth Lofton Jr.,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,26-162,MEM,NYK,0,24.966666666666665,6.0,16.0,.375,3.0,8.0,.375,0,2.0,.000,1.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,15.0,9.1,-4,8.0,3.0,0.375,56,3,68,58,72,60,1,34,63,71,35,22,76,42,14,60,36,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,15.0,61.0,37.0,1.0,0.2727272727272727,0.9714285714285714,1.0,0.9863013698630136,0.9836065573770492,1.0,0.9714285714285714,1.0,0.9861111111111112,0.9722222222222222,0.9166666666666666,0.987012987012987,1.0,0.9333333333333332,0.9836065573770492,0.972972972972973,20,59.0,73.0,0.3389830508474576,0.0,18,4.0,98.0,5.444444444444445,9.099999999999994,90.5,5.027777777777778,0.0858454156670491,W (+3),W (+3)
2.0,2.0,2022-10-21,26-164,MEM,HOU,0,21.883333333333333,4.0,13.0,.308,3.0,7.0,.429,0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,11.0,7.5,-11,6.0,1.0,0.1666666666666666,56,3,68,58,72,60,1,34,63,71,35,22,76,42,14,60,36,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,15.0,61.0,37.0,1.0,0.2727272727272727,0.9714285714285714,1.0,0.9863013698630136,0.9836065573770492,1.0,0.9714285714285714,1.0,0.9861111111111112,0.9722222222222222,0.9166666666666666,0.987012987012987,1.0,0.9333333333333332,0.9836065573770492,0.972972972972973,20,59.0,73.0,0.3389830508474576,0.0,18,6.0,82.0,4.555555555555555,7.499999999999998,98.3,5.461111111111111,0.0858454156670491,W (+7),W (+7)
3.0,3.0,2022-10-22,26-165,MEM,DAL,0,24.08333333333333,3.0,8.0,.375,2.0,6.0,.333,2,3.0,.667,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,10.0,9.4,-21,2.0,1.0,0.5,56,3,68,58,72,60,1,34,63,71,35,22,76,42,14,60,36,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,15.0,61.0,37.0,1.0,0.2727272727272727,0.9714285714285714,1.0,0.9863013698630136,0.9836065573770492,1.0,0.9714285714285714,1.0,0.9861111111111112,0.9722222222222222,0.9166666666666666,0.987012987012987,1.0,0.9333333333333332,0.9836065573770492,0.972972972972973,20,59.0,73.0,0.3389830508474576,0.0,18,5.0,37.0,2.055555555555556,8.599999999999998,38.5,2.138888888888889,0.0858454156670491,L (-41),L (-41)
4.0,4.0,2022-10-24,26-167,MEM,BRK,0,24.28333333333333,4.0,10.0,.400,0.0,1.0,.000,0,0.0,,2.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,8.0,2.2,-12,9.0,4.0,0.4444444444444444,56,3,68,58,72,60,1,34,63,71,35,22,76,42,14,60,36,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,15.0,61.0,37.0,1.0,0.2727272727272727,0.9714285714285714,1.0,0.9863013698630136,0.9836065573770492,1.0,0.9714285714285714,1.0,0.9861111111111112,0.9722222222222222,0.9166666666666666,0.987012987012987,1.0,0.9333333333333332,0.9836065573770492,0.972972972972973,20,59.0,73.0,0.3389830508474576,0.0,18,0.0,84.0,4.666666666666667,2.2,106.09999999999998,5.894444444444443,0.0858454156670491,W (+10),W (+10)
5.0,5.0,2022-10-27,26-170,MEM,SAC,0,23.55,6.0,11.0,.545,1.0,4.0,.250,1,1.0,1.000,0.0,2.0,2.0,5.0,0.0,0.0,1.0,1.0,14.0,11.4,+18,7.0,5.0,0.7142857142857143,56,3,68,58,72,60,1,34,63,71,35,22,76,42,14,60,36,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,15.0,61.0,37.0,1.0,0.2727272727272727,0.9714285714285714,1.0,0.9863013698630136,0.9836065573770492,1.0,0.9714285714285714,1.0,0.9861111111111112,0.9722222222222222,0.9166666666666666,0.987012987012987,1.0,0.9333333333333332,0.9836065573770492,0.972972972972973,20,59.0,73.0,0.3389830508474576,0.0,18,8.0,95.0,5.277777777777778,11.0,91.5,5.083333333333333,0.0858454156670491,W (+15),W (+15)
6.0,6.0,2022-10-29,26-172,MEM,UTA,1,32.93333333333333,10.0,15.0,.667,3.0,5.0,.600,0,2.0,.000,0.0,1.0,1.0,10.0,2.0,0.0,1.0,0.0,23.0,24.0,-9,10.0,7.0,0.7,56,3,68,58,72,60,1,34,63,71,35,22,76,42,14,60,36,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,15.0,61.0,37.0,1.0,0.2727272727272727,0.9714285714285714,1.0,0.9863013698630136,0.9836065573770492,1.0,0.9714285714285714,1.0,0.9861111111111112,0.9722222222222222,0.9166666666666666,0.987012987012987,1.0,0.9333333333333332,0.9836065573770492,0.972972972972973,20,59.0,73.0,0.3389830508474576,0.0,18,18.0,82.0,4.555555555555555,24.0,74.8,4.155555555555555,0.0858454156670491,L (-1),L (-1)
7.0,7.0,2022-10-31,26-174,MEM,UTA,0,27.3,5.0,9.0,.556,2.0,5.0,.400,0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,5.0,1.0,12.0,5.3,-18,4.0,3.0,0.75,56,3,68,58,72,60,1,34,63,71,35,22,76,42,14,60,36,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,15.0,61.0,37.0,1.0,0.2727272727272727,0.9714285714285714,1.0,0.9863013698630136,0.9836065573770492,1.0,0.9714285714285714,1.0,0.9861111111111112,0.9722222222222222,0.9166666666666666,0.987012987012987,1.0,0.9333333333333332,0.9836065573770492,0.972972972972973,20,59.0,73.0,0.3389830508474576,0.0,18,3.0,34.0,1.8888888888888888,5.299999999999999,59.49999999999999,3.305555555555556,0.0858454156670491,L (-16),L (-16)
8.0,8.0,2022-11-02,26-176,MEM,POR,0,23.85,1.0,6.0,.167,0.0,2.0,.000,0,0.0,,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,2.0,1.9,-1,4.0,1.0,0.25,56,3,68,58,72,60,1,34,63,71,35,22,76,42,14,60,36,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,15.0,61.0,37.0,1.0,0.2727272727272727,0.9714285714285714,1.0,0.9863013698630136,0.9836065573770492,1.0,0.9714285714285714,1.0,0.9861111111111112,0.9722222222222222,0.9166666666666666,0.987012987012987,1.0,0.9333333333333332,0.9836065573770492,0.972972972972973,20,59.0,73.0,0.3389830508474576,0.0,18,2.0,86.0,4.777777777777778,1.900000000000001,88.19999999999999,4.9,0.0858454156670491,W (+5),W (+5)
9.0,9.0,2022-11-04,26-178,MEM,CHO,0,14.133333333333333,5.0,8.0,.625,0.0,2.0,.000,1,1.0,1.000,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,11.0,10.1,+3,6.0,5.0,0.8333333333333334,56,3,68,58,72,60,1,34,63,71,35,22,76,42,14,60,36,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,15.0,61.0,37.0,1.0,0.2727272727272727,0.9714285714285714,1.0,0.9863013698630136,0.9836065573770492,1.0,0.9714285714285714,1.0,0.9861111111111112,0.9722222222222222,0.9166666666666666,0.987012987012987,1.0,0.9333333333333332,0.9836065573770492,0.972972972972973,20,59.0,73.0,0.3389830508474576,0.0,18,7.0,103.0,5.722222222222222,9.7,102.1,5.672222222222222,0.0858454156670491,W (+31),W (+31)
10.0,10.0,2022-11-06,26-180,MEM,WAS,0,19.15,2.0,5.0,.400,1.0,3.0,.333,2,2.0,1.000,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,7.0,6.4,+12,2.0,1.0,0.5,56,3,68,58,72,60,1,34,63,71,35,22,76,42,14,60,36,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,15.0,61.0,37.0,1.0,0.2727272727272727,0.9714285714285714,1.0,0.9863013698630136,0.9836065573770492,1.0,0.9714285714285714,1.0,0.9861111111111112,0.9722222222222222,0.9166666666666666,0.987012987012987,1.0,0.9333333333333332,0.9836065573770492,0.972972972972973,20,59.0,73.0,0.3389830508474576,0.0,18,3.0,59.0,3.2777777777777777,5.6000000000000005,67.7,3.761111111111111,0.0858454156670491,W (+6),W (+6)
11.0,11.0,2022-11-07,26-181,MEM,BOS,0,15.183333333333334,3.0,5.0,.600,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,6.1,-21,3.0,3.0,1.0,56,3,68,58,72,60,1,34,63,71,35,22,76,42,14,60,36,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,15.0,61.0,37.0,1.0,0.2727272727272727,0.9714285714285714,1.0,0.9863013698630136,0.9836065573770492,1.0,0.9714285714285714,1.0,0.9861111111111112,0.9722222222222222,0.9166666666666666,0.987012987012987,1.0,0.9333333333333332,0.9836065573770492,0.972972972972973,20,59.0,73.0,0.3389830508474576,0.0,18,5.0,76.0,4.222222222222222,6.1,74.8,4.155555555555555,0.0858454156670491,L (-3),L (-3)
