Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with Danny Green,Shared Games with David Roddy,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jacob Gilyard,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with John Konchar,Shared Games with Kennedy Chandler,Shared Games with Kenneth Lofton Jr.,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Brandon Clarke,Danny Green,David Roddy,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,John Konchar,Kennedy Chandler,Kenneth Lofton Jr.,Santi Aldama,Steven Adams,Tyus Jones,Vince Williams Jr.,Xavier Tillman Sr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with John Konchar,co_inf with Kennedy Chandler,co_inf with Kenneth Lofton Jr.,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,10.0,2022-11-07,24-135,MEM,BOS,1,35.46666666666667,7.0,15.0,.467,2.0,6.0,.333,3,3.0,1.000,0.0,5.0,5.0,5.0,0.0,0.0,1.0,3.0,19.0,14.1,-6,9.0,5.0,0.5555555555555556,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,10.0,71.0,3.9444444444444446,12.900000000000002,67.99999999999999,3.777777777777777,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,L (-3),L (-3)
12.0,11.0,2022-11-09,24-137,MEM,SAS,1,39.41666666666666,12.0,23.0,.522,5.0,10.0,.500,3,3.0,1.000,1.0,5.0,6.0,6.0,0.0,0.0,2.0,2.0,32.0,24.3,+6,13.0,7.0,0.5384615384615384,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,16.0,71.0,3.9444444444444446,23.100000000000005,76.19999999999999,4.2333333333333325,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,W (+2),W (+2)
13.0,12.0,2022-11-11,24-139,MEM,MIN,1,33.266666666666666,7.0,16.0,.438,2.0,7.0,.286,8,8.0,1.000,0.0,3.0,3.0,5.0,1.0,0.0,4.0,3.0,24.0,15.8,+12,9.0,5.0,0.5555555555555556,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,5.0,70.0,3.888888888888889,12.600000000000003,77.8,4.322222222222222,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,W (+11),W (+11)
14.0,,2022-11-13,24-141,MEM,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,,66.0,3.6666666666666665,0.0,61.79999999999999,3.4333333333333327,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,L (-10),L (-10)
15.0,,2022-11-15,24-143,MEM,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,,69.0,3.8333333333333335,0.0,69.60000000000001,3.866666666666667,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,L (-11),L (-11)
16.0,,2022-11-18,24-146,MEM,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,,89.0,4.944444444444445,0.0,90.3,5.016666666666667,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,W (+11),W (+11)
17.0,,2022-11-20,24-148,MEM,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,,64.0,3.555555555555556,0.0,86.7,4.816666666666666,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,L (-12),L (-12)
18.0,,2022-11-22,24-150,MEM,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,,78.0,4.333333333333333,0.0,79.6,4.422222222222222,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,L (-4),L (-4)
19.0,,2022-11-25,24-153,MEM,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,,82.0,4.555555555555555,0.0,98.3,5.461111111111111,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,W (+21),W (+21)
20.0,,2022-11-27,24-155,MEM,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,36,3,46,50,42,1,22,45,52,24,18,56,24,58,9,47,27,56.0,11.0,70.0,73.0,61.0,1,35.0,63.0,72.0,36.0,24.0,77.0,42.0,80.0,15.0,61.0,37.0,0.6428571428571429,0.2727272727272727,0.6571428571428571,0.684931506849315,0.6885245901639344,1.0,0.6285714285714286,0.7142857142857143,0.7222222222222222,0.6666666666666666,0.75,0.7272727272727273,0.5714285714285714,0.725,0.6,0.7704918032786885,0.7297297297297297,20,59.0,73.0,0.3389830508474576,0.0,18,,89.0,4.944444444444445,0.0,96.5,5.361111111111111,19.1,5.8,3.5,3.3,0.1,0.1300719724627099,0.606,0.433,0.218,2.5,3.5,W (+4),W (+4)
