,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
0,1947-48,24.0,NYK,BAA,,3,,,1.0,4.3,0.231,0.3,1.0,0.333,,0.0,2.3,2.3
1,Career,,,BAA,,3,,,1.0,4.3,0.231,0.3,1.0,0.333,,0.0,2.3,2.3
