,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2020-21,21.0,DET,NBA,PG,48.0,7.0,16.3,2.1,4.4,0.471,0.2,0.5,0.348,1.9,3.9,0.487,0.49,1.3,1.9,0.685,0.4,1.6,2.0,3.6,0.7,0.3,1.1,1.6,5.6
1,2021-22,22.0,DET,NBA,PG,37.0,0.0,16.3,1.9,4.8,0.39,0.4,1.6,0.233,1.5,3.2,0.47,0.429,1.5,1.9,0.789,0.5,1.9,2.4,2.9,1.0,0.3,1.0,1.2,5.6
2,2022-23,23.0,TOT,NBA,PG,25.0,1.0,14.9,2.0,4.8,0.405,0.4,1.2,0.367,1.5,3.6,0.418,0.45,1.7,2.3,0.737,0.5,1.3,1.8,2.7,0.8,0.0,1.0,1.3,6.0
3,2022-23,23.0,PHI,NBA,PG,2.0,0.0,5.0,1.5,2.0,0.75,0.0,0.5,0.0,1.5,1.5,1.0,0.75,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,1.5,0.5,3.0
4,2022-23,23.0,PHO,NBA,PG,23.0,1.0,15.8,2.0,5.1,0.393,0.5,1.3,0.379,1.5,3.8,0.398,0.44,1.8,2.5,0.737,0.6,1.4,2.0,2.8,0.8,0.0,0.9,1.3,6.3
5,Career,,,NBA,,110.0,8.0,16.0,2.0,4.6,0.427,0.3,1.0,0.292,1.7,3.6,0.466,0.46,1.4,2.0,0.733,0.5,1.6,2.1,3.2,0.8,0.2,1.0,1.4,5.7
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2 seasons,,DET,NBA,,85.0,7.0,16.3,2.0,4.6,0.434,0.3,1.0,0.265,1.7,3.6,0.48,0.463,1.4,1.9,0.731,0.4,1.7,2.2,3.3,0.8,0.3,1.1,1.4,5.6
8,1 season,,PHO,NBA,,23.0,1.0,15.8,2.0,5.1,0.393,0.5,1.3,0.379,1.5,3.8,0.398,0.44,1.8,2.5,0.737,0.6,1.4,2.0,2.8,0.8,0.0,0.9,1.3,6.3
9,1 season,,PHI,NBA,,2.0,0.0,5.0,1.5,2.0,0.75,0.0,0.5,0.0,1.5,1.5,1.0,0.75,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,1.5,0.5,3.0
