,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
0,1947-48,27.0,BLB,BAA,,11,,,0.6,2.8,0.226,0.1,0.3,0.333,,0.6,0.3,1.4
1,Career,,,BAA,,11,,,0.6,2.8,0.226,0.1,0.3,0.333,,0.6,0.3,1.4
