,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2017-18,20.0,POR,NBA,C,66,1,15.8,1.7,4.4,.398,0.5,1.7,.310,1.2,2.7,.455,.458,0.4,0.6,.643,0.7,2.7,3.3,0.8,0.3,0.5,0.9,2.0,4.4
1,2018-19,21.0,POR,NBA,C,77,0,17.6,2.5,5.2,.473,0.5,1.6,.331,1.9,3.6,.534,.523,1.2,1.6,.746,1.4,2.8,4.2,0.9,0.3,0.9,1.0,2.3,6.6
2,2019-20,22.0,POR,NBA,PF,11,11,26.4,2.9,6.2,.471,0.6,1.7,.368,2.3,4.5,.510,.522,0.5,0.7,.750,2.3,4.0,6.3,1.5,0.5,0.5,1.3,3.3,7.0
3,2020-21,23.0,Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle),Did Not Play (injury—ankle)
4,2021-22,24.0,SAS,NBA,C,28,4,17.9,2.7,5.5,.490,0.5,1.5,.341,2.2,4.1,.544,.535,1.9,2.3,.800,1.6,3.8,5.5,2.2,0.5,0.8,1.6,2.4,7.8
5,2022-23,25.0,SAS,NBA,C,63,26,22.9,4.5,8.7,.518,0.9,2.3,.374,3.6,6.4,.571,.568,1.7,2.3,.761,1.8,4.5,6.4,2.9,0.6,0.8,2.0,3.2,11.6
6,2023-24,26.0,SAS,NBA,C,1,1,32.0,6.0,10.0,.600,0.0,4.0,.000,6.0,6.0,1.000,.600,2.0,2.0,1.000,1.0,4.0,5.0,3.0,1.0,2.0,3.0,4.0,14.0
7,Career,,,NBA,,246,43,19.0,2.9,6.0,.478,0.6,1.8,.339,2.2,4.2,.538,.529,1.2,1.6,.751,1.4,3.4,4.8,1.6,0.4,0.7,1.3,2.5,7.5
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3 seasons,,POR,NBA,,154,12,17.5,2.2,4.9,.444,0.5,1.6,.324,1.6,3.3,.504,.498,0.8,1.1,.722,1.2,2.8,4.0,0.9,0.3,0.7,1.0,2.2,5.7
10,3 seasons,,SAS,NBA,,92,31,21.5,4.0,7.8,.513,0.8,2.1,.359,3.2,5.7,.570,.562,1.8,2.3,.775,1.8,4.3,6.1,2.7,0.6,0.8,1.9,2.9,10.5
