,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
0,1954-55,24.0,BOS,NBA,PG,3,,5.0,0.3,2.0,0.167,0.0,0.0,,0.3,0.3,1.3,0.7
1,Career,,,NBA,,3,,5.0,0.3,2.0,0.167,0.0,0.0,,0.3,0.3,1.3,0.7
