,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2020-21,20.0,HOU,NBA,SF,45.0,8.0,23.7,3.6,7.1,0.509,0.8,2.1,0.365,2.8,4.9,0.572,0.564,1.3,1.9,0.714,1.6,3.8,5.4,1.1,0.7,0.9,0.8,2.0,9.3
1,2021-22,21.0,HOU,NBA,SF,79.0,2.0,21.0,3.5,6.6,0.533,0.8,2.1,0.357,2.8,4.5,0.617,0.591,1.0,1.6,0.634,1.0,2.7,3.8,1.3,0.4,0.5,0.8,1.4,8.8
2,2022-23,22.0,HOU,NBA,SF,82.0,49.0,28.0,5.0,8.8,0.569,0.8,2.6,0.315,4.2,6.1,0.679,0.617,1.8,2.7,0.68,1.5,4.0,5.5,1.5,0.5,0.4,1.1,1.8,12.7
3,2023-24,23.0,LAC,NBA,SF,1.0,0.0,14.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
4,Career,,,NBA,,207.0,59.0,24.3,4.1,7.6,0.544,0.8,2.3,0.338,3.3,5.2,0.635,0.596,1.4,2.1,0.674,1.4,3.4,4.8,1.3,0.5,0.5,0.9,1.7,10.4
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3 seasons,,HOU,NBA,,206.0,59.0,24.3,4.1,7.6,0.545,0.8,2.3,0.34,3.3,5.2,0.636,0.597,1.4,2.1,0.674,1.4,3.5,4.8,1.3,0.5,0.5,0.9,1.7,10.5
7,1 season,,LAC,NBA,,1.0,0.0,14.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
