,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
0,1967-68,24.0,MNM,ABA,PG,26.0,,15.9,1.8,5.8,0.307,0.0,0.4,0.0,1.8,5.4,0.32899999999999996,0.307,1.8,3.0,0.608,,,2.0,1.3,1.3,1.9,5.4
1,1968-69,25.0,HSM,ABA,SG,32.0,,22.6,2.0,6.9,0.28800000000000003,0.0,0.3,0.125,2.0,6.7,0.294,0.29100000000000004,2.8,3.9,0.718,0.9,1.8,2.8,2.1,2.3,3.1,6.8
2,Career,,,ABA,,58.0,,19.6,1.9,6.4,0.29600000000000004,0.0,0.3,0.055999999999999994,1.9,6.1,0.308,0.297,2.4,3.5,0.675,0.9,1.8,2.4,1.7,1.8,2.6,6.2
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1 season,,HSM,ABA,,32.0,,22.6,2.0,6.9,0.28800000000000003,0.0,0.3,0.125,2.0,6.7,0.294,0.29100000000000004,2.8,3.9,0.718,0.9,1.8,2.8,2.1,2.3,3.1,6.8
5,1 season,,MNM,ABA,,26.0,,15.9,1.8,5.8,0.307,0.0,0.4,0.0,1.8,5.4,0.32899999999999996,0.307,1.8,3.0,0.608,,,2.0,1.3,1.3,1.9,5.4
