,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2016-17,22.0,MIN,NBA,PG,78.0,7.0,17.1,1.5,4.0,0.377,0.3,0.9,0.288,1.2,3.1,0.404,0.411,0.5,0.8,0.61,0.3,1.8,2.1,2.4,1.0,0.5,1.1,2.3,3.8
1,2017-18,23.0,CHI,NBA,PG,52.0,43.0,29.3,5.5,12.8,0.429,0.8,2.6,0.321,4.7,10.2,0.457,0.462,1.6,2.2,0.737,0.5,3.8,4.3,6.0,2.0,0.5,2.9,3.3,13.4
2,2018-19,24.0,CHI,NBA,PG,46.0,44.0,30.2,4.7,11.0,0.425,0.7,2.1,0.354,3.9,8.9,0.441,0.458,1.2,1.5,0.797,0.4,3.7,4.1,6.0,1.5,0.5,2.3,3.6,11.3
3,2019-20,25.0,CHI,NBA,PG,51.0,32.0,24.9,3.0,6.7,0.444,0.6,2.2,0.259,2.4,4.5,0.535,0.487,0.8,1.1,0.741,0.5,3.2,3.6,3.4,2.0,0.3,1.3,3.1,7.3
4,2020-21,26.0,ATL,NBA,PG,4.0,0.0,11.3,0.3,3.0,0.083,0.0,0.5,0.0,0.3,2.5,0.1,0.083,0.8,1.0,0.75,0.0,1.5,1.5,0.5,0.5,0.5,0.8,2.5,1.3
5,2021-22,27.0,POR,NBA,PG,14.0,3.0,24.0,3.1,7.3,0.431,0.1,0.8,0.091,3.1,6.5,0.473,0.436,1.2,1.3,0.944,0.6,2.9,3.5,5.6,1.6,0.2,2.3,2.7,7.6
6,2022-23,28.0,UTA,NBA,PG,22.0,3.0,25.8,5.3,9.8,0.537,0.8,1.6,0.472,4.5,8.2,0.55,0.576,1.9,2.4,0.774,0.4,4.1,4.5,5.6,1.1,0.5,1.6,2.6,13.2
7,2023-24,29.0,UTA,NBA,PG,1.0,0.0,16.0,3.0,6.0,0.5,0.0,1.0,0.0,3.0,5.0,0.6,0.5,2.0,4.0,0.5,0.0,1.0,1.0,2.0,2.0,0.0,4.0,0.0,8.0
8,Career,,,NBA,,268.0,132.0,24.2,3.5,8.1,0.432,0.5,1.7,0.312,2.9,6.3,0.465,0.466,1.0,1.4,0.741,0.4,3.0,3.4,4.3,1.5,0.4,1.8,2.9,8.6
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,CHI,NBA,,149.0,119.0,28.1,4.4,10.2,0.431,0.7,2.3,0.31,3.7,7.9,0.467,0.466,1.2,1.6,0.755,0.4,3.5,4.0,5.1,1.8,0.4,2.2,3.3,10.7
11,1 season,,MIN,NBA,,78.0,7.0,17.1,1.5,4.0,0.377,0.3,0.9,0.288,1.2,3.1,0.404,0.411,0.5,0.8,0.61,0.3,1.8,2.1,2.4,1.0,0.5,1.1,2.3,3.8
12,2 seasons,,UTA,NBA,,23.0,3.0,25.4,5.2,9.7,0.536,0.7,1.6,0.459,4.4,8.0,0.551,0.574,1.9,2.5,0.754,0.4,4.0,4.4,5.5,1.2,0.4,1.7,2.5,13.0
13,1 season,,POR,NBA,,14.0,3.0,24.0,3.1,7.3,0.431,0.1,0.8,0.091,3.1,6.5,0.473,0.436,1.2,1.3,0.944,0.6,2.9,3.5,5.6,1.6,0.2,2.3,2.7,7.6
14,1 season,,ATL,NBA,,4.0,0.0,11.3,0.3,3.0,0.083,0.0,0.5,0.0,0.3,2.5,0.1,0.083,0.8,1.0,0.75,0.0,1.5,1.5,0.5,0.5,0.5,0.8,2.5,1.3
