,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2013-14,24.0,CLE,NBA,SG,2,0,3.5,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.5,1.0,.500,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
1,2014-15,25.0,Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain)
2,2015-16,26.0,Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China)
3,2016-17,27.0,"Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)","Did Not Play (other pro league—Croatia, Israel)"
4,2017-18,28.0,DAL,NBA,SG,1,0,8.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.0,2.0,.500,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
5,2018-19,29.0,Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League)
6,2019-20,30.0,Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia)
7,2020-21,31.0,Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia),Did Not Play (other pro league—Australia)
8,2021-22,32.0,OKC,NBA,SG,1,0,18.0,2.0,4.0,.500,0.0,1.0,.000,2.0,3.0,.667,.500,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0
9,Career,,,NBA,,4,0,8.3,0.5,2.3,.222,0.0,0.8,.000,0.5,1.5,.333,.222,0.5,1.0,.500,0.0,0.3,0.3,0.8,0.3,0.0,0.8,0.3,1.5
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1 season,,CLE,NBA,,2,0,3.5,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.5,1.0,.500,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
12,1 season,,DAL,NBA,,1,0,8.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.0,2.0,.500,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
13,1 season,,OKC,NBA,,1,0,18.0,2.0,4.0,.500,0.0,1.0,.000,2.0,3.0,.667,.500,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0
