,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2019-20,20.0,MIA,NBA,SG,55,8,27.4,4.9,11.5,0.428,2.1,5.4,0.389,2.8,6.1,0.462,0.52,1.6,1.8,0.87,0.3,3.8,4.1,2.2,0.6,0.2,1.6,1.4,13.5
1,2020-21,21.0,MIA,NBA,SG,54,15,30.3,5.7,12.9,0.439,2.0,5.5,0.36,3.7,7.4,0.498,0.516,1.7,2.2,0.803,0.5,4.5,5.0,3.4,0.6,0.3,1.9,1.3,15.1
2,2021-22,22.0,MIA,NBA,SG,66,10,32.6,7.6,17.0,0.447,2.7,6.7,0.399,4.9,10.3,0.477,0.525,2.9,3.3,0.868,0.5,4.5,5.0,4.0,0.7,0.1,2.6,1.4,20.7
3,2022-23,23.0,MIA,NBA,SG,67,67,34.9,7.3,16.6,0.439,3.0,8.0,0.378,4.2,8.5,0.497,0.531,2.5,2.7,0.934,0.4,5.0,5.4,4.2,0.8,0.2,2.4,1.5,20.1
4,2023-24,24.0,MIA,NBA,SG,1,1,35.0,7.0,24.0,0.292,2.0,7.0,0.286,5.0,17.0,0.294,0.333,0.0,0.0,,0.0,2.0,2.0,3.0,3.0,0.0,2.0,1.0,16.0
5,Career,,,NBA,,243,101,31.5,6.5,14.8,0.438,2.5,6.5,0.382,4.0,8.3,0.483,0.523,2.2,2.5,0.875,0.4,4.5,4.9,3.5,0.7,0.2,2.1,1.4,17.6
