,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
0,1968-69,22.0,TOT,TOT,C,9.0,,4.8,0.4,1.6,0.286,0.0,0.0,,0.4,1.6,0.286,0.286,0.1,0.3,0.333,0.0,,1.0,0.0,0.0,1.2,1.0
1,1968-69,22.0,PHO,NBA,,8.0,,5.0,0.5,1.8,0.286,,,,0.5,1.8,0.286,0.286,0.1,0.4,0.333,,,1.1,0.0,,1.3,1.1
2,1968-69,22.0,NYA,ABA,C,1.0,,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,Career,,,TOT,,9.0,,4.8,0.4,1.6,0.286,0.0,0.0,,0.4,1.6,0.286,0.286,0.1,0.3,0.333,0.0,0.0,1.0,0.0,0.0,1.2,1.0
4,,,,NBA,,8.0,,5.0,0.5,1.8,0.286,,,,0.5,1.8,0.286,0.286,0.1,0.4,0.333,,,1.1,0.0,,1.3,1.1
5,,,,ABA,,1.0,,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1 season,,PHO,NBA,,8.0,,5.0,0.5,1.8,0.286,,,,0.5,1.8,0.286,0.286,0.1,0.4,0.333,,,1.1,0.0,,1.3,1.1
8,1 season,,NYA,ABA,,1.0,,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
