,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
0,1946-47,23.0,TOT,BAA,,57.0,,,1.6,6.0,0.262,1.1,2.0,0.571,,0.7,2.1,4.3
1,1946-47,23.0,NYK,BAA,,36.0,,,1.4,5.9,0.243,1.1,2.0,0.548,,0.8,2.5,4.0
2,1946-47,23.0,TRH,BAA,,21.0,,,1.8,6.1,0.295,1.1,1.9,0.615,,0.7,1.4,4.8
3,Career,,,BAA,,57.0,,,1.6,6.0,0.262,1.1,2.0,0.571,,0.7,2.1,4.3
4,,,,,,,,,,,,,,,,,,
5,1 season,,NYK,BAA,,36.0,,,1.4,5.9,0.243,1.1,2.0,0.548,,0.8,2.5,4.0
6,1 season,,TRH,BAA,,21.0,,,1.8,6.1,0.295,1.1,1.9,0.615,,0.7,1.4,4.8
