,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
0,1959-60,24.0,BOS,NBA,PG,1,,19.0,5.0,8.0,.625,0.0,1.0,.000,4.0,2.0,3.0,10.0
1,1960-61,25.0,Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL)
2,1961-62,26.0,Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL),Did Not Play (other pro league—ABL)
3,1962-63,27.0,CHZ,NBA,PG,37,,25.8,2.5,6.5,.390,0.8,0.9,.824,2.8,3.8,2.4,5.8
4,Career,,,NBA,,38,,25.6,2.6,6.6,.398,0.7,0.9,.800,2.8,3.8,2.4,5.9
5,,,,,,,,,,,,,,,,,,
6,1 season,,CHZ,NBA,,37,,25.8,2.5,6.5,.390,0.8,0.9,.824,2.8,3.8,2.4,5.8
7,1 season,,BOS,NBA,,1,,19.0,5.0,8.0,.625,0.0,1.0,.000,4.0,2.0,3.0,10.0
