,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
0,1970-71,22.0,NYK,NBA,SG,56.0,,4.5,0.5,1.4,0.37,,,,0.5,1.4,0.37,0.37,0.4,0.6,0.706,,,0.5,0.2,,,1.0,1.5
1,1971-72,23.0,TOT,TOT,SG,10.0,,6.5,0.8,2.3,0.348,0.0,0.0,,0.8,2.3,0.348,0.348,0.9,1.1,0.818,0.1,,1.1,0.7,,0.4,1.4,2.5
2,1971-72,23.0,NYK,NBA,SG,6.0,,6.7,0.8,2.3,0.357,,,,0.8,2.3,0.357,0.357,1.5,1.8,0.818,,,1.0,1.0,,,1.7,3.2
3,1971-72,23.0,INA,ABA,SG,4.0,,6.3,0.8,2.3,0.333,0.0,0.0,,0.8,2.3,0.333,0.333,0.0,0.0,,0.3,1.0,1.3,0.3,,1.0,1.0,1.5
4,1972-73,24.0,PHI,NBA,SG,57.0,,13.2,2.2,5.3,0.415,,,,2.2,5.3,0.415,0.415,0.7,0.8,0.809,,,2.1,1.2,,,1.9,5.1
5,Career,,,TOT,,123.0,,8.7,1.3,3.3,0.402,0.0,0.0,,1.3,3.3,0.402,0.402,0.6,0.7,0.772,0.3,1.0,1.3,0.7,,1.0,1.4,3.2
6,,,,NBA,,119.0,,8.8,1.3,3.3,0.404,,,,1.3,3.3,0.404,0.404,0.6,0.8,0.772,,,1.3,0.7,,,1.5,3.3
7,,,,ABA,,4.0,,6.3,0.8,2.3,0.333,0.0,0.0,,0.8,2.3,0.333,0.333,0.0,0.0,,0.3,1.0,1.3,0.3,,1.0,1.0,1.5
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,NYK,NBA,,62.0,,4.7,0.6,1.5,0.368,,,,0.6,1.5,0.368,0.368,0.5,0.7,0.733,,,0.6,0.3,,,1.1,1.7
10,1 season,,PHI,NBA,,57.0,,13.2,2.2,5.3,0.415,,,,2.2,5.3,0.415,0.415,0.7,0.8,0.809,,,2.1,1.2,,,1.9,5.1
11,1 season,,INA,ABA,,4.0,,6.3,0.8,2.3,0.333,0.0,0.0,,0.8,2.3,0.333,0.333,0.0,0.0,,0.3,1.0,1.3,0.3,,1.0,1.0,1.5
