,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
0,1953-54,24.0,TOT,NBA,SF,40.0,,12.4,1.2,3.5,0.348,0.9,1.6,0.538,2.5,1.2,1.3,3.3
1,1953-54,24.0,NYK,NBA,SF,8.0,,7.4,0.6,1.9,0.333,0.6,1.1,0.556,1.3,0.3,1.0,1.9
2,1953-54,24.0,BLB,NBA,SF,32.0,,13.6,1.3,3.8,0.35,0.9,1.8,0.536,2.8,1.5,1.4,3.6
3,Career,,,NBA,,40.0,,12.4,1.2,3.5,0.348,0.9,1.6,0.538,2.5,1.2,1.3,3.3
4,,,,,,,,,,,,,,,,,,
5,1 season,,BLB,NBA,,32.0,,13.6,1.3,3.8,0.35,0.9,1.8,0.536,2.8,1.5,1.4,3.6
6,1 season,,NYK,NBA,,8.0,,7.4,0.6,1.9,0.333,0.6,1.1,0.556,1.3,0.3,1.0,1.9
