,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2021-22,23.0,NOP,NBA,PF,78,69,29.9,3.5,7.4,0.476,0.7,2.2,0.337,2.8,5.2,0.533,0.525,1.8,2.1,0.84,1.3,2.5,3.8,2.1,1.7,0.8,1.3,3.1,9.5
1,2022-23,24.0,NOP,NBA,PF,66,66,29.6,3.6,7.6,0.469,0.8,2.5,0.335,2.7,5.1,0.536,0.525,1.9,2.4,0.764,1.5,2.6,4.1,2.5,1.6,0.6,1.3,3.2,9.8
2,2023-24,25.0,NOP,NBA,PF,1,1,38.0,4.0,8.0,0.5,2.0,3.0,0.667,2.0,5.0,0.4,0.625,3.0,5.0,0.6,3.0,5.0,8.0,3.0,1.0,1.0,3.0,3.0,13.0
3,Career,,,NBA,,145,136,29.8,3.5,7.5,0.473,0.8,2.3,0.339,2.7,5.1,0.534,0.526,1.8,2.3,0.799,1.4,2.6,4.0,2.3,1.6,0.7,1.3,3.1,9.7
