Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,7,2022-11-09,24-034,NOP,@,CHI,W (+4),1,27:55,5.0,9.0,.556,0.0,2.0,.000,7,8.0,.875,1.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,17.0,16.4,+10,7.0,5.0,0.7142857142857143,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,9.0,68.0,4.25,13.599999999999996,74.5,4.65625
11,12,8,2022-11-10,24-035,NOP,,POR,L (-11),1,34:15,3.0,6.0,.500,0.0,0.0,,4,4.0,1.000,1.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0,10.0,7.9,-16,6.0,3.0,0.5,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,4.0,60.0,3.75,6.3,53.60000000000001,3.3500000000000005
12,13,9,2022-11-12,24-037,NOP,,HOU,W (+13),1,19:27,3.0,7.0,.429,0.0,3.0,.000,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,6.0,3.1,+15,4.0,3.0,0.75,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,3.0,58.0,3.625,3.1,82.0,5.125
13,14,10,2022-11-15,24-040,NOP,,MEM,W (+11),1,22:33,4.0,7.0,.571,2.0,3.0,.667,0,1.0,.000,1.0,2.0,3.0,2.0,0.0,1.0,0.0,4.0,10.0,8.1,+3,4.0,2.0,0.5,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,8.0,92.0,5.75,8.099999999999998,83.8,5.2375
14,15,11,2022-11-16,24-041,NOP,,CHI,W (+14),1,31:36,3.0,7.0,.429,2.0,2.0,1.000,2,3.0,.667,3.0,1.0,4.0,3.0,1.0,0.0,1.0,4.0,10.0,8.8,+21,5.0,1.0,0.2,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,7.0,95.0,5.9375,8.000000000000002,89.5,5.59375
15,16,12,2022-11-18,24-043,NOP,,BOS,L (-8),1,35:34,7.0,12.0,.583,2.0,4.0,.500,1,2.0,.500,1.0,6.0,7.0,2.0,3.0,0.0,2.0,3.0,17.0,14.7,-9,8.0,5.0,0.625,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,13.0,83.0,5.1875,14.3,77.89999999999999,4.8687499999999995
16,17,13,2022-11-21,24-046,NOP,,GSW,W (+45),1,19:46,1.0,6.0,.167,0.0,4.0,.000,1,2.0,.500,0.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,+18,2.0,1.0,0.5,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,2.0,90.0,5.625,0.5999999999999996,101.20000000000005,6.325000000000003
17,18,14,2022-11-23,24-048,NOP,@,SAS,W (+19),1,18:50,3.0,7.0,.429,1.0,4.0,.250,2,2.0,1.000,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,9.0,6.1,+15,3.0,2.0,0.6666666666666666,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,4.0,91.0,5.6875,5.299999999999998,86.0,5.375
18,19,15,2022-11-25,24-050,NOP,@,MEM,L (-21),1,22:37,4.0,11.0,.364,2.0,4.0,.500,3,4.0,.750,2.0,3.0,5.0,3.0,1.0,1.0,1.0,2.0,13.0,10.8,-21,7.0,2.0,0.2857142857142857,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,7.0,65.0,4.0625,9.6,63.0,3.9375
19,20,16,2022-11-28,24-053,NOP,,OKC,W (+4),1,38:40,4.0,12.0,.333,1.0,5.0,.200,3,5.0,.600,1.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,12.0,8.7,0,7.0,3.0,0.4285714285714285,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,4.0,76.0,4.75,7.5000000000000036,64.4,4.025
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,,0.0,0.0,0.0,0.0,0.0
21,21,17,2022-11-30,24-055,NOP,,TOR,W (+18),1,20:15,4.0,9.0,.444,2.0,5.0,.400,2,2.0,1.000,1.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,12.0,7.2,+19,4.0,2.0,0.5,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,4.0,88.0,5.5,6.399999999999997,96.09999999999998,6.006249999999999
22,22,,2022-12-02,24-057,NOP,@,SAS,W (+18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,,96.0,6.0,0.0,92.2,5.7625
23,23,,2022-12-04,24-059,NOP,,DEN,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,,75.0,4.6875,0.0,88.9,5.55625
24,24,,2022-12-07,24-062,NOP,,DET,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,,75.0,4.6875,0.0,71.1,4.44375
25,25,,2022-12-09,24-064,NOP,,PHO,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,,70.0,4.375,0.0,99.9,6.24375
26,26,,2022-12-11,24-066,NOP,,PHO,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,,95.0,5.9375,0.0,104.30000000000004,6.5187500000000025
27,27,18,2022-12-13,24-068,NOP,@,UTA,L (-21),1,20:28,2.0,5.0,.400,0.0,2.0,.000,2,2.0,1.000,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,4.3,-12,3.0,2.0,0.6666666666666666,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,1.0,48.0,3.0,3.5,73.6,4.6
28,28,19,2022-12-15,24-070,NOP,@,UTA,L (-3),1,21:12,3.0,6.0,.500,1.0,1.0,1.000,5,6.0,.833,3.0,1.0,4.0,4.0,1.0,0.0,0.0,6.0,12.0,12.4,+17,5.0,2.0,0.4,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,9.0,65.0,4.0625,10.400000000000002,83.4,5.2125
29,29,20,2022-12-17,24-072,NOP,@,PHO,L (-4),1,31:20,3.0,4.0,.750,2.0,3.0,.667,0,0.0,,0.0,3.0,3.0,4.0,0.0,0.0,0.0,3.0,8.0,8.9,-13,1.0,1.0,1.0,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,11.0,64.0,4.0,8.899999999999999,72.3,4.51875
30,30,21,2022-12-19,24-074,NOP,,MIL,L (-9),1,30:44,3.0,11.0,.273,2.0,8.0,.250,1,2.0,.500,1.0,1.0,2.0,1.0,5.0,0.0,2.0,5.0,9.0,4.8,+7,3.0,1.0,0.3333333333333333,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,2.0,74.0,4.625,4.399999999999999,80.2,5.0125
31,31,22,2022-12-22,24-077,NOP,,SAS,W (+9),1,34:26,4.0,8.0,.500,2.0,4.0,.500,2,2.0,1.000,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,12.0,10.6,+16,4.0,2.0,0.5,45,59,2,37,46,19,36,63,45,22,50,61,64,32,20,45.0,75.0,5.0,73.0,59.0,25.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,1.0,0.7866666666666666,0.4,0.5068493150684932,0.7796610169491526,0.76,0.7659574468085106,0.7974683544303798,0.7377049180327869,0.88,0.7692307692307693,0.7922077922077922,0.810126582278481,0.8421052631578947,0.6896551724137931,23,63.0,65.0,0.0,0.3538461538461538,16,8.0,79.0,4.9375,9.799999999999995,88.5,5.53125
