Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,25-047,NOP,@,BRK,W (+22),1,31:00,10.0,17.0,.588,2.0,4.0,.500,6,9.0,.667,0.0,7.0,7.0,5.0,1.0,0.0,4.0,3.0,28.0,20.3,+24,13.0,8.0,0.6153846153846154,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,11.0,89.0,5.5625,17.900000000000002,88.0,5.5
1,2,2,2022-10-21,25-049,NOP,@,CHO,W (+12),1,37:29,8.0,16.0,.500,1.0,1.0,1.000,11,11.0,1.000,0.0,9.0,9.0,7.0,2.0,1.0,5.0,0.0,28.0,25.3,+23,15.0,7.0,0.4666666666666667,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,15.0,77.0,4.8125,20.9,89.5,5.59375
2,3,3,2022-10-23,25-051,NOP,,UTA,L (-1),1,10:49,4.0,5.0,.800,1.0,2.0,.500,1,2.0,.500,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,8.0,0,3.0,3.0,1.0,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,4.0,65.0,4.0625,7.6,82.39999999999999,5.1499999999999995
3,4,,2022-10-25,25-053,NOP,,DAL,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,78.0,4.875,0.0,83.1,5.19375
4,5,,2022-10-28,25-056,NOP,@,PHO,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,81.0,5.0625,0.0,85.3,5.33125
5,6,,2022-10-30,25-058,NOP,@,LAC,W (+21),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,96.0,6.0,0.0,95.7,5.98125
6,7,,2022-11-02,25-061,NOP,@,LAL,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,,95.0,5.9375,0.0,91.7,5.73125
7,8,4,2022-11-04,25-063,NOP,,GSW,W (+9),1,36:14,8.0,17.0,.471,3.0,7.0,.429,7,10.0,.700,0.0,5.0,5.0,5.0,0.0,2.0,4.0,2.0,26.0,17.7,+8,10.0,5.0,0.5,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,7.0,62.0,3.875,14.900000000000002,68.4,4.275
8,9,5,2022-11-05,25-064,NOP,@,ATL,L (-3),1,38:15,7.0,23.0,.304,2.0,4.0,.500,0,0.0,,1.0,4.0,5.0,7.0,0.0,2.0,1.0,4.0,16.0,8.3,-3,19.0,5.0,0.2631578947368421,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,6.0,54.0,3.375,8.299999999999999,71.69999999999999,4.481249999999999
9,10,6,2022-11-07,25-066,NOP,@,IND,L (-7),1,36:46,12.0,24.0,.500,3.0,4.0,.750,2,2.0,1.000,2.0,4.0,6.0,2.0,0.0,2.0,2.0,2.0,29.0,19.6,-5,20.0,9.0,0.45,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,11.0,89.0,5.5625,18.8,74.60000000000001,4.6625000000000005
10,11,7,2022-11-09,25-068,NOP,@,CHI,W (+4),1,33:17,8.0,14.0,.571,1.0,2.0,.500,5,6.0,.833,1.0,8.0,9.0,3.0,1.0,0.0,4.0,4.0,22.0,15.6,+19,12.0,7.0,0.5833333333333334,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,11.0,66.0,4.125,13.6,74.49999999999999,4.656249999999999
11,12,8,2022-11-10,25-069,NOP,,POR,L (-11),1,31:20,6.0,12.0,.500,2.0,4.0,.500,0,0.0,,0.0,5.0,5.0,2.0,0.0,0.0,5.0,6.0,14.0,3.5,-17,8.0,4.0,0.5,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,4.0,60.0,3.75,3.4999999999999982,56.40000000000001,3.525000000000001
12,13,9,2022-11-12,25-071,NOP,,HOU,W (+13),1,37:40,8.0,19.0,.421,0.0,4.0,.000,4,4.0,1.000,1.0,4.0,5.0,5.0,3.0,1.0,2.0,4.0,20.0,15.4,+21,15.0,8.0,0.5333333333333333,42,1,18,27,10,45,19,43,27,15,38,45,43,19,12,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.56,0.2,0.2465753424657534,0.4576271186440678,0.4,0.6818181818181818,0.4042553191489361,0.5443037974683544,0.4426229508196721,0.6,0.5846153846153846,0.5844155844155844,0.5443037974683544,0.5,0.4137931034482758,21,63.0,65.0,0.0,0.3230769230769231,16,9.0,52.0,3.25,13.8,71.3,4.45625
