Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,22-123,NOP,@,BRK,W (+22),0,23:57,5.0,7.0,.714,4.0,6.0,.667,2,3.0,.667,4.0,5.0,9.0,2.0,0.0,1.0,1.0,4.0,16.0,16.5,+4,1.0,1.0,1.0,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,17.0,83.0,5.1875,15.7,90.2,5.6375
1,2,2,2022-10-21,22-125,NOP,@,CHO,W (+12),0,19:49,3.0,9.0,.333,2.0,5.0,.400,0,0.0,,1.0,2.0,3.0,0.0,3.0,0.0,0.0,2.0,8.0,6.4,-11,4.0,1.0,0.25,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,5.0,87.0,5.4375,6.399999999999999,104.0,6.5
2,3,3,2022-10-23,22-127,NOP,,UTA,L (-1),0,39:42,6.0,11.0,.545,3.0,4.0,.750,1,1.0,1.000,1.0,8.0,9.0,1.0,0.0,0.0,2.0,4.0,16.0,10.9,+14,7.0,3.0,0.4285714285714285,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,12.0,57.0,3.5625,10.499999999999996,79.49999999999999,4.968749999999999
3,4,4,2022-10-25,22-129,NOP,,DAL,W (+2),1,36:29,8.0,8.0,1.000,4.0,4.0,1.000,2,2.0,1.000,1.0,4.0,5.0,1.0,1.0,0.0,2.0,3.0,22.0,20.0,+1,4.0,4.0,1.0,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,17.0,61.0,3.8125,19.2,63.899999999999984,3.993749999999999
4,5,5,2022-10-28,22-132,NOP,@,PHO,L (-13),1,32:36,4.0,9.0,.444,3.0,7.0,.429,2,2.0,1.000,0.0,5.0,5.0,1.0,2.0,0.0,1.0,3.0,13.0,10.3,+3,2.0,1.0,0.5,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,9.0,72.0,4.5,9.5,75.80000000000001,4.737500000000001
5,6,6,2022-10-30,22-134,NOP,@,LAC,W (+21),1,37:17,6.0,16.0,.375,3.0,9.0,.333,0,0.0,,4.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,15.0,10.0,+21,7.0,3.0,0.4285714285714285,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,5.0,91.0,5.6875,10.0,85.7,5.35625
6,7,7,2022-11-02,22-137,NOP,@,LAL,L (-3),1,39:43,4.0,9.0,.444,0.0,5.0,.000,4,4.0,1.000,2.0,3.0,5.0,3.0,1.0,0.0,0.0,2.0,12.0,11.9,0,4.0,4.0,1.0,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,8.0,87.0,5.4375,10.3,81.39999999999998,5.087499999999999
7,8,8,2022-11-04,22-139,NOP,,GSW,W (+9),0,27:33,3.0,7.0,.429,3.0,6.0,.500,1,1.0,1.000,1.0,3.0,4.0,4.0,2.0,0.0,0.0,3.0,10.0,11.5,+18,1.0,0.0,0.0,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,12.0,57.0,3.5625,11.099999999999998,72.2,4.5125
8,9,9,2022-11-05,22-140,NOP,@,ATL,L (-3),0,17:16,0.0,3.0,.000,0.0,3.0,.000,2,2.0,1.000,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.3,+3,0.0,0.0,,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,-2.0,62.0,3.875,-0.4999999999999998,80.49999999999999,5.031249999999999
9,10,10,2022-11-07,22-142,NOP,@,IND,L (-7),0,28:11,4.0,7.0,.571,3.0,6.0,.500,0,0.0,,1.0,5.0,6.0,1.0,2.0,0.0,1.0,1.0,11.0,11.2,+8,1.0,1.0,1.0,43,73,5,50,57,22,64,44,76,58,24,62,74,35,27,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,38.0,29.0,0.9555555555555556,0.9733333333333334,1.0,0.684931506849315,0.9661016949152542,0.88,0.9696969696969696,0.9361702127659576,0.9620253164556962,0.9508196721311476,0.96,0.953846153846154,0.961038961038961,0.9210526315789472,0.9310344827586208,23,63.0,65.0,0.0,0.3538461538461538,16,12.0,88.0,5.5,11.199999999999998,82.2,5.1375
