Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,22-149,NOP,@,BRK,W (+22),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,100.0,6.25,0.0,105.9,6.61875
1,2,,2022-10-21,22-151,NOP,@,CHO,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,92.0,5.75,0.0,110.40000000000002,6.900000000000001
2,3,1,2022-10-23,22-153,NOP,,UTA,L (-1),0,2:51,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-8,0.0,0.0,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,-1.0,70.0,4.375,-1.1,91.09999999999998,5.693749999999999
3,4,2,2022-10-25,22-155,NOP,,DAL,W (+2),0,13:25,0.0,1.0,.000,0.0,1.0,.000,0,2.0,.000,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.6,-8,0.0,0.0,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,-1.0,79.0,4.9375,-1.6,84.69999999999999,5.293749999999999
4,5,3,2022-10-28,22-158,NOP,@,PHO,L (-13),0,7:56,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-5,0.0,0.0,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,2.0,79.0,4.9375,1.0,84.3,5.26875
5,6,4,2022-10-30,22-160,NOP,@,LAC,W (+21),0,8:26,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,3.6,+3,1.0,1.0,1.0,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,5.0,91.0,5.6875,3.6,92.1,5.75625
6,7,5,2022-11-02,22-163,NOP,@,LAL,L (-3),0,4:22,0.0,2.0,.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-3,2.0,0.0,0.0,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,-1.0,96.0,6.0,-1.1,92.79999999999998,5.799999999999999
7,8,,2022-11-04,22-165,NOP,,GSW,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,69.0,4.3125,0.0,83.3,5.20625
8,9,,2022-11-05,22-166,NOP,@,ATL,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,60.0,3.75,0.0,79.99999999999999,4.999999999999999
9,10,,2022-11-07,22-168,NOP,@,IND,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,19,41,5,30,37,21,36,44,35,22,32,43,44,26,12,45.0,75.0,5.0,73.0,59.0,25.0,66.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.4222222222222222,0.5466666666666666,1.0,0.410958904109589,0.6271186440677966,0.84,0.5454545454545454,0.5569620253164557,0.5737704918032787,0.88,0.4923076923076923,0.5584415584415584,0.5569620253164557,0.6842105263157895,0.4137931034482758,15,63.0,65.0,0.0,0.2307692307692307,16,,100.0,6.25,0.0,93.4,5.8375
