Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jonas Valančiūnas,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jonas Valančiūnas,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,22-146,NOP,@,BRK,W (+22),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,5,4,2,3,2,5,5,5,3,4,5,5,2,1,45.0,75.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0222222222222222,0.0666666666666666,0.0547945205479452,0.0338983050847457,0.12,0.0303030303030303,0.1063829787234042,0.0632911392405063,0.081967213114754,0.12,0.0615384615384615,0.0649350649350649,0.0632911392405063,0.0526315789473684,0.0344827586206896,1,63.0,65.0,0.0,0.0153846153846153,16,,100.0,6.25,0.0,105.9,6.61875
1,2,,2022-10-21,22-148,NOP,@,CHO,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,5,4,2,3,2,5,5,5,3,4,5,5,2,1,45.0,75.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0222222222222222,0.0666666666666666,0.0547945205479452,0.0338983050847457,0.12,0.0303030303030303,0.1063829787234042,0.0632911392405063,0.081967213114754,0.12,0.0615384615384615,0.0649350649350649,0.0632911392405063,0.0526315789473684,0.0344827586206896,1,63.0,65.0,0.0,0.0153846153846153,16,,92.0,5.75,0.0,110.40000000000002,6.900000000000001
2,3,,2022-10-23,22-150,NOP,,UTA,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,5,4,2,3,2,5,5,5,3,4,5,5,2,1,45.0,75.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0222222222222222,0.0666666666666666,0.0547945205479452,0.0338983050847457,0.12,0.0303030303030303,0.1063829787234042,0.0632911392405063,0.081967213114754,0.12,0.0615384615384615,0.0649350649350649,0.0632911392405063,0.0526315789473684,0.0344827586206896,1,63.0,65.0,0.0,0.0153846153846153,16,,69.0,4.3125,0.0,89.99999999999999,5.624999999999999
3,4,,2022-10-25,22-152,NOP,,DAL,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,5,4,2,3,2,5,5,5,3,4,5,5,2,1,45.0,75.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0222222222222222,0.0666666666666666,0.0547945205479452,0.0338983050847457,0.12,0.0303030303030303,0.1063829787234042,0.0632911392405063,0.081967213114754,0.12,0.0615384615384615,0.0649350649350649,0.0632911392405063,0.0526315789473684,0.0344827586206896,1,63.0,65.0,0.0,0.0153846153846153,16,,78.0,4.875,0.0,83.1,5.19375
4,5,1,2022-10-28,22-155,NOP,@,PHO,L (-13),0,1:58,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+1,0.0,0.0,,1,5,4,2,3,2,5,5,5,3,4,5,5,2,1,45.0,75.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0222222222222222,0.0666666666666666,0.0547945205479452,0.0338983050847457,0.12,0.0303030303030303,0.1063829787234042,0.0632911392405063,0.081967213114754,0.12,0.0615384615384615,0.0649350649350649,0.0632911392405063,0.0526315789473684,0.0344827586206896,1,63.0,65.0,0.0,0.0153846153846153,16,0.0,81.0,5.0625,0.0,85.3,5.33125
5,6,2,2022-10-30,22-157,NOP,@,LAC,W (+21),0,0:32,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,1,5,4,2,3,2,5,5,5,3,4,5,5,2,1,45.0,75.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0222222222222222,0.0666666666666666,0.0547945205479452,0.0338983050847457,0.12,0.0303030303030303,0.1063829787234042,0.0632911392405063,0.081967213114754,0.12,0.0615384615384615,0.0649350649350649,0.0632911392405063,0.0526315789473684,0.0344827586206896,1,63.0,65.0,0.0,0.0153846153846153,16,0.0,96.0,6.0,0.0,95.7,5.98125
6,7,,2022-11-02,22-160,NOP,@,LAL,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,5,4,2,3,2,5,5,5,3,4,5,5,2,1,45.0,75.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0222222222222222,0.0666666666666666,0.0547945205479452,0.0338983050847457,0.12,0.0303030303030303,0.1063829787234042,0.0632911392405063,0.081967213114754,0.12,0.0615384615384615,0.0649350649350649,0.0632911392405063,0.0526315789473684,0.0344827586206896,1,63.0,65.0,0.0,0.0153846153846153,16,,95.0,5.9375,0.0,91.7,5.73125
7,8,,2022-11-04,22-162,NOP,,GSW,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,5,4,2,3,2,5,5,5,3,4,5,5,2,1,45.0,75.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0222222222222222,0.0666666666666666,0.0547945205479452,0.0338983050847457,0.12,0.0303030303030303,0.1063829787234042,0.0632911392405063,0.081967213114754,0.12,0.0615384615384615,0.0649350649350649,0.0632911392405063,0.0526315789473684,0.0344827586206896,1,63.0,65.0,0.0,0.0153846153846153,16,,69.0,4.3125,0.0,83.3,5.20625
8,9,,2022-11-05,22-163,NOP,@,ATL,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,5,4,2,3,2,5,5,5,3,4,5,5,2,1,45.0,75.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0222222222222222,0.0666666666666666,0.0547945205479452,0.0338983050847457,0.12,0.0303030303030303,0.1063829787234042,0.0632911392405063,0.081967213114754,0.12,0.0615384615384615,0.0649350649350649,0.0632911392405063,0.0526315789473684,0.0344827586206896,1,63.0,65.0,0.0,0.0153846153846153,16,,60.0,3.75,0.0,79.99999999999999,4.999999999999999
9,10,,2022-11-07,22-165,NOP,@,IND,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,1,5,4,2,3,2,5,5,5,3,4,5,5,2,1,45.0,75.0,73.0,59.0,25.0,66.0,47.0,79.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.0222222222222222,0.0666666666666666,0.0547945205479452,0.0338983050847457,0.12,0.0303030303030303,0.1063829787234042,0.0632911392405063,0.081967213114754,0.12,0.0615384615384615,0.0649350649350649,0.0632911392405063,0.0526315789473684,0.0344827586206896,1,63.0,65.0,0.0,0.0153846153846153,16,,100.0,6.25,0.0,93.4,5.8375
