Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Ingram,Shared Games with CJ McCollum,Shared Games with Dereon Seabron,Shared Games with Devonte' Graham,Shared Games with Dyson Daniels,Shared Games with Garrett Temple,Shared Games with Herbert Jones,Shared Games with Jaxson Hayes,Shared Games with Jose Alvarado,Shared Games with Kira Lewis Jr.,Shared Games with Larry Nance Jr.,Shared Games with Naji Marshall,Shared Games with Trey Murphy III,Shared Games with Willy Hernangómez,Shared Games with Zion Williamson,Brandon Ingram,CJ McCollum,Dereon Seabron,Devonte' Graham,Dyson Daniels,Garrett Temple,Herbert Jones,Jaxson Hayes,Jose Alvarado,Kira Lewis Jr.,Larry Nance Jr.,Naji Marshall,Trey Murphy III,Willy Hernangómez,Zion Williamson,co_inf with Brandon Ingram,co_inf with CJ McCollum,co_inf with Dereon Seabron,co_inf with Devonte' Graham,co_inf with Dyson Daniels,co_inf with Garrett Temple,co_inf with Herbert Jones,co_inf with Jaxson Hayes,co_inf with Jose Alvarado,co_inf with Kira Lewis Jr.,co_inf with Larry Nance Jr.,co_inf with Naji Marshall,co_inf with Trey Murphy III,co_inf with Willy Hernangómez,co_inf with Zion Williamson,Shared Games with Josh Richardson,Al Horford,Josh Richardson,co_inf with Al Horford,co_inf with Josh Richardson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,30-166,NOP,@,BRK,W (+22),1,26:37,6.0,13.0,.462,1.0,1.0,1.000,2,2.0,1.000,6.0,7.0,13.0,2.0,0.0,1.0,1.0,1.0,15.0,15.3,+28,12.0,5.0,0.4166666666666667,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,15.0,85.0,5.3125,14.499999999999996,91.4,5.7125
1,2,2,2022-10-21,30-168,NOP,@,CHO,W (+12),1,29:27,8.0,11.0,.727,1.0,3.0,.333,13,14.0,.929,4.0,13.0,17.0,4.0,1.0,1.0,1.0,1.0,30.0,34.9,+19,8.0,7.0,0.875,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,27.0,65.0,4.0625,29.700000000000003,80.7,5.04375
2,3,3,2022-10-23,30-170,NOP,,UTA,L (-1),1,24:27,2.0,11.0,.182,0.0,1.0,.000,2,2.0,1.000,8.0,1.0,9.0,3.0,1.0,0.0,1.0,3.0,6.0,5.9,-7,10.0,2.0,0.2,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,5.0,64.0,4.0,5.1,84.89999999999998,5.306249999999999
3,4,4,2022-10-25,30-172,NOP,,DAL,W (+2),1,22:18,5.0,9.0,.556,0.0,2.0,.000,3,3.0,1.000,0.0,7.0,7.0,2.0,0.0,1.0,1.0,3.0,13.0,10.7,+2,7.0,5.0,0.7142857142857143,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,10.0,68.0,4.25,9.5,73.6,4.6
4,5,5,2022-10-28,30-175,NOP,@,PHO,L (-13),1,31:17,11.0,16.0,.688,0.0,0.0,,3,3.0,1.000,3.0,7.0,10.0,2.0,1.0,0.0,2.0,3.0,25.0,21.6,0,16.0,11.0,0.6875,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,17.0,64.0,4.0,20.4,64.9,4.05625
5,6,6,2022-10-30,30-177,NOP,@,LAC,W (+21),1,23:55,4.0,6.0,.667,1.0,2.0,.500,2,4.0,.500,1.0,6.0,7.0,5.0,1.0,0.0,3.0,2.0,11.0,10.8,+1,4.0,3.0,0.75,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,11.0,85.0,5.3125,9.999999999999998,85.7,5.35625
6,7,7,2022-11-02,30-180,NOP,@,LAL,L (-3),1,21:43,3.0,11.0,.273,1.0,2.0,.500,2,2.0,1.000,4.0,6.0,10.0,1.0,0.0,0.0,2.0,2.0,9.0,5.0,-10,9.0,2.0,0.2222222222222222,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,5.0,90.0,5.625,4.200000000000001,87.49999999999997,5.468749999999998
7,8,8,2022-11-04,30-182,NOP,,GSW,W (+9),1,19:27,2.0,3.0,.667,0.0,1.0,.000,4,6.0,.667,1.0,5.0,6.0,0.0,0.0,0.0,1.0,2.0,8.0,6.3,-13,2.0,2.0,1.0,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,4.0,65.0,4.0625,4.7,78.6,4.9125
8,9,9,2022-11-05,30-183,NOP,@,ATL,L (-3),1,25:39,5.0,12.0,.417,0.0,0.0,,3,4.0,.750,7.0,10.0,17.0,1.0,1.0,1.0,2.0,2.0,13.0,13.7,-9,12.0,5.0,0.4166666666666667,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,15.0,45.0,2.8125,12.499999999999998,67.49999999999999,4.218749999999999
9,10,10,2022-11-07,30-185,NOP,@,IND,L (-7),1,21:49,7.0,9.0,.778,0.0,0.0,,0,0.0,,2.0,5.0,7.0,2.0,0.0,0.0,0.0,3.0,14.0,13.6,-13,9.0,7.0,0.7777777777777778,43,72,5,52,57,24,63,44,60,22,64,74,76,35,29,45.0,75.0,5.0,73.0,59.0,25.0,66.0,47.0,61.0,25.0,65.0,77.0,79.0,38.0,29.0,0.9555555555555556,0.96,1.0,0.7123287671232876,0.9661016949152542,0.96,0.9545454545454546,0.9361702127659576,0.9836065573770492,0.88,0.9846153846153848,0.961038961038961,0.9620253164556962,0.9210526315789472,1.0,23,63.0,65.0,0.0,0.3538461538461538,16,14.0,86.0,5.375,13.599999999999998,79.8,4.9875
