Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,32-019,CLE,@,SAC,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,71.0,4.4375,0.0,92.3,5.76875
11,12,,2022-11-11,32-021,CLE,@,GSW,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,55.0,3.4375,0.0,71.9,4.49375
12,13,,2022-11-13,32-023,CLE,,MIN,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,62.0,3.875,0.0,94.4,5.9
13,14,,2022-11-16,32-026,CLE,@,MIL,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,60.0,3.75,0.0,79.50000000000001,4.968750000000001
14,15,,2022-11-18,32-028,CLE,,CHO,W (+10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,78.0,4.875,0.0,100.5,6.28125
15,16,,2022-11-20,32-030,CLE,,MIA,W (+26),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,99.0,6.1875,0.0,105.40000000000002,6.587500000000001
16,17,,2022-11-21,32-031,CLE,,ATL,W (+12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,81.0,5.0625,0.0,102.9,6.43125
17,18,,2022-11-23,32-033,CLE,,POR,W (+18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,77.0,4.8125,0.0,95.8,5.9875
18,19,,2022-11-25,32-035,CLE,@,MIL,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,61.0,3.8125,0.0,91.4,5.7125
19,20,,2022-11-27,32-037,CLE,@,DET,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,29,31,29,22,26,3,32,27,3,27,6,29,7,14,10,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,37.0,5.0,0.3918918918918919,0.4025974025974026,0.4202898550724637,0.5,0.3823529411764705,1.0,0.4050632911392405,0.3552631578947368,0.25,0.3970588235294117,0.0967741935483871,0.4677419354838709,0.3181818181818182,0.2916666666666667,0.2702702702702703,0.0,5,11.0,74.0,0.4545454545454545,0.0,16,,41.0,2.5625,0.0,62.9,3.93125
