Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,30-174,CLE,@,SAC,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,,71.0,4.4375,0.0,92.3,5.76875
11,12,,2022-11-11,30-176,CLE,@,GSW,L (-5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,,55.0,3.4375,0.0,71.9,4.49375
12,13,8,2022-11-13,30-178,CLE,,MIN,L (-5),0,5:24,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-17,1.0,0.0,0.0,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,-1.0,63.0,3.9375,-0.7,95.1,5.94375
13,14,9,2022-11-16,30-181,CLE,@,MIL,L (-15),0,4:57,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0,0.0,0.0,,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,-1.0,61.0,3.8125,-0.7,80.20000000000002,5.012500000000001
14,15,,2022-11-18,30-183,CLE,,CHO,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,,78.0,4.875,0.0,100.5,6.28125
15,16,10,2022-11-20,30-185,CLE,,MIA,W (+26),0,7:53,2.0,3.0,.667,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,2.0,-4,3.0,2.0,0.6666666666666666,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,1.0,98.0,6.125,2.0,103.40000000000002,6.462500000000001
16,17,,2022-11-21,30-186,CLE,,ATL,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,,81.0,5.0625,0.0,102.9,6.43125
17,18,11,2022-11-23,30-188,CLE,,POR,W (+18),0,1:34,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+1,0.0,0.0,,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,0.0,77.0,4.8125,0.0,95.8,5.9875
18,19,12,2022-11-25,30-190,CLE,@,MIL,L (-15),0,3:03,0.0,0.0,,0.0,0.0,,1,2.0,.500,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.3,+7,0.0,0.0,,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,0.0,61.0,3.8125,0.8999999999999999,90.5,5.65625
19,20,13,2022-11-27,30-192,CLE,@,DET,W (+8),0,12:56,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,5.0,+7,1.0,1.0,1.0,41,45,36,29,35,2,45,45,11,38,22,38,18,14,29,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,68.0,62.0,62.0,22.0,33.0,37.0,5.0,0.5540540540540541,0.5844155844155844,0.5217391304347826,0.6590909090909091,0.5147058823529411,0.6666666666666666,0.569620253164557,0.5921052631578947,0.9166666666666666,0.5588235294117647,0.3548387096774194,0.6129032258064516,0.8181818181818182,0.4242424242424242,0.7837837837837838,0.0,4,11.0,74.0,0.3636363636363636,0.0,16,4.0,37.0,2.3125,5.0,57.9,3.61875
