Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Co_Points_Share
0,1.0,Jayson Tatum,23.0,76,76.0,2731,708,1564,0.453,230,651,0.353,478,913,0.524,0.526,400,469,0.853,85,524,609,334,75,49,217,174,2046,0.22326494980357922
1,2.0,Marcus Smart,27.0,71,71.0,2296,300,718,0.418,119,360,0.331,181,358,0.506,0.501,142,179,0.793,42,228,270,417,119,18,159,160,861,0.09395460497599302
2,3.0,Jaylen Brown,25.0,66,66.0,2220,576,1217,0.473,166,464,0.358,410,753,0.544,0.541,241,318,0.758,53,351,404,231,70,18,178,163,1559,0.1701222173723265
3,4.0,Al Horford,35.0,69,69.0,2005,266,569,0.467,89,265,0.336,177,304,0.582,0.546,80,95,0.842,108,422,530,232,49,92,65,130,701,0.07649498035792231
4,5.0,Grant Williams,23.0,77,21.0,1875,205,432,0.475,106,258,0.411,99,174,0.569,0.597,86,95,0.905,64,210,274,78,38,57,62,186,602,0.06569183762549105
5,6.0,Robert Williams,24.0,61,61.0,1804,271,368,0.736,0,1,0.0,271,367,0.738,0.736,65,90,0.722,238,350,588,121,56,134,63,137,607,0.06623745089480576
6,7.0,Dennis Schröder,28.0,49,25.0,1433,257,584,0.44,67,192,0.349,190,392,0.485,0.497,123,145,0.848,28,136,164,208,41,5,104,116,704,0.07682234831951112
7,8.0,Josh Richardson,28.0,44,0.0,1087,152,343,0.443,62,156,0.397,90,187,0.481,0.534,61,71,0.859,26,99,125,66,34,23,39,82,427,0.04659537319947621
8,9.0,Payton Pritchard,24.0,71,2.0,1001,160,373,0.429,101,245,0.412,59,128,0.461,0.564,21,21,1.0,32,102,134,139,25,6,41,61,442,0.04823221300742034
9,10.0,Romeo Langford,22.0,44,5.0,728,79,184,0.429,29,83,0.349,50,101,0.495,0.508,20,34,0.588,30,74,104,19,21,16,16,46,207,0.022588389349628982
10,11.0,Derrick White,27.0,26,4.0,713,94,230,0.409,34,111,0.306,60,119,0.504,0.483,64,75,0.853,13,75,88,92,15,16,32,56,286,0.031209079004801396
11,12.0,Aaron Nesmith,22.0,52,3.0,574,72,182,0.396,31,115,0.27,41,67,0.612,0.481,21,26,0.808,15,74,89,22,20,5,31,70,196,0.02138804015713662
12,13.0,Enes Freedom,29.0,35,1.0,411,51,97,0.526,2,5,0.4,49,92,0.533,0.536,24,28,0.857,61,99,160,8,5,14,20,42,128,0.013967699694456569
13,14.0,Daniel Theis,29.0,21,6.0,393,67,112,0.598,10,28,0.357,57,84,0.679,0.643,22,32,0.688,27,71,98,21,9,14,15,49,166,0.01811436054124836
14,15.0,Sam Hauser,24.0,26,0.0,158,23,50,0.46,19,44,0.432,4,6,0.667,0.65,0,0,,5,24,29,10,1,2,2,7,65,0.007092972501091226
15,16.0,Jabari Parker,26.0,12,0.0,112,18,38,0.474,8,16,0.5,10,22,0.455,0.579,9,9,1.0,5,23,28,6,4,1,8,13,53,0.005783500654735923
16,17.0,Juancho Hernangómez,26.0,18,0.0,96,5,27,0.185,3,18,0.167,2,9,0.222,0.241,6,9,0.667,9,16,25,3,4,2,6,7,19,0.002073330423395897
17,18.0,Luke Kornet,26.0,12,0.0,85,12,21,0.571,0,4,0.0,12,17,0.706,0.571,2,3,0.667,10,15,25,8,3,2,0,7,26,0.0028371890004364906
18,19.0,Brodric Thomas,25.0,12,0.0,60,8,18,0.444,2,9,0.222,6,9,0.667,0.5,3,5,0.6,2,8,10,11,1,1,6,7,21,0.002291575731121781
19,20.0,Bruno Fernando,23.0,20,0.0,58,7,14,0.5,1,1,1.0,6,13,0.462,0.536,4,5,0.8,7,8,15,4,0,3,5,6,19,0.002073330423395897
20,21.0,Malik Fitts,24.0,8,0.0,28,6,10,0.6,3,6,0.5,3,4,0.75,0.75,0,0,,2,5,7,5,0,0,0,1,15,0.001636839807944129
21,22.0,Nik Stauskas,28.0,6,0.0,15,2,6,0.333,2,6,0.333,0,0,,0.5,1,2,0.5,0,0,0,1,0,0,1,0,7,0.0007638585770405937
22,23.0,Kelan Martin,26.0,3,0.0,6,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,1,1,2,0,0,0,0,0,0,0.0
23,24.0,Matt Ryan,24.0,1,0.0,5,1,5,0.2,1,5,0.2,0,0,,0.3,0,0,,0,0,0,0,1,0,0,0,3,0.00032736796158882583
24,25.0,Juwan Morgan,24.0,1,0.0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0
25,26.0,C.J. Miles,34.0,1,0.0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,0.0
26,27.0,Joe Johnson,40.0,1,0.0,2,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,0,0,0,0,0,0,0,2,0.00021824530772588389
27,28.0,Justin Jackson,26.0,1,0.0,2,0,1,0.0,0,0,,0,1,0.0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,0.00021824530772588389
28,,,,82,,19905,3341,7167,0.466,1085,3044,0.356,2256,4123,0.547,0.542,1397,1713,0.816,863,2915,3778,2036,591,478,1118,1521,9164,1.0
