Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Co_Points_Share
0,1.0,P.J. Washington,24.0,73,73.0,2380,434,978,0.444,149,428,0.348,285,550,0.518,0.52,127,174,0.73,73,285,358,175,66,79,110,193,1144,0.12574192130138492
1,2.0,Terry Rozier,28.0,63,63.0,2221,493,1188,0.415,165,505,0.327,328,683,0.48,0.484,178,220,0.809,51,208,259,319,74,16,134,119,1329,0.1460760606726753
2,3.0,Mason Plumlee,32.0,56,56.0,1597,265,396,0.669,0,0,,265,396,0.669,0.669,155,256,0.605,187,354,541,205,35,35,87,161,685,0.07529127280721037
3,4.0,Gordon Hayward,32.0,50,50.0,1577,276,581,0.475,52,160,0.325,224,421,0.532,0.52,129,159,0.811,33,182,215,206,42,12,99,70,733,0.0805671576170587
4,5.0,Kelly Oubre Jr.,27.0,48,40.0,1548,353,819,0.431,108,339,0.319,245,480,0.51,0.497,158,208,0.76,65,184,249,54,68,18,64,141,972,0.10683666739942844
5,6.0,Jalen McDaniels,25.0,56,21.0,1494,221,494,0.447,65,202,0.322,156,292,0.534,0.513,88,104,0.846,44,226,270,111,66,29,80,158,595,0.06539898878874478
6,7.0,Dennis Smith Jr.,25.0,54,15.0,1390,186,452,0.412,24,111,0.216,162,341,0.475,0.438,78,106,0.736,27,140,167,261,75,25,82,122,474,0.052099362497252145
7,8.0,LaMelo Ball,21.0,36,36.0,1268,296,721,0.411,144,383,0.376,152,338,0.45,0.51,102,122,0.836,42,189,231,304,46,11,129,118,838,0.09210815563860189
8,9.0,Nick Richards,25.0,65,9.0,1217,197,313,0.629,1,1,1.0,196,312,0.628,0.631,137,183,0.749,147,269,416,38,11,71,59,154,532,0.05847438997581886
9,10.0,JT Thor,20.0,69,8.0,969,95,238,0.399,39,123,0.317,56,115,0.487,0.481,33,47,0.702,36,116,152,36,22,23,44,66,262,0.02879753792042207
10,11.0,Théo Maledon,21.0,44,7.0,854,102,254,0.402,28,95,0.295,74,159,0.465,0.457,63,74,0.851,14,109,123,152,37,12,59,61,295,0.03242470872719279
11,12.0,Mark Williams,21.0,43,17.0,828,160,251,0.637,0,0,,160,251,0.637,0.637,67,97,0.691,93,211,304,18,28,45,40,94,387,0.042536821279402066
12,13.0,Bryce McGowens,20.0,46,7.0,787,80,202,0.396,26,80,0.325,54,122,0.443,0.46,60,80,0.75,20,73,93,54,15,6,43,48,246,0.02703890965047263
13,14.0,Kai Jones,22.0,46,0.0,550,67,120,0.558,4,19,0.211,63,101,0.624,0.575,19,26,0.731,37,86,123,15,17,30,31,65,157,0.017256539898878875
14,15.0,James Bouknight,22.0,34,0.0,515,69,193,0.358,33,109,0.303,36,84,0.429,0.443,20,30,0.667,8,64,72,41,14,5,32,49,191,0.020993624972521434
15,16.0,Svi Mykhailiuk,25.0,19,8.0,428,71,161,0.441,36,89,0.404,35,72,0.486,0.553,23,34,0.676,15,31,46,52,14,4,22,22,201,0.02209276764123983
16,17.0,Cody Martin,27.0,7,0.0,134,14,36,0.389,3,14,0.214,11,22,0.5,0.431,4,7,0.571,8,16,24,11,4,1,2,13,35,0.0038469993405143986
17,18.0,Xavier Sneed,25.0,4,0.0,48,5,10,0.5,3,6,0.5,2,4,0.5,0.65,4,4,1.0,0,5,5,5,0,1,3,7,17,0.0018685425368212794
18,19.0,Kobi Simmons,25.0,5,0.0,28,1,6,0.167,1,5,0.2,0,1,0.0,0.25,2,2,1.0,1,3,4,5,0,2,1,0,5,0.0005495713343591998
19,,,,82,,19830,3385,7413,0.457,881,2669,0.33,2504,4744,0.528,0.516,1447,1933,0.749,901,2751,3652,2062,634,425,1164,1661,9098,1.0
