Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Co_Points_Share
0,1.0,Julius Randle,28.0,77,77.0,2737,658,1432,0.459,218,636,0.343,440,796,0.553,0.536,402,531,0.757,141,626,767,316,49,21,216,233,1936,0.20348959428211058
1,2.0,RJ Barrett,22.0,73,73.0,2475,510,1176,0.434,121,390,0.31,389,786,0.495,0.485,290,392,0.74,60,308,368,201,31,15,164,179,1431,0.15040992221988647
2,3.0,Jalen Brunson,26.0,68,68.0,2379,587,1195,0.491,134,322,0.416,453,873,0.519,0.547,325,392,0.829,40,201,241,421,61,15,142,152,1633,0.17164179104477612
3,4.0,Immanuel Quickley,23.0,81,21.0,2344,419,936,0.448,168,454,0.37,251,482,0.521,0.537,203,248,0.819,58,279,337,279,80,14,100,166,1209,0.12707588816480975
4,5.0,Quentin Grimes,22.0,71,66.0,2121,282,602,0.468,157,407,0.386,125,195,0.641,0.599,78,98,0.796,49,180,229,150,47,26,69,177,799,0.08398150094597435
5,6.0,Isaiah Hartenstein,24.0,82,8.0,1626,175,327,0.535,8,37,0.216,167,290,0.576,0.547,48,71,0.676,209,327,536,102,53,64,66,213,406,0.042673954172797984
6,7.0,Mitchell Robinson,24.0,59,58.0,1591,188,280,0.671,0,0,,188,280,0.671,0.671,59,122,0.484,267,288,555,53,56,109,41,160,435,0.045722093756569264
7,8.0,Obi Toppin,24.0,67,5.0,1050,187,419,0.446,85,247,0.344,102,172,0.593,0.548,38,47,0.809,29,158,187,66,23,12,38,68,497,0.05223880597014925
8,9.0,Jericho Sims,24.0,52,16.0,812,83,107,0.776,0,1,0.0,83,106,0.783,0.776,12,16,0.75,99,143,242,25,15,28,27,96,178,0.018709270548665124
9,10.0,Miles McBride,22.0,64,2.0,760,77,215,0.358,40,134,0.299,37,81,0.457,0.451,28,42,0.667,13,37,50,72,37,8,25,60,222,0.023334034055076728
10,11.0,Josh Hart,27.0,25,1.0,750,92,157,0.586,27,52,0.519,65,105,0.619,0.672,45,57,0.789,47,129,176,90,34,12,38,62,256,0.026907714946394788
11,12.0,Evan Fournier,30.0,27,7.0,459,56,166,0.337,35,114,0.307,21,52,0.404,0.443,18,21,0.857,4,45,49,36,16,3,22,46,165,0.017342863149043514
12,13.0,Cam Reddish,23.0,20,8.0,438,61,136,0.449,17,56,0.304,44,80,0.55,0.511,29,33,0.879,7,24,31,20,15,8,15,32,168,0.01765818793357158
13,14.0,Derrick Rose,34.0,27,0.0,338,61,159,0.384,19,63,0.302,42,96,0.438,0.443,11,12,0.917,8,32,40,46,7,5,22,18,152,0.015976455749421904
14,15.0,Svi Mykhailiuk,25.0,13,0.0,40,6,12,0.5,6,10,0.6,0,2,0.0,0.75,3,5,0.6,0,7,7,1,1,0,2,1,21,0.0022072734916964475
15,16.0,Ryan Arcidiacono,28.0,11,0.0,26,1,5,0.2,1,3,0.333,0,2,0.0,0.3,0,0,,0,4,4,2,2,0,1,3,3,0.0003153247845280639
16,17.0,Trevor Keels,19.0,3,0.0,8,1,4,0.25,1,4,0.25,0,0,,0.375,0,0,,0,2,2,0,0,0,0,0,3,0.0003153247845280639
17,,,,82,,19955,3444,7328,0.47,1037,2930,0.354,2407,4398,0.547,0.541,1589,2087,0.761,1031,2790,3821,1880,527,340,1065,1666,9514,1.0
