Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Co_Points_Share
0,1,Dejounte Murray,26,74,74,2693,612,1319,0.464,133,387,0.344,479,932,0.514,0.514,158,190,0.832,53,336,389,448,112,19,160,106,1515,0.15600865
1,2,Trae Young,24,73,73,2541,597,1390,0.429,154,460,0.335,443,930,0.476,0.485,566,639,0.886,56,161,217,741,80,9,300,104,1914,0.197096077
2,3,John Collins,25,71,71,2130,359,707,0.508,70,240,0.292,289,467,0.619,0.557,143,178,0.803,77,385,462,85,42,73,79,220,931,0.095870662
3,4,De'Andre Hunter,25,67,67,2126,379,822,0.461,100,286,0.35,279,536,0.521,0.522,171,207,0.826,46,238,284,94,35,17,82,199,1029,0.105962311
4,5,Onyeka Okongwu,22,80,18,1849,317,497,0.638,4,13,0.308,313,484,0.647,0.642,153,196,0.781,217,359,576,81,56,107,81,251,791,0.081454021
5,6,Clint Capela,28,65,63,1730,350,536,0.653,0,1,0,350,535,0.654,0.653,79,131,0.603,258,459,717,58,45,79,54,139,779,0.080218309
6,7,Bogdan Bogdanovi?,30,54,9,1508,273,611,0.447,146,360,0.406,127,251,0.506,0.566,64,77,0.831,23,142,165,150,43,18,65,86,756,0.077849861
7,8,AJ Griffin,19,72,12,1401,248,533,0.465,101,259,0.39,147,274,0.536,0.56,42,47,0.894,37,116,153,73,42,12,42,87,639,0.065801668
8,9,Jalen Johnson,21,70,6,1042,158,322,0.491,30,104,0.288,128,218,0.587,0.537,49,78,0.628,51,231,282,83,38,34,41,113,395,0.040675523
9,10,Aaron Holiday,26,63,6,845,92,220,0.418,36,88,0.409,56,132,0.424,0.5,27,32,0.844,25,49,74,89,37,12,36,79,247,0.025435074
10,11,Saddiq Bey,23,25,7,629,108,230,0.47,50,125,0.4,58,105,0.552,0.578,25,29,0.862,39,81,120,34,20,1,17,37,291,0.029966018
11,12,Justin Holiday,33,28,0,411,48,125,0.384,30,87,0.345,18,38,0.474,0.504,0,0,,2,21,23,25,5,10,12,37,126,0.012974977
12,13,Trent Forrest,24,23,3,277,25,60,0.417,0,2,0,25,58,0.431,0.417,2,3,0.667,5,32,37,38,7,2,15,17,52,0.005354752
13,14,Frank Kaminsky,29,26,0,176,25,44,0.568,11,23,0.478,14,21,0.667,0.693,10,12,0.833,3,33,36,21,5,1,9,21,71,0.007311296
14,15,Vit Krejci,22,29,0,165,15,37,0.405,5,21,0.238,10,16,0.625,0.473,1,2,0.5,6,20,26,17,5,1,5,17,36,0.003707136
15,16,Jarrett Culver,23,10,1,137,17,43,0.395,1,12,0.083,16,31,0.516,0.407,9,13,0.692,10,28,38,6,6,2,7,14,44,0.004530944
16,17,Garrison Mathews,26,9,0,84,13,31,0.419,10,25,0.4,3,6,0.5,0.581,7,8,0.875,1,10,11,3,1,1,1,6,43,0.004427968
17,18,Tyrese Martin,23,16,0,66,9,23,0.391,1,7,0.143,8,16,0.5,0.413,2,2,1,5,7,12,2,1,0,2,2,21,0.002162496
18,19,Bruno Fernando,24,8,0,41,11,19,0.579,0,3,0,11,16,0.688,0.579,5,6,0.833,6,9,15,1,0,3,5,6,27,0.002780352
19,20,Donovan Williams,21,2,0,4,2,5,0.4,0,2,0,2,3,0.667,0.4,0,0,,0,2,2,0,0,0,0,0,4,0.000411904
20,,,,82,,19855,3658,7574,0.483,882,2505,0.352,2776,5069,0.548,0.541,1513,1850,0.818,920,2719,3639,2049,580,401,1060,1541,9711,1
