Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Eric Gordon,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Shared Games with Willie Cauley-Stein,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein
0,1,1,2022-10-19,25-360,HOU,@,ATL,L (-10),0,14.05,0.0,2.0,.000,0.0,2.0,.000,0,0,,0,1,1,1,0,0,0,1,0,-0.8,+3,0.0,0.0,,40,12,32,32,0,38,42,15,41,31,45,33,45,1,15,39,0,75.0,31.0,39.0,57.0,4.0,69.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5333333333333333,0.3870967741935484,0.8205128205128205,0.5614035087719298,0.0,0.5507246376811594,0.5316455696202531,0.4838709677419355,0.5394736842105263,0.484375,0.5487804878048781,0.559322033898305,0.5487804878048781,0.2,0.4838709677419355,0.52,
1,2,2,2022-10-21,25-362,HOU,,MEM,L (-7),0,12.833333333333334,1.0,2.0,.500,1.0,2.0,.500,0,0,,0,1,1,0,0,0,0,1,3,1.9,+5,0.0,0.0,,40,12,32,32,0,38,42,15,41,31,45,33,45,1,15,39,0,75.0,31.0,39.0,57.0,4.0,69.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5333333333333333,0.3870967741935484,0.8205128205128205,0.5614035087719298,0.0,0.5507246376811594,0.5316455696202531,0.4838709677419355,0.5394736842105263,0.484375,0.5487804878048781,0.559322033898305,0.5487804878048781,0.2,0.4838709677419355,0.52,
2,3,3,2022-10-22,25-363,HOU,@,MIL,L (-20),0,12.566666666666666,0.0,1.0,.000,0.0,1.0,.000,1,1,1.000,0,0,0,0,0,0,1,1,1,-1.1,-13,0.0,0.0,,40,12,32,32,0,38,42,15,41,31,45,33,45,1,15,39,0,75.0,31.0,39.0,57.0,4.0,69.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5333333333333333,0.3870967741935484,0.8205128205128205,0.5614035087719298,0.0,0.5507246376811594,0.5316455696202531,0.4838709677419355,0.5394736842105263,0.484375,0.5487804878048781,0.559322033898305,0.5487804878048781,0.2,0.4838709677419355,0.52,
3,4,4,2022-10-24,26-000,HOU,,UTA,W (+6),0,11.533333333333333,1.0,5.0,.200,1.0,5.0,.200,0,0,,0,2,2,0,0,1,0,2,3,0.4,+10,0.0,0.0,,40,12,32,32,0,38,42,15,41,31,45,33,45,1,15,39,0,75.0,31.0,39.0,57.0,4.0,69.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5333333333333333,0.3870967741935484,0.8205128205128205,0.5614035087719298,0.0,0.5507246376811594,0.5316455696202531,0.4838709677419355,0.5394736842105263,0.484375,0.5487804878048781,0.559322033898305,0.5487804878048781,0.2,0.4838709677419355,0.52,
4,5,5,2022-10-26,26-002,HOU,@,UTA,L (-8),0,16.116666666666667,3.0,5.0,.600,3.0,5.0,.600,2,2,1.000,0,0,0,1,1,0,0,3,11,9.2,0,0.0,0.0,,40,12,32,32,0,38,42,15,41,31,45,33,45,1,15,39,0,75.0,31.0,39.0,57.0,4.0,69.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5333333333333333,0.3870967741935484,0.8205128205128205,0.5614035087719298,0.0,0.5507246376811594,0.5316455696202531,0.4838709677419355,0.5394736842105263,0.484375,0.5487804878048781,0.559322033898305,0.5487804878048781,0.2,0.4838709677419355,0.52,
5,6,6,2022-10-28,26-004,HOU,@,POR,L (-14),0,13.733333333333333,0.0,2.0,.000,0.0,2.0,.000,3,3,1.000,0,1,1,2,0,0,0,1,3,2.9,-4,0.0,0.0,,40,12,32,32,0,38,42,15,41,31,45,33,45,1,15,39,0,75.0,31.0,39.0,57.0,4.0,69.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5333333333333333,0.3870967741935484,0.8205128205128205,0.5614035087719298,0.0,0.5507246376811594,0.5316455696202531,0.4838709677419355,0.5394736842105263,0.484375,0.5487804878048781,0.559322033898305,0.5487804878048781,0.2,0.4838709677419355,0.52,
6,7,7,2022-10-30,26-006,HOU,@,PHO,L (-15),0,16.9,2.0,7.0,.286,2.0,7.0,.286,2,2,1.000,0,1,1,0,1,0,1,3,8,3.0,-8,0.0,0.0,,40,12,32,32,0,38,42,15,41,31,45,33,45,1,15,39,0,75.0,31.0,39.0,57.0,4.0,69.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5333333333333333,0.3870967741935484,0.8205128205128205,0.5614035087719298,0.0,0.5507246376811594,0.5316455696202531,0.4838709677419355,0.5394736842105263,0.484375,0.5487804878048781,0.559322033898305,0.5487804878048781,0.2,0.4838709677419355,0.52,
7,8,8,2022-10-31,26-007,HOU,@,LAC,L (-2),0,15.133333333333333,1.0,2.0,.500,1.0,2.0,.500,0,0,,0,2,2,0,1,0,1,1,3,2.2,-2,0.0,0.0,,40,12,32,32,0,38,42,15,41,31,45,33,45,1,15,39,0,75.0,31.0,39.0,57.0,4.0,69.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5333333333333333,0.3870967741935484,0.8205128205128205,0.5614035087719298,0.0,0.5507246376811594,0.5316455696202531,0.4838709677419355,0.5394736842105263,0.484375,0.5487804878048781,0.559322033898305,0.5487804878048781,0.2,0.4838709677419355,0.52,
8,9,9,2022-11-02,26-009,HOU,,LAC,L (-8),0,6.966666666666667,1.0,3.0,.333,1.0,3.0,.333,0,0,,1,0,1,0,0,0,1,1,3,0.6,+3,0.0,0.0,,40,12,32,32,0,38,42,15,41,31,45,33,45,1,15,39,0,75.0,31.0,39.0,57.0,4.0,69.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5333333333333333,0.3870967741935484,0.8205128205128205,0.5614035087719298,0.0,0.5507246376811594,0.5316455696202531,0.4838709677419355,0.5394736842105263,0.484375,0.5487804878048781,0.559322033898305,0.5487804878048781,0.2,0.4838709677419355,0.52,
9,10,10,2022-11-05,26-012,HOU,@,MIN,L (-12),0,18.233333333333334,3.0,7.0,.429,3.0,6.0,.500,0,0,,0,1,1,1,0,0,1,0,9,5.3,+7,1.0,0.0,0.0,40,12,32,32,0,38,42,15,41,31,45,33,45,1,15,39,0,75.0,31.0,39.0,57.0,4.0,69.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5333333333333333,0.3870967741935484,0.8205128205128205,0.5614035087719298,0.0,0.5507246376811594,0.5316455696202531,0.4838709677419355,0.5394736842105263,0.484375,0.5487804878048781,0.559322033898305,0.5487804878048781,0.2,0.4838709677419355,0.52,
