Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-07,27-010,HOU,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,8,8,13,4,16,15,29,26,28,31,14,31,3,14,27,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.3733333333333333,0.2580645161290322,0.2051282051282051,0.2280701754385964,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.3421052631578947,0.4375,0.3780487804878049,0.2372881355932203,0.3780487804878049,0.6,0.4516129032258064,0.36,,6,10,36.0,10.0,34.0,0.1666666666666666,0.0,0.0,18,,74.0,4.111111111111111,0.0,84.00000000000001,4.666666666666668,12.2,0.7,-3.5,-2.8,-0.7,0.0311639687259112,0.546,0.201,0.301,-0.3,0.4,W (+7),W (+7)
12.0,,2022-11-09,27-012,HOU,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,8,8,13,4,16,15,29,26,28,31,14,31,3,14,27,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.3733333333333333,0.2580645161290322,0.2051282051282051,0.2280701754385964,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.3421052631578947,0.4375,0.3780487804878049,0.2372881355932203,0.3780487804878049,0.6,0.4516129032258064,0.36,,6,10,36.0,10.0,34.0,0.1666666666666666,0.0,0.0,18,,83.0,4.611111111111111,0.0,81.89999999999998,4.549999999999999,12.2,0.7,-3.5,-2.8,-0.7,0.0311639687259112,0.546,0.201,0.301,-0.3,0.4,L (-7),L (-7)
13.0,,2022-11-12,27-015,HOU,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,8,8,13,4,16,15,29,26,28,31,14,31,3,14,27,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.3733333333333333,0.2580645161290322,0.2051282051282051,0.2280701754385964,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.3421052631578947,0.4375,0.3780487804878049,0.2372881355932203,0.3780487804878049,0.6,0.4516129032258064,0.36,,6,10,36.0,10.0,34.0,0.1666666666666666,0.0,0.0,18,,65.0,3.611111111111111,0.0,62.3,3.461111111111111,12.2,0.7,-3.5,-2.8,-0.7,0.0311639687259112,0.546,0.201,0.301,-0.3,0.4,L (-13),L (-13)
14.0,,2022-11-14,27-017,HOU,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,8,8,13,4,16,15,29,26,28,31,14,31,3,14,27,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.3733333333333333,0.2580645161290322,0.2051282051282051,0.2280701754385964,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.3421052631578947,0.4375,0.3780487804878049,0.2372881355932203,0.3780487804878049,0.6,0.4516129032258064,0.36,,6,10,36.0,10.0,34.0,0.1666666666666666,0.0,0.0,18,,50.0,2.7777777777777777,0.0,69.0,3.8333333333333335,12.2,0.7,-3.5,-2.8,-0.7,0.0311639687259112,0.546,0.201,0.301,-0.3,0.4,L (-16),L (-16)
15.0,,2022-11-16,27-019,HOU,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,8,8,13,4,16,15,29,26,28,31,14,31,3,14,27,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.3733333333333333,0.2580645161290322,0.2051282051282051,0.2280701754385964,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.3421052631578947,0.4375,0.3780487804878049,0.2372881355932203,0.3780487804878049,0.6,0.4516129032258064,0.36,,6,10,36.0,10.0,34.0,0.1666666666666666,0.0,0.0,18,,92.0,5.111111111111111,0.0,76.1,4.227777777777778,12.2,0.7,-3.5,-2.8,-0.7,0.0311639687259112,0.546,0.201,0.301,-0.3,0.4,W (+9),W (+9)
16.0,,2022-11-18,27-021,HOU,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,8,8,13,4,16,15,29,26,28,31,14,31,3,14,27,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.3733333333333333,0.2580645161290322,0.2051282051282051,0.2280701754385964,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.3421052631578947,0.4375,0.3780487804878049,0.2372881355932203,0.3780487804878049,0.6,0.4516129032258064,0.36,,6,10,36.0,10.0,34.0,0.1666666666666666,0.0,0.0,18,,20.0,1.1111111111111112,0.0,26.6,1.477777777777778,12.2,0.7,-3.5,-2.8,-0.7,0.0311639687259112,0.546,0.201,0.301,-0.3,0.4,L (-8),L (-8)
17.0,,2022-11-20,27-023,HOU,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,8,8,13,4,16,15,29,26,28,31,14,31,3,14,27,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.3733333333333333,0.2580645161290322,0.2051282051282051,0.2280701754385964,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.3421052631578947,0.4375,0.3780487804878049,0.2372881355932203,0.3780487804878049,0.6,0.4516129032258064,0.36,,6,10,36.0,10.0,34.0,0.1666666666666666,0.0,0.0,18,,87.0,4.833333333333333,0.0,86.4,4.800000000000001,12.2,0.7,-3.5,-2.8,-0.7,0.0311639687259112,0.546,0.201,0.301,-0.3,0.4,L (-7),L (-7)
18.0,,2022-11-25,27-028,HOU,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,8,8,13,4,16,15,29,26,28,31,14,31,3,14,27,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.3733333333333333,0.2580645161290322,0.2051282051282051,0.2280701754385964,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.3421052631578947,0.4375,0.3780487804878049,0.2372881355932203,0.3780487804878049,0.6,0.4516129032258064,0.36,,6,10,36.0,10.0,34.0,0.1666666666666666,0.0,0.0,18,,69.0,3.8333333333333335,0.0,69.6,3.866666666666666,12.2,0.7,-3.5,-2.8,-0.7,0.0311639687259112,0.546,0.201,0.301,-0.3,0.4,W (+6),W (+6)
19.0,,2022-11-26,27-029,HOU,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,8,8,13,4,16,15,29,26,28,31,14,31,3,14,27,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.3733333333333333,0.2580645161290322,0.2051282051282051,0.2280701754385964,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.3421052631578947,0.4375,0.3780487804878049,0.2372881355932203,0.3780487804878049,0.6,0.4516129032258064,0.36,,6,10,36.0,10.0,34.0,0.1666666666666666,0.0,0.0,18,,70.0,3.888888888888889,0.0,70.5,3.9166666666666665,12.2,0.7,-3.5,-2.8,-0.7,0.0311639687259112,0.546,0.201,0.301,-0.3,0.4,W (+13),W (+13)
20.0,,2022-11-28,27-031,HOU,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,8,8,13,4,16,15,29,26,28,31,14,31,3,14,27,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.3733333333333333,0.2580645161290322,0.2051282051282051,0.2280701754385964,1.0,0.2318840579710145,0.2777777777777778,0.3670886075949367,0.3421052631578947,0.4375,0.3780487804878049,0.2372881355932203,0.3780487804878049,0.6,0.4516129032258064,0.36,,6,10,36.0,10.0,34.0,0.1666666666666666,0.0,0.0,18,,60.0,3.333333333333333,0.0,66.69999999999999,3.705555555555555,12.2,0.7,-3.5,-2.8,-0.7,0.0311639687259112,0.546,0.201,0.301,-0.3,0.4,L (-16),L (-16)
