Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Bruno Fernando,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Alperen Şengün,Boban Marjanović,Daishen Nix,Darius Days,Frank Kaminsky,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Jarrett Culver,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Daishen Nix,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Jarrett Culver,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Darius Days,co_inf with Frank Kaminsky,co_inf with Trevor Hudgins,co_inf with Willie Cauley-Stein,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-20,32-044,LAC,LAL,0.0,24.53333333333333,7.0,15.0,0.467,0.0,4.0,0.0,1.0,3.0,0.333,0.0,4.0,4.0,3.0,1.0,0.0,3.0,3.0,15.0,6.6,-3.0,11.0,7.0,0.6363636363636364,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0,10,16,15,75.0,31.0,57.0,4.0,36.0,79.0,31.0,76.0,10.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,2.0,41.0,2.2777777777777777,6.200000000000003,0,0.0,13.6,0.3,-1.2,-0.8,-0.4,0.0414429890487438,0.498,0.322,0.334,0.1,-0.4,W (+6),W (+6)
2.0,,2022-10-22,32-046,LAC,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0,10,16,15,75.0,31.0,57.0,4.0,36.0,79.0,31.0,76.0,10.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,,47.0,2.611111111111111,0.0,0,0.0,13.6,0.3,-1.2,-0.8,-0.4,0.0414429890487438,0.498,0.322,0.334,0.1,-0.4,W (+2),W (+2)
3.0,2.0,2022-10-23,32-047,LAC,PHO,0.0,21.366666666666667,7.0,12.0,0.583,2.0,4.0,0.5,1.0,5.0,0.2,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,17.0,13.2,-1.0,8.0,5.0,0.625,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0,10,16,15,75.0,31.0,57.0,4.0,36.0,79.0,31.0,76.0,10.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,5.0,62.0,3.4444444444444446,12.800000000000002,0,0.0,13.6,0.3,-1.2,-0.8,-0.4,0.0414429890487438,0.498,0.322,0.334,0.1,-0.4,L (-17),L (-17)
4.0,3.0,2022-10-25,32-049,LAC,OKC,0.0,19.5,4.0,9.0,0.444,1.0,3.0,0.333,3.0,4.0,0.75,1.0,2.0,3.0,4.0,2.0,0.0,4.0,2.0,12.0,8.2,2.0,6.0,3.0,0.5,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0,10,16,15,75.0,31.0,57.0,4.0,36.0,79.0,31.0,76.0,10.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,4.0,51.0,2.833333333333333,6.999999999999998,0,0.0,13.6,0.3,-1.2,-0.8,-0.4,0.0414429890487438,0.498,0.322,0.334,0.1,-0.4,L (-14),L (-14)
5.0,4.0,2022-10-27,32-051,LAC,OKC,0.0,20.95,6.0,12.0,0.5,1.0,3.0,0.333,4.0,5.0,0.8,1.0,3.0,4.0,6.0,0.0,0.0,1.0,1.0,17.0,15.0,7.0,9.0,5.0,0.5555555555555556,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0,10,16,15,75.0,31.0,57.0,4.0,36.0,79.0,31.0,76.0,10.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,9.0,31.0,1.7222222222222223,13.399999999999997,0,0.0,13.6,0.3,-1.2,-0.8,-0.4,0.0414429890487438,0.498,0.322,0.334,0.1,-0.4,L (-8),L (-8)
6.0,5.0,2022-10-30,32-054,LAC,NOP,0.0,21.25,2.0,5.0,0.4,0.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,1.0,8.0,9.5,-19.0,4.0,2.0,0.5,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0,10,16,15,75.0,31.0,57.0,4.0,36.0,79.0,31.0,76.0,10.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,6.0,47.0,2.611111111111111,7.9,0,0.0,13.6,0.3,-1.2,-0.8,-0.4,0.0414429890487438,0.498,0.322,0.334,0.1,-0.4,L (-21),L (-21)
7.0,,2022-10-31,32-055,LAC,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0,10,16,15,75.0,31.0,57.0,4.0,36.0,79.0,31.0,76.0,10.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,,56.0,3.111111111111111,0.0,0,0.0,13.6,0.3,-1.2,-0.8,-0.4,0.0414429890487438,0.498,0.322,0.334,0.1,-0.4,W (+2),W (+2)
8.0,6.0,2022-11-02,32-057,LAC,HOU,0.0,14.666666666666666,3.0,10.0,0.3,0.0,3.0,0.0,0.0,0.0,,1.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,6.0,3.7,-3.0,7.0,3.0,0.4285714285714285,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0,10,16,15,75.0,31.0,57.0,4.0,36.0,79.0,31.0,76.0,10.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,1.0,37.0,2.055555555555556,3.6999999999999993,0,0.0,13.6,0.3,-1.2,-0.8,-0.4,0.0414429890487438,0.498,0.322,0.334,0.1,-0.4,W (+8),W (+8)
9.0,7.0,2022-11-04,32-059,LAC,SAS,0.0,27.4,6.0,14.0,0.429,2.0,6.0,0.333,1.0,2.0,0.5,0.0,3.0,3.0,6.0,0.0,0.0,0.0,3.0,15.0,11.1,6.0,8.0,4.0,0.5,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0,10,16,15,75.0,31.0,57.0,4.0,36.0,79.0,31.0,76.0,10.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,8.0,53.0,2.9444444444444446,10.699999999999996,0,0.0,13.6,0.3,-1.2,-0.8,-0.4,0.0414429890487438,0.498,0.322,0.334,0.1,-0.4,W (+7),W (+7)
10.0,8.0,2022-11-06,32-061,LAC,UTA,0.0,28.316666666666663,6.0,15.0,0.4,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,6.0,2.0,0.0,1.0,3.0,12.0,7.2,-11.0,11.0,6.0,0.5454545454545454,24,12,32,5,15,21,32,26,7,32,26,21,29,18,33,50.0,22.0,76.0,14.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.48,0.5454545454545454,0.4210526315789473,0.3571428571428571,0.2884615384615384,0.3559322033898305,0.4923076923076923,0.7222222222222222,0.3181818181818182,0.4102564102564102,0.4333333333333333,0.375,0.4264705882352941,0.375,0.4074074074074074,0.0,10,16,15,75.0,31.0,57.0,4.0,36.0,79.0,31.0,76.0,10.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,3.0,41.0,2.2777777777777777,7.199999999999999,0,0.0,13.6,0.3,-1.2,-0.8,-0.4,0.0414429890487438,0.498,0.322,0.334,0.1,-0.4,L (-8),L (-8)
