Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,22-168,HOU,ATL,1.0,33.95,9.0,19.0,0.474,3.0,5.0,0.6,0.0,0.0,,3.0,4.0,7.0,7.0,2.0,0.0,4.0,2.0,21.0,16.7,-13.0,14.0,6.0,0.4285714285714285,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,14.0,29.0,1.7058823529411764,16.700000000000006,33.79999999999999,1.9882352941176464,0.1244356348419777,L (-10),L (-10)
2.0,2.0,2022-10-21,22-170,HOU,MEM,1.0,35.166666666666664,6.0,16.0,0.375,4.0,8.0,0.5,2.0,4.0,0.5,2.0,3.0,5.0,4.0,0.0,0.0,3.0,4.0,18.0,8.9,-12.0,8.0,2.0,0.25,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,4.0,43.0,2.5294117647058822,8.099999999999998,56.89999999999999,3.3470588235294114,0.1244356348419777,L (-7),L (-7)
3.0,3.0,2022-10-22,22-171,HOU,MIL,1.0,33.733333333333334,5.0,15.0,0.333,2.0,4.0,0.5,6.0,7.0,0.857,2.0,3.0,5.0,7.0,2.0,0.0,2.0,4.0,18.0,14.7,-9.0,11.0,3.0,0.2727272727272727,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,8.0,59.0,3.4705882352941178,12.299999999999995,61.19999999999999,3.599999999999999,0.1244356348419777,L (-20),L (-20)
4.0,4.0,2022-10-24,22-173,HOU,UTA,1.0,34.71666666666667,8.0,19.0,0.421,1.0,4.0,0.25,9.0,9.0,1.0,1.0,9.0,10.0,4.0,2.0,1.0,4.0,1.0,26.0,20.4,3.0,15.0,7.0,0.4666666666666667,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,11.0,44.0,2.588235294117647,16.800000000000004,50.4,2.9647058823529413,0.1244356348419777,W (+6),W (+6)
5.0,5.0,2022-10-26,22-175,HOU,UTA,1.0,35.38333333333333,10.0,22.0,0.455,0.0,4.0,0.0,4.0,4.0,1.0,2.0,3.0,5.0,5.0,1.0,1.0,5.0,5.0,24.0,13.1,-3.0,18.0,10.0,0.5555555555555556,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,5.0,35.0,2.0588235294117645,11.5,19.5,1.1470588235294117,0.1244356348419777,L (-8),L (-8)
6.0,6.0,2022-10-28,22-177,HOU,POR,1.0,34.53333333333333,6.0,14.0,0.429,1.0,5.0,0.2,3.0,5.0,0.6,3.0,3.0,6.0,4.0,3.0,1.0,5.0,0.0,16.0,12.3,-10.0,9.0,5.0,0.5555555555555556,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,6.0,47.0,2.764705882352941,11.1,51.70000000000001,3.041176470588236,0.1244356348419777,L (-14),L (-14)
7.0,7.0,2022-10-30,22-179,HOU,PHO,1.0,34.483333333333334,7.0,17.0,0.412,1.0,4.0,0.25,11.0,14.0,0.786,1.0,7.0,8.0,6.0,1.0,0.0,1.0,3.0,26.0,21.5,-7.0,13.0,6.0,0.4615384615384615,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,9.0,47.0,2.764705882352941,17.099999999999998,51.69999999999999,3.0411764705882347,0.1244356348419777,L (-15),L (-15)
8.0,8.0,2022-10-31,22-180,HOU,LAC,1.0,33.88333333333333,5.0,13.0,0.385,1.0,3.0,0.333,2.0,2.0,1.0,0.0,5.0,5.0,5.0,2.0,0.0,2.0,3.0,13.0,9.7,-14.0,10.0,4.0,0.4,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,8.0,30.0,1.7647058823529411,8.899999999999999,38.5,2.264705882352941,0.1244356348419777,L (-2),L (-2)
9.0,9.0,2022-11-02,22-182,HOU,LAC,1.0,38.18333333333333,7.0,19.0,0.368,3.0,9.0,0.333,5.0,8.0,0.625,3.0,4.0,7.0,7.0,1.0,0.0,6.0,1.0,22.0,13.1,-2.0,10.0,4.0,0.4,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,4.0,57.0,3.3529411764705883,11.100000000000003,51.8,3.047058823529412,0.1244356348419777,L (-8),L (-8)
10.0,10.0,2022-11-05,22-185,HOU,MIN,1.0,29.2,3.0,12.0,0.25,2.0,4.0,0.5,5.0,5.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,3.0,4.0,13.0,4.5,-16.0,8.0,1.0,0.125,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,0.0,44.0,2.588235294117647,2.4999999999999982,59.7,3.511764705882353,0.1244356348419777,L (-12),L (-12)
11.0,11.0,2022-11-07,22-187,HOU,ORL,1.0,37.95,7.0,14.0,0.5,3.0,8.0,0.375,0.0,1.0,0.0,1.0,7.0,8.0,11.0,2.0,1.0,7.0,5.0,17.0,13.8,13.0,6.0,4.0,0.6666666666666666,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,17.0,57.0,3.3529411764705883,13.800000000000004,70.2,4.129411764705883,0.1244356348419777,W (+7),W (+7)
12.0,12.0,2022-11-09,22-189,HOU,TOR,1.0,40.45,4.0,11.0,0.364,1.0,6.0,0.167,3.0,4.0,0.75,0.0,2.0,2.0,11.0,0.0,0.0,4.0,2.0,12.0,9.0,-8.0,5.0,3.0,0.6,53,22,22,43,34,33,58,14,59,41,59,59,1,16,57,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,82.0,5.0,31.0,75.0,,0.7066666666666667,0.7096774193548387,0.5641025641025641,0.7543859649122807,0.0,0.4927536231884058,0.6111111111111112,0.7341772151898734,0.4516129032258064,0.7763157894736842,0.640625,0.7195121951219512,0.7195121951219512,0.2,0.5161290322580645,0.76,,5,30,36.0,10.0,34.0,0.1388888888888889,0.0,0.0,17,6.0,77.0,4.529411764705882,7.799999999999999,74.1,4.358823529411764,0.1244356348419777,L (-7),L (-7)
