Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,20-252,HOU,ATL,1.0,32.21666666666667,7.0,20.0,0.35,1.0,7.0,0.143,1.0,1.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,3.0,3.0,16.0,6.3,-16.0,13.0,6.0,0.4615384615384615,70,29,28,51,3,43,41,73,26,58,76,59,76,4,26,71,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.9333333333333332,0.935483870967742,0.717948717948718,0.8947368421052632,0.75,0.6231884057971014,0.7592592592592593,0.9240506329113924,0.8387096774193549,0.90625,0.926829268292683,1.0,0.926829268292683,0.8,0.8387096774193549,0.9466666666666668,,7,31,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,2.0,41.0,2.2777777777777777,5.899999999999995,44.6,2.477777777777778,14.5,1.8,-2.1,0.5,-2.6,0.1853320118929633,0.538,0.408,0.341,0.0,1.4,L (-10),L (-10)
2.0,2.0,2022-10-21,20-254,HOU,MEM,1.0,35.166666666666664,13.0,21.0,0.619,4.0,5.0,0.8,3.0,4.0,0.75,0.0,5.0,5.0,2.0,1.0,0.0,2.0,1.0,33.0,24.6,-12.0,16.0,9.0,0.5625,70,29,28,51,3,43,41,73,26,58,76,59,76,4,26,71,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.9333333333333332,0.935483870967742,0.717948717948718,0.8947368421052632,0.75,0.6231884057971014,0.7592592592592593,0.9240506329113924,0.8387096774193549,0.90625,0.926829268292683,1.0,0.926829268292683,0.8,0.8387096774193549,0.9466666666666668,,7,31,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,14.0,33.0,1.8333333333333333,23.4,41.6,2.311111111111112,14.5,1.8,-2.1,0.5,-2.6,0.1853320118929633,0.538,0.408,0.341,0.0,1.4,L (-7),L (-7)
3.0,3.0,2022-10-22,20-255,HOU,MIL,1.0,31.65,6.0,19.0,0.316,4.0,7.0,0.571,6.0,6.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,2.0,3.0,22.0,11.9,-5.0,12.0,2.0,0.1666666666666666,70,29,28,51,3,43,41,73,26,58,76,59,76,4,26,71,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.9333333333333332,0.935483870967742,0.717948717948718,0.8947368421052632,0.75,0.6231884057971014,0.7592592592592593,0.9240506329113924,0.8387096774193549,0.90625,0.926829268292683,1.0,0.926829268292683,0.8,0.8387096774193549,0.9466666666666668,,7,31,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,2.0,65.0,3.611111111111111,9.499999999999996,63.99999999999999,3.555555555555556,14.5,1.8,-2.1,0.5,-2.6,0.1853320118929633,0.538,0.408,0.341,0.0,1.4,L (-20),L (-20)
4.0,4.0,2022-10-24,20-257,HOU,UTA,1.0,35.75,9.0,16.0,0.563,4.0,8.0,0.5,3.0,3.0,1.0,2.0,1.0,3.0,3.0,0.0,0.0,3.0,1.0,25.0,17.8,-1.0,8.0,5.0,0.625,70,29,28,51,3,43,41,73,26,58,76,59,76,4,26,71,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.9333333333333332,0.935483870967742,0.717948717948718,0.8947368421052632,0.75,0.6231884057971014,0.7592592592592593,0.9240506329113924,0.8387096774193549,0.90625,0.926829268292683,1.0,0.926829268292683,0.8,0.8387096774193549,0.9466666666666668,,7,31,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,9.0,46.0,2.555555555555556,16.6,50.6,2.811111111111112,14.5,1.8,-2.1,0.5,-2.6,0.1853320118929633,0.538,0.408,0.341,0.0,1.4,W (+6),W (+6)
5.0,5.0,2022-10-26,20-259,HOU,UTA,1.0,36.06666666666667,6.0,20.0,0.3,2.0,9.0,0.222,3.0,4.0,0.75,2.0,5.0,7.0,2.0,1.0,1.0,2.0,2.0,17.0,8.2,-19.0,11.0,4.0,0.3636363636363636,70,29,28,51,3,43,41,73,26,58,76,59,76,4,26,71,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.9333333333333332,0.935483870967742,0.717948717948718,0.8947368421052632,0.75,0.6231884057971014,0.7592592592592593,0.9240506329113924,0.8387096774193549,0.90625,0.926829268292683,1.0,0.926829268292683,0.8,0.8387096774193549,0.9466666666666668,,7,31,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,2.0,38.0,2.111111111111111,6.999999999999995,24.0,1.3333333333333333,14.5,1.8,-2.1,0.5,-2.6,0.1853320118929633,0.538,0.408,0.341,0.0,1.4,L (-8),L (-8)
6.0,6.0,2022-10-28,20-261,HOU,POR,1.0,31.516666666666666,4.0,19.0,0.211,2.0,10.0,0.2,1.0,2.0,0.5,0.0,6.0,6.0,2.0,1.0,0.0,1.0,1.0,11.0,1.7,-19.0,9.0,2.0,0.2222222222222222,70,29,28,51,3,43,41,73,26,58,76,59,76,4,26,71,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.9333333333333332,0.935483870967742,0.717948717948718,0.8947368421052632,0.75,0.6231884057971014,0.7592592592592593,0.9240506329113924,0.8387096774193549,0.90625,0.926829268292683,1.0,0.926829268292683,0.8,0.8387096774193549,0.9466666666666668,,7,31,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,-2.0,55.0,3.055555555555556,1.2999999999999985,61.500000000000014,3.4166666666666674,14.5,1.8,-2.1,0.5,-2.6,0.1853320118929633,0.538,0.408,0.341,0.0,1.4,L (-14),L (-14)
7.0,7.0,2022-10-30,20-263,HOU,PHO,1.0,31.1,5.0,18.0,0.278,2.0,7.0,0.286,3.0,4.0,0.75,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,15.0,5.7,-7.0,11.0,3.0,0.2727272727272727,70,29,28,51,3,43,41,73,26,58,76,59,76,4,26,71,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.9333333333333332,0.935483870967742,0.717948717948718,0.8947368421052632,0.75,0.6231884057971014,0.7592592592592593,0.9240506329113924,0.8387096774193549,0.90625,0.926829268292683,1.0,0.926829268292683,0.8,0.8387096774193549,0.9466666666666668,,7,31,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,-4.0,60.0,3.333333333333333,4.5,64.29999999999998,3.572222222222221,14.5,1.8,-2.1,0.5,-2.6,0.1853320118929633,0.538,0.408,0.341,0.0,1.4,L (-15),L (-15)
8.0,8.0,2022-10-31,20-264,HOU,LAC,1.0,36.16666666666666,4.0,17.0,0.235,1.0,5.0,0.2,4.0,7.0,0.571,0.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,13.0,3.3,1.0,12.0,3.0,0.25,70,29,28,51,3,43,41,73,26,58,76,59,76,4,26,71,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.9333333333333332,0.935483870967742,0.717948717948718,0.8947368421052632,0.75,0.6231884057971014,0.7592592592592593,0.9240506329113924,0.8387096774193549,0.90625,0.926829268292683,1.0,0.926829268292683,0.8,0.8387096774193549,0.9466666666666668,,7,31,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,-5.0,43.0,2.388888888888889,1.6999999999999966,45.7,2.538888888888889,14.5,1.8,-2.1,0.5,-2.6,0.1853320118929633,0.538,0.408,0.341,0.0,1.4,L (-2),L (-2)
9.0,9.0,2022-11-02,20-266,HOU,LAC,1.0,30.03333333333333,9.0,17.0,0.529,3.0,8.0,0.375,1.0,1.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,3.0,3.0,22.0,12.4,-13.0,9.0,6.0,0.6666666666666666,70,29,28,51,3,43,41,73,26,58,76,59,76,4,26,71,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.9333333333333332,0.935483870967742,0.717948717948718,0.8947368421052632,0.75,0.6231884057971014,0.7592592592592593,0.9240506329113924,0.8387096774193549,0.90625,0.926829268292683,1.0,0.926829268292683,0.8,0.8387096774193549,0.9466666666666668,,7,31,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,7.0,54.0,3.0,12.000000000000004,50.900000000000006,2.827777777777778,14.5,1.8,-2.1,0.5,-2.6,0.1853320118929633,0.538,0.408,0.341,0.0,1.4,L (-8),L (-8)
10.0,10.0,2022-11-05,20-269,HOU,MIN,1.0,29.2,6.0,16.0,0.375,4.0,11.0,0.364,5.0,7.0,0.714,1.0,1.0,2.0,4.0,0.0,0.0,5.0,1.0,21.0,9.8,-16.0,5.0,2.0,0.4,70,29,28,51,3,43,41,73,26,58,76,59,76,4,26,71,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.9333333333333332,0.935483870967742,0.717948717948718,0.8947368421052632,0.75,0.6231884057971014,0.7592592592592593,0.9240506329113924,0.8387096774193549,0.90625,0.926829268292683,1.0,0.926829268292683,0.8,0.8387096774193549,0.9466666666666668,,7,31,36.0,10.0,34.0,0.1944444444444444,0.0,0.0,18,-1.0,45.0,2.5,7.799999999999999,54.399999999999984,3.0222222222222213,14.5,1.8,-2.1,0.5,-2.6,0.1853320118929633,0.538,0.408,0.341,0.0,1.4,L (-12),L (-12)
