Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Shared Games with Willie Cauley-Stein,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein
0,1,1,2022-10-19,33-298,HOU,@,ATL,L (-10),1,29.3,4.0,9.0,.444,1.0,4.0,.250,2,2,1.000,0,1,1,4,0,0,1,2,11,7.6,+8,5.0,3.0,0.6,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
1,2,2,2022-10-21,33-300,HOU,,MEM,L (-7),1,35.75,5.0,12.0,.417,2.0,5.0,.400,5,7,.714,1,3,4,4,0,0,4,2,17,9.4,-6,7.0,3.0,0.4285714285714285,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
2,3,,2022-10-22,33-301,HOU,@,MIL,L (-20),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
3,4,3,2022-10-24,33-303,HOU,,UTA,W (+6),1,31.016666666666666,5.0,11.0,.455,1.0,4.0,.250,2,2,1.000,0,2,2,2,1,0,2,0,13,8.3,+8,7.0,4.0,0.5714285714285714,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
4,5,4,2022-10-26,33-305,HOU,@,UTA,L (-8),1,30.033333333333335,6.0,12.0,.500,2.0,7.0,.286,2,3,.667,0,2,2,3,2,0,1,0,16,13.3,-6,5.0,4.0,0.8,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
5,6,5,2022-10-28,33-307,HOU,@,POR,L (-14),1,33.266666666666666,6.0,10.0,.600,4.0,7.0,.571,2,2,1.000,0,3,3,5,1,1,5,1,18,14.1,+1,3.0,2.0,0.6666666666666666,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
6,7,,2022-10-30,33-309,HOU,@,PHO,L (-15),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
7,8,6,2022-10-31,33-310,HOU,@,LAC,L (-2),1,30.116666666666667,5.0,11.0,.455,2.0,4.0,.500,0,0,,0,2,2,2,2,2,2,1,12,9.3,-10,7.0,3.0,0.4285714285714285,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
8,9,7,2022-11-02,33-312,HOU,,LAC,L (-8),1,32.81666666666667,0.0,4.0,.000,0.0,3.0,.000,0,0,,1,1,2,2,1,1,1,0,0,0.3,-7,1.0,0.0,0.0,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
9,10,8,2022-11-05,33-315,HOU,@,MIN,L (-12),1,26.633333333333333,4.0,9.0,.444,2.0,6.0,.333,1,2,.500,0,1,1,4,0,0,1,1,11,7.6,-10,3.0,2.0,0.6666666666666666,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
10,11,9,2022-11-07,33-317,HOU,@,ORL,W (+7),1,29.466666666666665,5.0,9.0,.556,5.0,8.0,.625,4,5,.800,0,1,1,4,1,0,1,0,19,17.4,-10,1.0,0.0,0.0,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
11,12,10,2022-11-09,33-319,HOU,@,TOR,L (-7),1,28.583333333333332,3.0,10.0,.300,1.0,6.0,.167,3,3,1.000,0,3,3,2,1,0,1,1,10,6.1,-14,4.0,2.0,0.5,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
12,13,11,2022-11-12,33-322,HOU,@,NOP,L (-13),1,30.0,6.0,11.0,.545,2.0,6.0,.333,1,1,1.000,0,1,1,5,0,1,2,2,15,11.4,-15,5.0,4.0,0.8,43,14,25,33,1,38,44,16,43,29,47,34,47,0,16,41,0,75.0,31.0,39.0,57.0,4.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.5733333333333334,0.4516129032258064,0.6410256410256411,0.5789473684210527,0.25,0.7037037037037037,0.5569620253164557,0.5161290322580645,0.5657894736842105,0.453125,0.573170731707317,0.576271186440678,0.573170731707317,0.0,0.5161290322580645,0.5466666666666666,
