Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Shared Games with Frank Kaminsky,Shared Games with Saddiq Bey,Alperen Şengün,Boban Marjanović,Daishen Nix,Darius Days,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,John Wall,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with John Wall,co_inf with Willie Cauley-Stein,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,29-219,ATL,,UTA,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,,74.0,2.1142857142857143,0.0,84.00000000000001,2.4000000000000004
11,12,,2022-11-10,29-220,ATL,,PHI,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,,83.0,2.3714285714285714,0.0,81.89999999999998,2.3399999999999994
12,13,5,2022-11-12,29-222,ATL,@,PHI,L (-12),0,13:17,3.0,3.0,1.000,0.0,0.0,,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,6.0,5.5,+6,3.0,3.0,1.0,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,7.0,65.0,1.8571428571428568,5.499999999999999,62.3,1.78
13,14,,2022-11-14,29-224,ATL,@,MIL,W (+15),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,,50.0,1.4285714285714286,0.0,69.0,1.9714285714285715
14,15,6,2022-11-16,29-226,ATL,,BOS,L (-25),0,5:22,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.7,+4,0.0,0.0,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,4.0,92.0,2.628571428571429,3.6999999999999993,76.1,2.174285714285714
15,16,,2022-11-19,29-229,ATL,,TOR,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,,20.0,0.5714285714285714,0.0,26.6,0.76
16,17,7,2022-11-21,29-231,ATL,@,CLE,L (-12),0,1:08,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+3,0.0,0.0,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,0.0,87.0,2.4857142857142858,0.0,86.4,2.468571428571429
17,18,,2022-11-23,29-233,ATL,,SAC,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,,69.0,1.9714285714285715,0.0,69.6,1.9885714285714284
18,19,8,2022-11-25,29-235,ATL,@,HOU,L (-6),0,8:19,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.3,-9,1.0,1.0,1.0,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,1.0,70.0,2.0,1.2999999999999998,70.5,2.0142857142857142
19,20,9,2022-11-27,29-237,ATL,,MIA,L (-8),0,11:46,2.0,4.0,.500,2.0,3.0,.667,0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,1.0,2.0,6.0,4.1,+3,1.0,0.0,0.0,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,6.0,60.0,1.7142857142857142,4.1,66.69999999999999,1.9057142857142855
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-28,29-238,ATL,@,PHI,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,,54.0,1.542857142857143,0.0,59.59999999999999,1.7028571428571424
22,22,10,2022-11-30,29-240,ATL,@,ORL,W (+17),0,6:39,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.7,-4,0.0,0.0,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,0.0,49.0,1.4,-0.7,70.1,2.0028571428571427
23,23,,2022-12-02,29-242,ATL,,DEN,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,,51.0,1.457142857142857,0.0,66.3,1.8942857142857141
24,24,,2022-12-05,29-245,ATL,,OKC,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,,54.0,1.542857142857143,0.0,71.1,2.031428571428571
25,25,11,2022-12-07,29-247,ATL,@,NYK,L (-24),0,6:34,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,+1,0.0,0.0,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,2.0,58.0,1.6571428571428573,1.0,62.0,1.7714285714285714
26,26,,2022-12-09,29-249,ATL,@,BRK,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,,64.0,1.8285714285714283,0.0,68.09999999999998,1.945714285714285
27,27,,2022-12-11,29-251,ATL,,CHI,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,,64.0,1.8285714285714283,0.0,63.1,1.802857142857143
28,28,12,2022-12-12,29-252,ATL,@,MEM,L (-25),0,19:32,4.0,9.0,.444,3.0,7.0,.429,2,2.0,1.000,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,13.0,10.6,-6,2.0,1.0,0.5,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,7.0,71.0,2.0285714285714285,9.799999999999995,82.29999999999998,2.351428571428571
29,29,,2022-12-14,29-254,ATL,@,ORL,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,,47.0,1.3428571428571427,0.0,55.19999999999999,1.5771428571428567
30,30,13,2022-12-16,29-256,ATL,@,CHO,W (+19),0,22:13,4.0,5.0,.800,2.0,3.0,.667,2,2.0,1.000,0.0,7.0,7.0,5.0,1.0,0.0,1.0,4.0,12.0,14.1,+17,2.0,2.0,1.0,25,31,19,19,26,29,2,29,5,26,16,24,22,11,10,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.3968253968253968,0.4305555555555556,0.3518518518518518,0.2923076923076923,0.3880597014925373,0.3918918918918919,,1.0,0.4142857142857143,0.5,0.3661971830985915,0.3478260869565217,0.3,0.3013698630136986,0.4782608695652174,0.625,0.5517241379310345,9,5,12,7,2,16,16,9,6,7,9,9,5,9,2,4,9,36,19,75.0,31.0,57.0,4.0,79.0,31.0,76.0,34.0,64.0,82.0,59.0,82.0,5.0,31.0,75.0,,0.12,0.1612903225806451,0.1228070175438596,0.5,0.1139240506329113,0.1935483870967742,0.0921052631578947,0.140625,0.1097560975609756,0.0847457627118644,0.1097560975609756,0.4,0.1290322580645161,0.12,0.0,,35,17.0,61.0,1.7428571428571429,13.3,80.89999999999999,2.3114285714285714
