Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Kevin Porter Jr.,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Shared Games with Usman Garuba,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Trevor Hudgins,TyTy Washington Jr.,Usman Garuba,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Usman Garuba,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1,2022-10-19,21-162,HOU,ATL,0,15.1,4.0,6.0,0.667,0.0,0.0,,0,0.0,,3.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,8.0,8.3,-1,6.0,4.0,0.6666666666666666,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,9.0,34.0,1.8888888888888888,8.299999999999999,42.2,2.344444444444445,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-10),L (-10)
2.0,2,2022-10-21,21-164,HOU,MEM,0,19.516666666666666,2.0,6.0,0.333,1.0,2.0,0.5,1,1.0,1.0,1.0,6.0,7.0,1.0,0.0,1.0,0.0,1.0,6.0,6.1,11,4.0,1.0,0.25,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,8.0,39.0,2.1666666666666665,5.699999999999999,59.3,3.2944444444444443,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-7),L (-7)
3.0,3,2022-10-22,21-165,HOU,MIL,0,18.816666666666663,4.0,9.0,0.444,3.0,4.0,0.75,0,0.0,,0.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,11.0,8.5,-7,5.0,1.0,0.2,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,8.0,59.0,3.2777777777777777,8.5,64.99999999999999,3.6111111111111103,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-20),L (-20)
4.0,4,2022-10-24,21-167,HOU,UTA,0,18.75,4.0,12.0,0.333,0.0,2.0,0.0,3,4.0,0.75,5.0,4.0,9.0,0.0,3.0,0.0,1.0,3.0,11.0,9.3,7,10.0,4.0,0.4,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,6.0,49.0,2.7222222222222223,8.100000000000001,59.1,3.283333333333333,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,W (+6),W (+6)
5.0,5,2022-10-26,21-169,HOU,UTA,0,23.166666666666668,1.0,7.0,0.143,1.0,4.0,0.25,0,0.0,,3.0,3.0,6.0,1.0,1.0,0.0,0.0,4.0,3.0,1.6,-11,3.0,0.0,0.0,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,4.0,36.0,2.0,1.6,29.39999999999999,1.6333333333333329,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-8),L (-8)
6.0,6,2022-10-28,21-171,HOU,POR,0,15.3,2.0,4.0,0.5,0.0,0.0,,0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,3.9,-1,4.0,2.0,0.5,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,4.0,49.0,2.7222222222222223,3.9,58.90000000000001,3.272222222222223,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-14),L (-14)
7.0,7,2022-10-30,21-173,HOU,PHO,0,11.833333333333334,4.0,4.0,1.0,1.0,1.0,1.0,0,0.0,,2.0,0.0,2.0,1.0,1.0,0.0,1.0,4.0,9.0,8.3,-4,3.0,3.0,1.0,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,8.0,48.0,2.6666666666666665,8.299999999999999,60.49999999999999,3.3611111111111107,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-15),L (-15)
8.0,8,2022-10-31,21-174,HOU,LAC,0,11.833333333333334,2.0,7.0,0.286,0.0,1.0,0.0,2,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,2.2,-3,6.0,2.0,0.3333333333333333,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,-2.0,40.0,2.2222222222222223,1.4000000000000008,46.0,2.555555555555556,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-2),L (-2)
9.0,9,2022-11-02,21-176,HOU,LAC,0,18.15,3.0,7.0,0.429,0.0,1.0,0.0,0,0.0,,3.0,4.0,7.0,2.0,1.0,3.0,2.0,2.0,6.0,7.3,-4,6.0,3.0,0.5,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,10.0,51.0,2.833333333333333,7.300000000000001,55.6,3.088888888888889,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-8),L (-8)
10.0,10,2022-11-05,21-179,HOU,MIN,0,23.98333333333333,6.0,8.0,0.75,2.0,2.0,1.0,3,5.0,0.6,3.0,3.0,6.0,2.0,1.0,0.0,1.0,3.0,17.0,16.2,2,6.0,4.0,0.6666666666666666,75,31,31,57,4,47,45,79,31,76,64,82,59,5,31,75,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,5.0,31.0,75.0,,1.0,1.0,0.7948717948717948,1.0,1.0,0.6811594202898551,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,9,32,36.0,10.0,34.0,0.25,0.0,0.0,18,12.0,32.0,1.7777777777777777,14.999999999999996,47.2,2.6222222222222222,15.2,2.6,-1.7,-1.3,-0.4,0.0836912234335425,0.525,0.261,0.22,0.1,0.9,L (-12),L (-12)
