Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-11,24-280,SAC,@,LAL,W (+6),0,20:58,3.0,7.0,.429,0.0,2.0,.000,2,2.0,1.000,1.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,8.0,3.3,+4,5.0,3.0,0.6,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,0.0,78.0,4.333333333333333,2.499999999999999,92.10000000000002,5.116666666666668
11,12,12,2022-11-13,24-282,SAC,,GSW,W (+7),0,24:22,2.0,8.0,.250,1.0,4.0,.250,7,7.0,1.000,0.0,1.0,1.0,4.0,0.0,0.0,3.0,2.0,12.0,6.5,-2,4.0,1.0,0.25,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,-1.0,84.0,4.666666666666667,3.700000000000002,90.8,5.044444444444444
12,13,13,2022-11-15,24-284,SAC,,BRK,W (+32),0,17:21,6.0,9.0,.667,1.0,2.0,.500,2,2.0,1.000,1.0,2.0,3.0,6.0,0.0,0.0,2.0,2.0,15.0,13.8,-5,7.0,5.0,0.7142857142857143,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,11.0,101.0,5.611111111111111,12.999999999999996,115.9,6.438888888888889
13,14,14,2022-11-17,24-286,SAC,,SAS,W (+18),0,28:01,11.0,19.0,.579,4.0,9.0,.444,0,0.0,,1.0,3.0,4.0,2.0,0.0,0.0,1.0,1.0,26.0,18.7,+10,10.0,7.0,0.7,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,12.0,71.0,3.9444444444444446,18.700000000000003,84.1,4.672222222222222
14,15,15,2022-11-20,24-289,SAC,,DET,W (+8),0,19:05,3.0,6.0,.500,0.0,2.0,.000,2,2.0,1.000,0.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,8.0,6.6,-16,4.0,3.0,0.75,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,4.0,78.0,4.333333333333333,5.8,104.30000000000004,5.794444444444447
15,16,16,2022-11-22,24-291,SAC,@,MEM,W (+4),0,23:25,5.0,13.0,.385,2.0,8.0,.250,2,3.0,.667,0.0,2.0,2.0,4.0,1.0,0.0,3.0,2.0,14.0,7.1,+6,5.0,3.0,0.6,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,2.0,61.0,3.388888888888889,6.300000000000001,68.9,3.827777777777778
16,17,17,2022-11-23,24-292,SAC,@,ATL,L (-9),0,26:17,12.0,18.0,.667,3.0,7.0,.429,0,0.0,,0.0,0.0,0.0,4.0,2.0,0.0,2.0,5.0,27.0,20.0,-2,11.0,9.0,0.8181818181818182,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,13.0,47.0,2.611111111111111,20.0,48.19999999999999,2.677777777777777
17,18,18,2022-11-25,24-294,SAC,@,BOS,L (-18),0,22:35,4.0,12.0,.333,1.0,6.0,.167,0,1.0,.000,0.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,9.0,4.1,-9,6.0,3.0,0.5,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,1.0,43.0,2.388888888888889,4.1,53.19999999999998,2.9555555555555544
18,19,19,2022-11-28,24-297,SAC,,PHO,L (-5),0,30:17,12.0,17.0,.706,2.0,5.0,.400,4,4.0,1.000,1.0,0.0,1.0,8.0,1.0,0.0,3.0,1.0,30.0,26.8,+5,12.0,10.0,0.8333333333333334,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,16.0,65.0,3.611111111111111,25.200000000000003,70.3,3.9055555555555554
19,20,20,2022-11-30,24-299,SAC,,IND,W (+23),0,20:23,6.0,9.0,.667,3.0,6.0,.500,5,6.0,.833,0.0,4.0,4.0,6.0,2.0,0.0,4.0,2.0,20.0,18.3,+12,3.0,3.0,1.0,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,13.0,80.0,4.444444444444445,16.299999999999994,86.0,4.777777777777778
