Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-12-03,24-302,SAC,@,LAC,W (+27),0,16:14,5.0,11.0,.455,3.0,5.0,.600,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,13.0,7.9,-2,6.0,2.0,0.3333333333333333,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,4.0,82.0,4.555555555555555,7.899999999999999,91.5,5.083333333333333
22,22,22,2022-12-04,24-303,SAC,,CHI,W (+9),0,24:11,8.0,16.0,.500,3.0,9.0,.333,1,1.0,1.000,0.0,2.0,2.0,5.0,2.0,0.0,3.0,2.0,20.0,14.3,+10,7.0,5.0,0.7142857142857143,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,9.0,66.0,3.6666666666666665,13.900000000000002,67.7,3.761111111111111
23,23,23,2022-12-07,24-306,SAC,@,MIL,L (-13),0,28:32,7.0,19.0,.368,1.0,7.0,.143,1,1.0,1.000,0.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,16.0,7.0,-1,12.0,6.0,0.5,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,2.0,60.0,3.333333333333333,6.600000000000001,70.59999999999998,3.922222222222221
24,24,24,2022-12-09,24-308,SAC,@,CLE,W (+11),0,21:47,4.0,8.0,.500,1.0,5.0,.200,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,9.0,-0.1,-7,3.0,3.0,1.0,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,-3.0,69.0,3.8333333333333335,-0.0999999999999996,77.89999999999996,4.327777777777776
25,25,25,2022-12-11,24-310,SAC,@,NYK,L (-13),0,22:47,3.0,15.0,.200,2.0,8.0,.250,4,4.0,1.000,2.0,2.0,4.0,1.0,1.0,0.0,3.0,0.0,12.0,3.4,-8,7.0,1.0,0.1428571428571428,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,-4.0,36.0,2.0,1.799999999999999,50.89999999999999,2.8277777777777775
26,26,26,2022-12-13,24-312,SAC,@,PHI,L (-20),0,23:34,4.0,10.0,.400,1.0,5.0,.200,7,7.0,1.000,0.0,3.0,3.0,4.0,1.0,0.0,2.0,0.0,16.0,13.3,-8,5.0,3.0,0.6,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,5.0,47.0,2.611111111111111,10.5,51.59999999999999,2.866666666666666
27,27,27,2022-12-14,24-313,SAC,@,TOR,W (+1),0,32:34,6.0,13.0,.462,5.0,10.0,.500,7,8.0,.875,2.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,24.0,19.3,+10,3.0,1.0,0.3333333333333333,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,8.0,73.0,4.055555555555555,16.499999999999996,77.2,4.288888888888889
28,28,28,2022-12-16,24-315,SAC,@,DET,W (+9),0,26:18,3.0,8.0,.375,0.0,2.0,.000,5,5.0,1.000,0.0,2.0,2.0,6.0,0.0,0.0,2.0,3.0,11.0,8.2,-12,6.0,3.0,0.5,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,4.0,70.0,3.888888888888889,6.199999999999999,84.60000000000001,4.7
29,29,29,2022-12-19,24-318,SAC,,CHO,L (-6),0,24:51,4.0,13.0,.308,1.0,6.0,.167,3,4.0,.750,0.0,1.0,1.0,4.0,0.0,0.0,2.0,1.0,12.0,4.8,-4,7.0,3.0,0.4285714285714285,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,-2.0,62.0,3.4444444444444446,3.6,79.4,4.411111111111111
30,30,30,2022-12-21,24-320,SAC,,LAL,W (+14),0,18:13,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,6.0,0.0,0.0,1.0,2.0,2.0,3.0,+6,2.0,1.0,0.5,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,5.0,79.0,4.388888888888889,2.999999999999999,98.8,5.488888888888889
31,31,31,2022-12-23,24-322,SAC,,WAS,L (-14),0,26:34,4.0,11.0,.364,2.0,6.0,.333,6,6.0,1.000,0.0,5.0,5.0,4.0,2.0,0.0,4.0,2.0,16.0,11.4,-6,5.0,2.0,0.4,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,6.0,46.0,2.555555555555556,9.000000000000002,62.0,3.4444444444444446
32,32,32,2022-12-27,24-326,SAC,,DEN,L (-7),0,26:17,3.0,10.0,.300,0.0,5.0,.000,2,2.0,1.000,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,8.0,3.6,-3,5.0,3.0,0.6,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,-1.0,60.0,3.333333333333333,2.799999999999998,71.0,3.9444444444444446
33,33,33,2022-12-28,24-327,SAC,,DEN,W (+1),0,30:02,12.0,21.0,.571,4.0,8.0,.500,5,6.0,.833,0.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,33.0,23.6,+8,13.0,8.0,0.6153846153846154,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,10.0,80.0,4.444444444444445,21.6,89.5,4.972222222222222
34,34,34,2022-12-30,24-329,SAC,,UTA,W (+1),0,18:51,2.0,7.0,.286,0.0,4.0,.000,5,6.0,.833,0.0,1.0,1.0,5.0,0.0,0.0,2.0,1.0,9.0,5.9,-1,3.0,2.0,0.6666666666666666,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,0.0,80.0,4.444444444444445,3.900000000000002,92.99999999999996,5.166666666666664
35,35,35,2023-01-01,24-331,SAC,@,MEM,L (-10),0,26:19,7.0,17.0,.412,3.0,8.0,.375,1,1.0,1.000,2.0,3.0,5.0,3.0,0.0,0.0,4.0,2.0,18.0,8.5,-9,9.0,4.0,0.4444444444444444,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,4.0,60.0,3.333333333333333,8.099999999999996,66.39999999999999,3.688888888888888
36,36,36,2023-01-03,24-333,SAC,@,UTA,W (+2),0,15:09,1.0,7.0,.143,0.0,3.0,.000,0,0.0,,1.0,0.0,1.0,4.0,0.0,0.0,2.0,3.0,2.0,-2.2,-6,4.0,1.0,0.25,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,-2.0,72.0,4.0,-2.2,83.49999999999999,4.638888888888888
37,37,37,2023-01-04,24-334,SAC,,ATL,L (-3),0,19:19,3.0,9.0,.333,1.0,4.0,.250,2,2.0,1.000,0.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,9.0,10.0,0,5.0,2.0,0.4,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,7.0,65.0,3.611111111111111,9.199999999999996,80.10000000000001,4.45
38,38,,2023-01-07,24-337,SAC,,LAL,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,,65.0,3.611111111111111,0.0,93.29999999999998,5.183333333333333
39,39,38,2023-01-09,24-339,SAC,,ORL,W (+25),0,26:19,6.0,11.0,.545,0.0,4.0,.000,2,2.0,1.000,1.0,6.0,7.0,6.0,0.0,1.0,1.0,2.0,14.0,14.3,+16,7.0,6.0,0.8571428571428571,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,14.0,94.0,5.222222222222222,13.499999999999996,104.4,5.800000000000001
40,40,39,2023-01-11,24-341,SAC,,HOU,W (+20),0,20:40,3.0,13.0,.231,2.0,7.0,.286,3,3.0,1.000,2.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,11.0,5.1,+1,6.0,1.0,0.1666666666666666,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,0.0,79.0,4.388888888888889,3.9,94.1,5.227777777777778
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,,0.0,0.0,0.0,0.0,0.0
42,41,40,2023-01-13,24-343,SAC,,HOU,W (+25),0,15:01,4.0,7.0,.571,4.0,5.0,.800,3,4.0,.750,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,15.0,11.6,+4,2.0,0.0,0.0,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,6.0,102.0,5.666666666666667,10.400000000000002,112.8,6.266666666666667
43,42,41,2023-01-15,24-345,SAC,@,SAS,W (+13),0,14:41,1.0,4.0,.250,0.0,1.0,.000,0,1.0,.000,0.0,2.0,2.0,5.0,2.0,0.0,1.0,2.0,2.0,3.5,-3,3.0,1.0,0.3333333333333333,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,5.0,77.0,4.277777777777778,3.5,100.59999999999998,5.588888888888888
44,43,42,2023-01-18,24-348,SAC,@,LAL,W (+5),0,10:38,1.0,9.0,.111,0.0,3.0,.000,0,0.0,,1.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,-3.3,-13,6.0,1.0,0.1666666666666666,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,-3.0,72.0,4.0,-3.3,90.5,5.027777777777778
45,44,43,2023-01-20,24-350,SAC,,OKC,W (+5),0,15:40,1.0,6.0,.167,0.0,5.0,.000,3,3.0,1.000,0.0,3.0,3.0,5.0,0.0,1.0,2.0,2.0,5.0,3.5,-2,1.0,1.0,1.0,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,3.0,66.0,3.6666666666666665,2.3000000000000007,79.19999999999999,4.3999999999999995
46,45,44,2023-01-21,24-351,SAC,,PHI,L (-2),0,20:15,3.0,10.0,.300,1.0,5.0,.200,2,2.0,1.000,0.0,2.0,2.0,3.0,1.0,2.0,0.0,3.0,9.0,7.1,-8,5.0,2.0,0.4,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,5.0,69.0,3.8333333333333335,6.299999999999999,92.1,5.116666666666666
47,46,45,2023-01-23,24-353,SAC,,MEM,W (+33),0,23:53,5.0,9.0,.556,2.0,5.0,.400,1,1.0,1.000,2.0,7.0,9.0,8.0,0.0,0.0,2.0,0.0,13.0,15.8,+24,4.0,3.0,0.75,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,18.0,90.0,5.0,15.400000000000002,96.9,5.383333333333334
48,47,46,2023-01-25,24-355,SAC,,TOR,L (-18),0,19:50,2.0,7.0,.286,1.0,3.0,.333,2,2.0,1.000,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,7.0,3.6,-6,4.0,1.0,0.25,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,0.0,61.0,3.388888888888889,2.8000000000000007,65.6,3.644444444444444
49,48,47,2023-01-28,24-358,SAC,@,MIN,L (-7),0,18:53,5.0,6.0,.833,3.0,4.0,.750,0,1.0,.000,0.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,13.0,10.2,+4,2.0,2.0,1.0,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,10.0,37.0,2.055555555555556,10.2,61.3,3.4055555555555554
50,49,48,2023-01-30,24-360,SAC,@,MIN,W (+7),0,31:35,9.0,14.0,.643,0.0,2.0,.000,1,1.0,1.000,1.0,1.0,2.0,5.0,3.0,0.0,5.0,2.0,19.0,14.5,+3,12.0,9.0,0.75,24,2,63,75,69,75,77,75,14,71,34,30,5,16,40,59,69,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9545454545454546,0.9375,0.9452054794520548,0.0,0.9493670886075948,0.9390243902439024,0.9375,0.875,0.9466666666666668,0.9714285714285714,0.9375,1.0,1.0,0.9523809523809524,0.921875,0.9324324324324323,19,12.0,36.0,0.5277777777777778,0.0,18,9.0,64.0,3.555555555555556,14.100000000000003,74.30000000000001,4.127777777777778
