Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,22-284,SAC,,POR,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,1,16,15,13,15,16,15,10,5,14,11,2,2,9,15,15,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.3076923076923077,0.5,0.2424242424242424,0.1875,0.1780821917808219,0.0,0.189873417721519,0.1951219512195122,0.1875,0.1333333333333333,0.1428571428571428,0.1818181818181818,0.34375,0.4,0.125,0.2142857142857142,0.234375,0.2027027027027027,7,12.0,36.0,0.1944444444444444,0.0,18,,75.0,4.166666666666667,0.0,79.69999999999999,4.427777777777777
1,2,,2022-10-22,22-287,SAC,,LAC,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,1,16,15,13,15,16,15,10,5,14,11,2,2,9,15,15,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.3076923076923077,0.5,0.2424242424242424,0.1875,0.1780821917808219,0.0,0.189873417721519,0.1951219512195122,0.1875,0.1333333333333333,0.1428571428571428,0.1818181818181818,0.34375,0.4,0.125,0.2142857142857142,0.234375,0.2027027027027027,7,12.0,36.0,0.1944444444444444,0.0,18,,62.0,3.4444444444444446,0.0,79.00000000000001,4.388888888888889
2,3,,2022-10-23,22-288,SAC,@,GSW,L (-5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,1,16,15,13,15,16,15,10,5,14,11,2,2,9,15,15,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.3076923076923077,0.5,0.2424242424242424,0.1875,0.1780821917808219,0.0,0.189873417721519,0.1951219512195122,0.1875,0.1333333333333333,0.1428571428571428,0.1818181818181818,0.34375,0.4,0.125,0.2142857142857142,0.234375,0.2027027027027027,7,12.0,36.0,0.1944444444444444,0.0,18,,78.0,4.333333333333333,0.0,89.8,4.988888888888889
3,4,,2022-10-27,22-292,SAC,,MEM,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,1,16,15,13,15,16,15,10,5,14,11,2,2,9,15,15,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.3076923076923077,0.5,0.2424242424242424,0.1875,0.1780821917808219,0.0,0.189873417721519,0.1951219512195122,0.1875,0.1333333333333333,0.1428571428571428,0.1818181818181818,0.34375,0.4,0.125,0.2142857142857142,0.234375,0.2027027027027027,7,12.0,36.0,0.1944444444444444,0.0,18,,66.0,3.6666666666666665,0.0,79.69999999999999,4.427777777777777
4,5,,2022-10-29,22-294,SAC,,MIA,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,1,16,15,13,15,16,15,10,5,14,11,2,2,9,15,15,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.3076923076923077,0.5,0.2424242424242424,0.1875,0.1780821917808219,0.0,0.189873417721519,0.1951219512195122,0.1875,0.1333333333333333,0.1428571428571428,0.1818181818181818,0.34375,0.4,0.125,0.2142857142857142,0.234375,0.2027027027027027,7,12.0,36.0,0.1944444444444444,0.0,18,,70.0,3.888888888888889,0.0,78.79999999999997,4.377777777777776
5,6,,2022-10-31,22-296,SAC,@,CHO,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,1,16,15,13,15,16,15,10,5,14,11,2,2,9,15,15,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.3076923076923077,0.5,0.2424242424242424,0.1875,0.1780821917808219,0.0,0.189873417721519,0.1951219512195122,0.1875,0.1333333333333333,0.1428571428571428,0.1818181818181818,0.34375,0.4,0.125,0.2142857142857142,0.234375,0.2027027027027027,7,12.0,36.0,0.1944444444444444,0.0,18,,63.0,3.5,0.0,78.1,4.338888888888889
6,7,,2022-11-02,22-298,SAC,@,MIA,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,1,16,15,13,15,16,15,10,5,14,11,2,2,9,15,15,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.3076923076923077,0.5,0.2424242424242424,0.1875,0.1780821917808219,0.0,0.189873417721519,0.1951219512195122,0.1875,0.1333333333333333,0.1428571428571428,0.1818181818181818,0.34375,0.4,0.125,0.2142857142857142,0.234375,0.2027027027027027,7,12.0,36.0,0.1944444444444444,0.0,18,,70.0,3.888888888888889,0.0,78.1,4.338888888888889
7,8,,2022-11-05,22-301,SAC,@,ORL,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,1,16,15,13,15,16,15,10,5,14,11,2,2,9,15,15,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.3076923076923077,0.5,0.2424242424242424,0.1875,0.1780821917808219,0.0,0.189873417721519,0.1951219512195122,0.1875,0.1333333333333333,0.1428571428571428,0.1818181818181818,0.34375,0.4,0.125,0.2142857142857142,0.234375,0.2027027027027027,7,12.0,36.0,0.1944444444444444,0.0,18,,66.0,3.6666666666666665,0.0,89.10000000000001,4.95
8,9,,2022-11-07,22-303,SAC,@,GSW,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,1,16,15,13,15,16,15,10,5,14,11,2,2,9,15,15,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.3076923076923077,0.5,0.2424242424242424,0.1875,0.1780821917808219,0.0,0.189873417721519,0.1951219512195122,0.1875,0.1333333333333333,0.1428571428571428,0.1818181818181818,0.34375,0.4,0.125,0.2142857142857142,0.234375,0.2027027027027027,7,12.0,36.0,0.1944444444444444,0.0,18,,59.0,3.2777777777777777,0.0,76.79999999999997,4.266666666666665
9,10,,2022-11-09,22-305,SAC,,CLE,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,1,16,15,13,15,16,15,10,5,14,11,2,2,9,15,15,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.3076923076923077,0.5,0.2424242424242424,0.1875,0.1780821917808219,0.0,0.189873417721519,0.1951219512195122,0.1875,0.1333333333333333,0.1428571428571428,0.1818181818181818,0.34375,0.4,0.125,0.2142857142857142,0.234375,0.2027027027027027,7,12.0,36.0,0.1944444444444444,0.0,18,,77.0,4.277777777777778,0.0,102.6,5.699999999999999
10,11,,2022-11-11,22-307,SAC,@,LAL,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,1,16,15,13,15,16,15,10,5,14,11,2,2,9,15,15,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.3076923076923077,0.5,0.2424242424242424,0.1875,0.1780821917808219,0.0,0.189873417721519,0.1951219512195122,0.1875,0.1333333333333333,0.1428571428571428,0.1818181818181818,0.34375,0.4,0.125,0.2142857142857142,0.234375,0.2027027027027027,7,12.0,36.0,0.1944444444444444,0.0,18,,78.0,4.333333333333333,0.0,94.60000000000002,5.255555555555556
11,12,,2022-11-13,22-309,SAC,,GSW,W (+7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,1,16,15,13,15,16,15,10,5,14,11,2,2,9,15,15,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.3076923076923077,0.5,0.2424242424242424,0.1875,0.1780821917808219,0.0,0.189873417721519,0.1951219512195122,0.1875,0.1333333333333333,0.1428571428571428,0.1818181818181818,0.34375,0.4,0.125,0.2142857142857142,0.234375,0.2027027027027027,7,12.0,36.0,0.1944444444444444,0.0,18,,83.0,4.611111111111111,0.0,94.5,5.25
12,13,,2022-11-15,22-311,SAC,,BRK,W (+32),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,1,16,15,13,15,16,15,10,5,14,11,2,2,9,15,15,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.3076923076923077,0.5,0.2424242424242424,0.1875,0.1780821917808219,0.0,0.189873417721519,0.1951219512195122,0.1875,0.1333333333333333,0.1428571428571428,0.1818181818181818,0.34375,0.4,0.125,0.2142857142857142,0.234375,0.2027027027027027,7,12.0,36.0,0.1944444444444444,0.0,18,,112.0,6.222222222222222,0.0,128.9,7.161111111111111
13,14,1,2022-11-17,22-313,SAC,,SAS,W (+18),0,1:37,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,0,0.0,0.0,,8,1,16,15,13,15,16,15,10,5,14,11,2,2,9,15,15,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.3076923076923077,0.5,0.2424242424242424,0.1875,0.1780821917808219,0.0,0.189873417721519,0.1951219512195122,0.1875,0.1333333333333333,0.1428571428571428,0.1818181818181818,0.34375,0.4,0.125,0.2142857142857142,0.234375,0.2027027027027027,7,12.0,36.0,0.1944444444444444,0.0,18,0.0,83.0,4.611111111111111,-0.4,103.2,5.733333333333333
