Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,10,2022-11-11,24-326,SAC,@,LAL,W (+6),1,35:33,13.0,19.0,.684,2.0,5.0,.400,4,5.0,.800,0.0,7.0,7.0,12.0,2.0,0.0,3.0,2.0,32.0,32.2,+13,14.0,11.0,0.7857142857142857,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,26.0,52.0,2.888888888888889,30.60000000000001,63.99999999999999,3.5555555555555554
11,12,11,2022-11-13,24-328,SAC,,GSW,W (+7),1,34:21,10.0,19.0,.526,2.0,4.0,.500,0,2.0,.000,1.0,3.0,4.0,8.0,3.0,1.0,3.0,3.0,22.0,18.6,+15,15.0,8.0,0.5333333333333333,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,14.0,69.0,3.8333333333333335,18.6,75.90000000000002,4.216666666666668
12,13,12,2022-11-15,24-330,SAC,,BRK,W (+32),1,23:45,5.0,12.0,.417,1.0,5.0,.200,3,5.0,.600,0.0,4.0,4.0,9.0,1.0,1.0,1.0,1.0,14.0,14.6,+11,7.0,4.0,0.5714285714285714,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,11.0,101.0,5.611111111111111,13.4,115.5,6.416666666666667
13,14,13,2022-11-17,24-332,SAC,,SAS,W (+18),1,31:48,11.0,15.0,.733,2.0,3.0,.667,4,4.0,1.000,0.0,3.0,3.0,8.0,1.0,0.0,0.0,3.0,28.0,28.2,+36,12.0,9.0,0.75,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,21.0,62.0,3.4444444444444446,26.6,76.2,4.233333333333333
14,15,14,2022-11-20,24-335,SAC,,DET,W (+8),1,35:59,11.0,18.0,.611,2.0,4.0,.500,9,9.0,1.000,0.0,4.0,4.0,7.0,0.0,0.0,2.0,4.0,33.0,27.3,+12,14.0,9.0,0.6428571428571429,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,15.0,67.0,3.7222222222222223,23.7,86.4,4.800000000000001
15,16,15,2022-11-22,24-337,SAC,@,MEM,W (+4),1,35:10,11.0,21.0,.524,5.0,8.0,.625,5,6.0,.833,1.0,7.0,8.0,6.0,4.0,0.0,1.0,3.0,32.0,30.1,-4,13.0,6.0,0.4615384615384615,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,22.0,41.0,2.2777777777777777,28.100000000000005,47.1,2.6166666666666667
16,17,16,2022-11-23,24-338,SAC,@,ATL,L (-9),1,32:13,7.0,20.0,.350,1.0,6.0,.167,3,7.0,.429,1.0,4.0,5.0,5.0,0.0,0.0,4.0,3.0,18.0,5.4,-11,14.0,6.0,0.4285714285714285,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,-3.0,63.0,3.5,4.199999999999999,63.99999999999999,3.5555555555555554
17,18,17,2022-11-25,24-340,SAC,@,BOS,L (-18),1,30:31,6.0,17.0,.353,3.0,9.0,.333,5,5.0,1.000,0.0,4.0,4.0,2.0,0.0,0.0,2.0,1.0,20.0,10.7,-26,8.0,3.0,0.375,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,2.0,42.0,2.333333333333333,8.699999999999998,48.59999999999998,2.699999999999999
18,19,18,2022-11-28,24-343,SAC,,PHO,L (-5),1,28:43,4.0,12.0,.333,1.0,3.0,.333,2,2.0,1.000,1.0,4.0,5.0,5.0,1.0,3.0,1.0,1.0,11.0,11.3,-16,9.0,3.0,0.3333333333333333,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,10.0,71.0,3.9444444444444446,10.500000000000002,85.00000000000001,4.722222222222223
19,20,19,2022-11-30,24-345,SAC,,IND,W (+23),1,27:14,7.0,11.0,.636,1.0,1.0,1.000,4,5.0,.800,0.0,5.0,5.0,6.0,0.0,0.0,3.0,4.0,19.0,14.8,+20,10.0,6.0,0.6,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,11.0,82.0,4.555555555555555,13.2,89.09999999999998,4.949999999999999
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,20,2022-12-03,24-348,SAC,@,LAC,W (+27),1,27:50,5.0,12.0,.417,1.0,4.0,.250,3,5.0,.600,0.0,6.0,6.0,4.0,0.0,1.0,2.0,0.0,14.0,10.1,+17,8.0,4.0,0.5,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,6.0,80.0,4.444444444444445,8.900000000000002,90.49999999999996,5.027777777777775
22,22,21,2022-12-04,24-349,SAC,,CHI,W (+9),1,32:17,5.0,14.0,.357,2.0,7.0,.286,4,4.0,1.000,0.0,7.0,7.0,4.0,2.0,0.0,4.0,0.0,16.0,11.1,+8,7.0,3.0,0.4285714285714285,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,7.0,68.0,3.7777777777777777,9.500000000000004,72.10000000000001,4.005555555555556
23,23,22,2022-12-07,24-352,SAC,@,MIL,L (-13),1,32:10,5.0,16.0,.313,1.0,6.0,.167,4,4.0,1.000,0.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,15.0,6.3,-1,10.0,4.0,0.4,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,-1.0,63.0,3.5,4.7,72.49999999999996,4.027777777777775
24,24,,2022-12-09,24-354,SAC,@,CLE,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,,66.0,3.6666666666666665,0.0,77.79999999999997,4.32222222222222
25,25,,2022-12-11,24-356,SAC,@,NYK,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,,32.0,1.7777777777777777,0.0,52.69999999999999,2.927777777777777
26,26,23,2022-12-13,24-358,SAC,@,PHI,L (-20),1,29:23,5.0,15.0,.333,1.0,7.0,.143,2,4.0,.500,0.0,4.0,4.0,1.0,1.0,0.0,3.0,2.0,13.0,2.8,-14,8.0,4.0,0.5,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,-3.0,55.0,3.055555555555556,1.9999999999999991,60.09999999999999,3.338888888888888
27,27,24,2022-12-14,24-359,SAC,@,TOR,W (+1),1,41:26,9.0,23.0,.391,4.0,8.0,.500,5,7.0,.714,0.0,6.0,6.0,10.0,1.0,0.0,3.0,4.0,27.0,18.9,+6,15.0,5.0,0.3333333333333333,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,11.0,70.0,3.888888888888889,16.9,76.8,4.266666666666667
28,28,25,2022-12-16,24-361,SAC,@,DET,W (+9),1,39:21,9.0,19.0,.474,0.0,5.0,.000,6,9.0,.667,0.0,5.0,5.0,9.0,1.0,0.0,3.0,4.0,24.0,17.3,+19,14.0,9.0,0.6428571428571429,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,8.0,66.0,3.6666666666666665,14.9,75.9,4.216666666666667
29,29,26,2022-12-19,24-364,SAC,,CHO,L (-6),1,33:43,14.0,25.0,.560,2.0,5.0,.400,7,9.0,.778,1.0,4.0,5.0,2.0,0.0,0.0,2.0,5.0,37.0,23.6,-20,20.0,12.0,0.6,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,8.0,52.0,2.888888888888889,20.800000000000004,62.2,3.4555555555555557
