Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-11,23-197,SAC,@,LAL,W (+6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,78.0,4.588235294117647,0.0,94.60000000000002,5.564705882352943
11,12,,2022-11-13,23-199,SAC,,GSW,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,83.0,4.882352941176471,0.0,95.20000000000002,5.600000000000001
12,13,7,2022-11-15,23-201,SAC,,BRK,W (+32),0,12:26,1.0,1.0,1.000,0.0,0.0,,4,4.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.9,-3,1.0,1.0,1.0,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,1.0,111.0,6.529411764705882,3.3,126.3,7.429411764705883
13,14,8,2022-11-17,23-203,SAC,,SAS,W (+18),0,1:49,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-2,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,1.0,82.0,4.823529411764706,0.7,102.1,6.0058823529411764
14,15,,2022-11-20,23-206,SAC,,DET,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,82.0,4.823529411764706,0.0,103.90000000000002,6.111764705882354
15,16,,2022-11-22,23-208,SAC,@,MEM,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,63.0,3.7058823529411766,0.0,75.2,4.423529411764706
16,17,9,2022-11-23,23-209,SAC,@,ATL,L (-9),0,0:16,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,0.0,60.0,3.5294117647058822,0.0,69.19999999999999,4.070588235294117
17,18,10,2022-11-25,23-211,SAC,@,BOS,L (-18),0,20:43,3.0,5.0,.600,1.0,2.0,.500,0,0.0,,1.0,3.0,4.0,1.0,1.0,1.0,0.0,4.0,7.0,7.1,+1,3.0,2.0,0.6666666666666666,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,9.0,35.0,2.0588235294117645,7.099999999999998,50.89999999999999,2.994117647058823
18,19,11,2022-11-28,23-214,SAC,,PHO,L (-5),0,5:02,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.6,-5,2.0,1.0,0.5,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,0.0,81.0,4.764705882352941,0.6,95.6,5.623529411764705
19,20,12,2022-11-30,23-216,SAC,,IND,W (+23),0,14:50,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,1.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,4.5,-2,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,8.0,85.0,5.0,4.5,98.5,5.794117647058823
