Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,0.0,0.0,0.0,0.0,0.0
21,21,13,2022-12-03,23-219,SAC,@,LAC,W (+27),0,18:14,2.0,6.0,.333,0.0,1.0,.000,2,2.0,1.000,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,4.9,+10,5.0,2.0,0.4,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,3.0,83.0,4.882352941176471,4.099999999999999,95.29999999999998,5.605882352941175
22,22,14,2022-12-04,23-220,SAC,,CHI,W (+9),0,18:03,2.0,3.0,.667,0.0,1.0,.000,0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0,4.0,3.5,+2,2.0,2.0,1.0,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,6.0,69.0,4.0588235294117645,3.500000000000001,78.10000000000001,4.594117647058824
23,23,15,2022-12-07,23-223,SAC,@,MIL,L (-13),0,8:10,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.5,+4,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,1.0,61.0,3.588235294117647,-0.5,77.69999999999997,4.5705882352941165
24,24,16,2022-12-09,23-225,SAC,@,CLE,W (+11),0,3:55,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3,-4,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,1.0,65.0,3.823529411764706,0.2999999999999999,77.49999999999997,4.558823529411763
25,25,17,2022-12-11,23-227,SAC,@,NYK,L (-13),0,4:03,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,-2,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,1.0,31.0,1.8235294117647056,0.7,52.69999999999999,3.099999999999999
26,26,18,2022-12-13,23-229,SAC,@,PHI,L (-20),0,7:58,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,+1,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,3.0,49.0,2.8823529411764706,1.7999999999999998,60.29999999999999,3.547058823529411
27,27,,2022-12-14,23-230,SAC,@,TOR,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,81.0,4.764705882352941,0.0,93.7,5.511764705882353
28,28,,2022-12-16,23-232,SAC,@,DET,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,74.0,4.352941176470588,0.0,88.4,5.2
29,29,,2022-12-19,23-235,SAC,,CHO,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,60.0,3.5294117647058822,0.0,83.0,4.882352941176471
30,30,19,2022-12-21,23-237,SAC,,LAL,W (+14),0,1:42,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,0.0,84.0,4.941176470588236,0.0,101.8,5.988235294117647
31,31,20,2022-12-23,23-239,SAC,,WAS,L (-14),0,3:08,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,0,1.0,0.0,0.0,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,-1.0,53.0,3.117647058823529,-1.1,72.1,4.241176470588235
32,32,21,2022-12-27,23-243,SAC,,DEN,L (-7),0,3:17,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,-0.9,0,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,1.0,58.0,3.411764705882353,-0.9000000000000001,74.69999999999999,4.394117647058823
33,33,22,2022-12-28,23-244,SAC,,DEN,W (+1),0,17:34,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,4.7,+3,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,7.0,83.0,4.882352941176471,4.699999999999999,106.4,6.258823529411765
34,34,23,2022-12-30,23-246,SAC,,UTA,W (+1),0,2:43,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.8,-4,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,-1.0,81.0,4.764705882352941,-1.8,98.69999999999996,5.8058823529411745
35,35,24,2023-01-01,23-248,SAC,@,MEM,L (-10),0,4:07,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,+1,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,1.0,63.0,3.7058823529411766,-0.1,74.6,4.388235294117647
36,36,25,2023-01-03,23-250,SAC,@,UTA,W (+2),0,7:01,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.4,-1,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,2.0,68.0,4.0,0.3999999999999999,80.89999999999998,4.758823529411764
37,37,,2023-01-04,23-251,SAC,,ATL,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,72.0,4.235294117647059,0.0,89.30000000000001,5.252941176470589
38,38,26,2023-01-07,23-254,SAC,,LAL,L (-2),0,8:13,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,-4,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,2.0,63.0,3.7058823529411766,1.0,92.29999999999998,5.429411764705882
39,39,27,2023-01-09,23-256,SAC,,ORL,W (+25),0,10:42,2.0,4.0,.500,1.0,3.0,.333,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,+15,1.0,1.0,1.0,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,3.0,105.0,6.176470588235294,4.0,113.9,6.7
40,40,28,2023-01-11,23-258,SAC,,HOU,W (+20),0,9:19,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.8,+7,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,3.0,76.0,4.470588235294118,1.8,96.20000000000002,5.658823529411766
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,0.0,0.0,0.0,0.0,0.0
42,41,29,2023-01-13,23-260,SAC,,HOU,W (+25),0,11:22,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1,-2,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,1.0,107.0,6.294117647058823,-0.1,123.3,7.252941176470588
43,42,30,2023-01-15,23-262,SAC,@,SAS,W (+13),0,4:03,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,0.0,82.0,4.823529411764706,0.0,104.09999999999998,6.1235294117647046
44,43,31,2023-01-18,23-265,SAC,@,LAL,W (+5),0,1:19,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,-1.0,70.0,4.117647058823529,-0.7,87.9,5.170588235294118
45,44,32,2023-01-20,23-267,SAC,,OKC,W (+5),0,1:53,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,-1.0,70.0,4.117647058823529,-0.7,82.19999999999999,4.8352941176470585
46,45,33,2023-01-21,23-268,SAC,,PHI,L (-2),0,0:11,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7,-3,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,0.0,74.0,4.352941176470588,-0.7,99.1,5.829411764705882
47,46,34,2023-01-23,23-270,SAC,,MEM,W (+33),0,3:22,0.0,0.0,,0.0,0.0,,1,2.0,.500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.6,+7,0.0,0.0,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,0.0,108.0,6.352941176470588,1.2,111.1,6.535294117647059
48,47,,2023-01-25,23-272,SAC,,TOR,L (-18),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,61.0,3.588235294117647,0.0,68.4,4.023529411764706
49,48,35,2023-01-28,23-275,SAC,@,MIN,L (-7),0,3:52,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4,-4,1.0,0.0,0.0,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,-2.0,49.0,2.8823529411764706,-1.4,72.89999999999999,4.288235294117647
50,49,,2023-01-30,23-277,SAC,@,MIN,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,73.0,4.294117647058823,0.0,88.40000000000002,5.200000000000001
51,50,,2023-02-01,23-279,SAC,@,SAS,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,73.0,4.294117647058823,0.0,95.6,5.623529411764705
52,51,,2023-02-03,23-281,SAC,@,IND,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,12,2,25,35,33,33,35,33,5,33,34,18,3,10,26,24,30,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,1.0,0.3787878787878788,0.4375,0.4520547945205479,0.0,0.4177215189873418,0.4268292682926829,0.4125,0.3125,0.44,0.4415584415584415,0.5625,0.6,0.625,0.6190476190476191,0.375,0.4054054054054054,12.0,36.0,0.0,0.0,17,,63.0,3.7058823529411766,0.0,71.0,4.176470588235294
