Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,24-053,SAC,,POR,L (-7),1,28:48,8.0,12.0,.667,6.0,9.0,.667,1,2.0,.500,0.0,3.0,3.0,2.0,1.0,0.0,1.0,2.0,23.0,18.9,+16,3.0,2.0,0.6666666666666666,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,14.0,61.0,3.388888888888889,18.5,61.19999999999999,3.3999999999999995
1,2,2,2022-10-22,24-056,SAC,,LAC,L (-2),1,32:26,5.0,9.0,.556,5.0,8.0,.625,3,4.0,.750,0.0,3.0,3.0,5.0,0.0,0.0,1.0,4.0,18.0,15.1,+5,1.0,0.0,0.0,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,12.0,50.0,2.7777777777777777,13.899999999999997,65.10000000000001,3.616666666666667
2,3,3,2022-10-23,24-057,SAC,@,GSW,L (-5),1,30:56,3.0,14.0,.214,1.0,8.0,.125,2,2.0,1.000,0.0,5.0,5.0,4.0,0.0,0.0,2.0,3.0,9.0,1.5,+5,6.0,2.0,0.3333333333333333,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,0.0,78.0,4.333333333333333,0.7000000000000011,89.1,4.949999999999999
3,4,4,2022-10-27,24-061,SAC,,MEM,L (-15),1,19:09,3.0,8.0,.375,1.0,4.0,.250,0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,7.0,4.2,+7,4.0,2.0,0.5,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,3.0,63.0,3.5,4.199999999999999,75.49999999999999,4.194444444444444
4,5,5,2022-10-29,24-063,SAC,,MIA,W (+6),1,38:11,8.0,11.0,.727,7.0,8.0,.875,4,6.0,.667,0.0,3.0,3.0,7.0,0.0,0.0,0.0,2.0,27.0,26.7,+5,3.0,1.0,0.3333333333333333,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,20.0,50.0,2.7777777777777777,25.1,53.69999999999998,2.9833333333333325
5,6,6,2022-10-31,24-065,SAC,@,CHO,W (+7),1,35:47,8.0,16.0,.500,5.0,10.0,.500,5,5.0,1.000,0.0,2.0,2.0,5.0,2.0,1.0,2.0,1.0,26.0,22.4,+10,6.0,3.0,0.5,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,13.0,50.0,2.7777777777777777,20.4,57.7,3.2055555555555557
6,7,7,2022-11-02,24-067,SAC,@,MIA,L (-3),1,38:04,9.0,17.0,.529,4.0,9.0,.444,0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,22.0,14.5,-1,8.0,5.0,0.625,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,9.0,61.0,3.388888888888889,14.500000000000004,63.6,3.533333333333333
7,8,8,2022-11-05,24-070,SAC,@,ORL,W (+3),1,32:12,3.0,7.0,.429,3.0,6.0,.500,0,2.0,.000,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,9.0,5.1,-16,1.0,0.0,0.0,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,3.0,63.0,3.5,5.1000000000000005,84.00000000000001,4.666666666666668
8,9,9,2022-11-07,24-072,SAC,@,GSW,L (-3),1,31:48,4.0,9.0,.444,3.0,6.0,.500,0,0.0,,0.0,3.0,3.0,1.0,2.0,0.0,1.0,2.0,11.0,8.1,-13,3.0,1.0,0.3333333333333333,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,7.0,52.0,2.888888888888889,8.099999999999998,68.69999999999997,3.816666666666665
9,10,10,2022-11-09,24-074,SAC,,CLE,W (+7),1,29:50,3.0,7.0,.429,2.0,5.0,.400,6,7.0,.857,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,14.0,11.8,+12,2.0,1.0,0.5,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,4.0,73.0,4.055555555555555,9.4,93.2,5.177777777777778
10,11,11,2022-11-11,24-076,SAC,@,LAL,W (+6),1,32:28,6.0,13.0,.462,4.0,9.0,.444,0,1.0,.000,1.0,5.0,6.0,2.0,3.0,2.0,3.0,1.0,16.0,13.5,+6,4.0,2.0,0.5,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,12.0,66.0,3.6666666666666665,13.5,81.10000000000002,4.505555555555556
11,12,12,2022-11-13,24-078,SAC,,GSW,W (+7),1,32:27,6.0,9.0,.667,4.0,6.0,.667,1,4.0,.250,0.0,5.0,5.0,4.0,0.0,0.0,3.0,1.0,17.0,12.8,+2,3.0,2.0,0.6666666666666666,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,10.0,73.0,4.055555555555555,12.4,82.10000000000001,4.561111111111112
12,13,13,2022-11-15,24-080,SAC,,BRK,W (+32),1,29:40,7.0,10.0,.700,5.0,7.0,.714,0,0.0,,1.0,1.0,2.0,3.0,1.0,0.0,2.0,2.0,19.0,16.1,+40,3.0,2.0,0.6666666666666666,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,13.0,99.0,5.5,16.099999999999998,112.8,6.266666666666667
13,14,14,2022-11-17,24-082,SAC,,SAS,W (+18),1,34:11,3.0,11.0,.273,1.0,5.0,.200,0,0.0,,0.0,2.0,2.0,6.0,1.0,1.0,2.0,3.0,7.0,3.8,+2,6.0,2.0,0.3333333333333333,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,4.0,79.0,4.388888888888889,3.799999999999998,99.0,5.5
14,15,15,2022-11-20,24-085,SAC,,DET,W (+8),1,38:19,10.0,19.0,.526,4.0,11.0,.364,0,0.0,,2.0,3.0,5.0,5.0,1.0,0.0,2.0,4.0,24.0,17.9,+20,8.0,6.0,0.75,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,14.0,68.0,3.7777777777777777,17.9,92.20000000000002,5.122222222222224
15,16,16,2022-11-22,24-087,SAC,@,MEM,W (+4),1,33:20,6.0,10.0,.600,4.0,7.0,.571,2,4.0,.500,2.0,4.0,6.0,1.0,3.0,1.0,3.0,3.0,18.0,15.4,-2,3.0,2.0,0.6666666666666666,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,12.0,51.0,2.833333333333333,14.599999999999994,60.60000000000001,3.366666666666667
16,17,17,2022-11-23,24-088,SAC,@,ATL,L (-9),1,29:16,4.0,10.0,.400,3.0,7.0,.429,2,2.0,1.000,0.0,4.0,4.0,5.0,1.0,1.0,2.0,5.0,13.0,10.0,-7,3.0,1.0,0.3333333333333333,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,10.0,50.0,2.7777777777777777,9.199999999999996,58.99999999999999,3.2777777777777772
17,18,18,2022-11-25,24-090,SAC,@,BOS,L (-18),1,31:49,2.0,10.0,.200,0.0,6.0,.000,3,3.0,1.000,0.0,3.0,3.0,3.0,0.0,1.0,2.0,2.0,7.0,1.7,-13,4.0,2.0,0.5,24,2,59,73,67,73,75,73,10,33,71,27,5,15,37,57,68,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8939393939393939,0.9125,0.9178082191780822,0.0,0.9240506329113924,0.9146341463414634,0.9125,0.625,0.9428571428571428,0.922077922077922,0.84375,1.0,0.9375,0.8809523809523809,0.890625,0.918918918918919,17,12.0,36.0,0.4722222222222222,0.0,18,-1.0,45.0,2.5,0.4999999999999982,56.79999999999998,3.1555555555555546
