Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-11,26-192,SAC,@,LAL,W (+6),1,31:34,9.0,15.0,.600,0.0,0.0,,3,3.0,1.000,2.0,8.0,10.0,6.0,1.0,0.0,2.0,5.0,21.0,19.1,+10,15.0,9.0,0.6,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,18.0,60.0,3.333333333333333,17.899999999999995,76.70000000000002,4.261111111111112
11,12,12,2022-11-13,26-194,SAC,,GSW,W (+7),1,34:12,10.0,17.0,.588,2.0,2.0,1.000,4,6.0,.667,6.0,16.0,22.0,8.0,0.0,0.0,3.0,1.0,26.0,28.5,+5,15.0,8.0,0.5333333333333333,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,30.0,53.0,2.9444444444444446,26.90000000000001,67.6,3.755555555555555
12,13,13,2022-11-15,26-196,SAC,,BRK,W (+32),1,27:36,6.0,6.0,1.000,0.0,0.0,,5,5.0,1.000,1.0,6.0,7.0,7.0,1.0,1.0,3.0,4.0,17.0,19.7,+44,6.0,6.0,1.0,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,19.0,93.0,5.166666666666667,17.699999999999996,111.2,6.177777777777778
13,14,14,2022-11-17,26-198,SAC,,SAS,W (+18),1,32:24,4.0,5.0,.800,1.0,1.0,1.000,7,7.0,1.000,0.0,8.0,8.0,1.0,0.0,0.0,2.0,4.0,16.0,13.6,-1,4.0,3.0,0.75,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,11.0,72.0,4.0,10.8,92.0,5.111111111111111
14,15,15,2022-11-20,26-201,SAC,,DET,W (+8),1,33:48,4.0,5.0,.800,1.0,1.0,1.000,6,8.0,.750,3.0,10.0,13.0,7.0,1.0,0.0,3.0,5.0,15.0,18.3,+12,4.0,3.0,0.75,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,20.0,62.0,3.4444444444444446,15.900000000000002,94.2,5.233333333333333
15,16,16,2022-11-22,26-203,SAC,@,MEM,W (+4),1,37:21,3.0,8.0,.375,0.0,1.0,.000,3,6.0,.500,2.0,11.0,13.0,8.0,0.0,0.0,2.0,5.0,9.0,9.7,+1,7.0,3.0,0.4285714285714285,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,14.0,49.0,2.7222222222222223,8.5,66.7,3.7055555555555557
16,17,17,2022-11-23,26-204,SAC,@,ATL,L (-9),1,34:12,6.0,11.0,.545,0.0,1.0,.000,3,4.0,.750,1.0,12.0,13.0,7.0,1.0,0.0,3.0,1.0,15.0,16.1,-4,10.0,6.0,0.6,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,18.0,42.0,2.333333333333333,14.899999999999997,53.3,2.961111111111111
17,18,18,2022-11-25,26-206,SAC,@,BOS,L (-18),1,33:12,7.0,13.0,.538,0.0,2.0,.000,4,4.0,1.000,2.0,8.0,10.0,6.0,0.0,0.0,3.0,5.0,18.0,14.7,-14,11.0,7.0,0.6363636363636364,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,14.0,30.0,1.6666666666666667,13.099999999999994,44.19999999999999,2.455555555555555
18,19,19,2022-11-28,26-209,SAC,,PHO,L (-5),1,37:00,8.0,10.0,.800,1.0,2.0,.500,0,0.0,,2.0,7.0,9.0,10.0,1.0,2.0,5.0,1.0,17.0,20.7,-5,8.0,7.0,0.875,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,24.0,57.0,3.1666666666666665,20.700000000000003,74.8,4.155555555555555
19,20,20,2022-11-30,26-211,SAC,,IND,W (+23),1,23:09,5.0,9.0,.556,1.0,2.0,.500,0,0.0,,1.0,9.0,10.0,7.0,1.0,0.0,3.0,4.0,11.0,11.4,+11,7.0,4.0,0.5714285714285714,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,17.0,76.0,4.222222222222222,11.399999999999997,90.9,5.050000000000001
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,21,2022-12-03,26-214,SAC,@,LAC,W (+27),1,26:11,10.0,11.0,.909,2.0,2.0,1.000,2,3.0,.667,2.0,3.0,5.0,6.0,0.0,2.0,2.0,5.0,24.0,23.8,+32,9.0,8.0,0.8888888888888888,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,21.0,65.0,3.611111111111111,23.0,76.39999999999999,4.244444444444444
22,22,22,2022-12-04,26-215,SAC,,CHI,W (+9),1,36:03,2.0,4.0,.500,1.0,1.0,1.000,6,6.0,1.000,3.0,14.0,17.0,10.0,0.0,0.0,2.0,3.0,11.0,19.1,+6,3.0,1.0,0.3333333333333333,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,26.0,49.0,2.7222222222222223,16.7,64.9,3.605555555555556
23,23,23,2022-12-07,26-218,SAC,@,MIL,L (-13),1,36:16,9.0,11.0,.818,1.0,1.0,1.000,4,4.0,1.000,4.0,8.0,12.0,7.0,1.0,0.0,2.0,3.0,23.0,26.8,-16,10.0,8.0,0.8,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,26.0,36.0,2.0,25.2,51.99999999999999,2.8888888888888884
24,24,24,2022-12-09,26-220,SAC,@,CLE,W (+11),1,37:29,5.0,12.0,.417,0.0,1.0,.000,8,14.0,.571,5.0,13.0,18.0,6.0,3.0,2.0,2.0,4.0,18.0,21.6,+11,11.0,5.0,0.4545454545454545,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,19.0,47.0,2.611111111111111,18.39999999999999,59.39999999999998,3.299999999999999
25,25,25,2022-12-11,26-222,SAC,@,NYK,L (-13),1,39:01,7.0,10.0,.700,0.0,0.0,,6,11.0,.545,3.0,9.0,12.0,4.0,0.0,0.0,2.0,2.0,20.0,18.6,-6,10.0,7.0,0.7,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,13.0,19.0,1.0555555555555556,16.2,36.49999999999999,2.0277777777777772
26,26,26,2022-12-13,26-224,SAC,@,PHI,L (-20),1,29:43,8.0,10.0,.800,0.0,0.0,,6,7.0,.857,4.0,6.0,10.0,5.0,0.0,0.0,1.0,4.0,22.0,23.3,-13,10.0,8.0,0.8,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,19.0,33.0,1.8333333333333333,20.899999999999995,41.19999999999999,2.2888888888888883
27,27,27,2022-12-14,26-225,SAC,@,TOR,W (+1),1,40:15,10.0,13.0,.769,0.0,0.0,,1,1.0,1.000,5.0,15.0,20.0,7.0,1.0,1.0,5.0,3.0,21.0,24.3,+13,13.0,10.0,0.7692307692307693,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,31.0,50.0,2.7777777777777777,23.9,69.8,3.8777777777777778
28,28,28,2022-12-16,26-227,SAC,@,DET,W (+9),1,40:52,9.0,11.0,.818,0.0,1.0,.000,5,7.0,.714,2.0,11.0,13.0,7.0,2.0,1.0,3.0,2.0,23.0,26.6,+11,10.0,9.0,0.9,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,25.0,49.0,2.7222222222222223,24.6,66.2,3.677777777777778
