Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,,2023-03-02,24-189,WAS,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,,72.0,4.8,0.0,75.09999999999998,5.006666666666665,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,W (+11),W (+11)
2,,2023-03-04,24-191,WAS,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,,77.0,5.133333333333334,0.0,72.6,4.84,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,L (-7),L (-7)
3,,2023-03-05,24-192,WAS,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,,64.0,4.266666666666667,0.0,66.30000000000001,4.420000000000001,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,L (-6),L (-6)
4,,2023-03-07,24-194,WAS,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,,90.0,6.0,0.0,87.49999999999997,5.833333333333331,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,W (+2),W (+2)
5,,2023-03-08,24-195,WAS,ATL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,,62.0,4.133333333333334,0.0,79.4,5.293333333333334,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,L (-2),L (-2)
6,,2023-03-10,24-197,WAS,ATL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,,56.0,3.733333333333333,0.0,59.80000000000001,3.9866666666666672,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,L (-7),L (-7)
7,,2023-03-12,24-199,WAS,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,,66.0,4.4,0.0,79.0,5.266666666666667,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,L (-19),L (-19)
8,1,2023-03-14,24-201,WAS,DET,0,3.25,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-2.4,-3,0.0,0.0,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,-2.0,90.0,6.0,-2.4,102.3,6.819999999999999,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,W (+20),W (+20)
9,,2023-03-17,24-204,WAS,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,,36.0,2.4,0.0,45.29999999999999,3.019999999999999,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,L (-23),L (-23)
10,2,2023-03-18,24-205,WAS,SAC,0,5.5,1.0,1.0,1.000,0.0,0.0,,3,3.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.6,+8,1.0,1.0,1.0,6,4,6,7,7,2,2,6,6,6,4,1,3,4,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.081081081081081,0.0897435897435897,0.0,0.0921052631578947,0.3333333333333333,0.0,0.0714285714285714,0.0967741935483871,0.0,0.0923076923076923,0.09375,0.064516129032258,0.1111111111111111,0.0476190476190476,0.0816326530612244,0.0,0.125,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,15,4.0,74.0,4.933333333333334,4.4,70.49999999999999,4.699999999999999,22.3,0.5,4.0,2.8,1.2,0.0054962819269317,0.796,0.48,0.64,0.1,0.4,L (-14),L (-14)
