Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,1,2022-10-19,31-286,WAS,IND,0,25.116666666666667,4.0,10.0,.400,2.0,3.0,.667,4,4.0,1.000,1.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,14.0,9.3,0,7.0,2.0,0.2857142857142857,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,3.0,69.0,3.8333333333333335,7.700000000000003,73.69999999999997,4.094444444444443,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,W (+7),W (+7)
2,2,2022-10-21,31-288,WAS,CHI,0,17.283333333333335,3.0,6.0,.500,0.0,1.0,.000,0,0.0,,1.0,4.0,5.0,1.0,1.0,0.0,1.0,1.0,6.0,5.2,-5,5.0,3.0,0.6,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,6.0,71.0,3.9444444444444446,5.199999999999999,74.79999999999998,4.155555555555555,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,W (+2),W (+2)
3,3,2022-10-23,31-290,WAS,CLE,0,35.43333333333333,4.0,11.0,.364,1.0,3.0,.333,0,0.0,,0.0,4.0,4.0,2.0,2.0,0.0,5.0,2.0,9.0,1.7,-7,8.0,3.0,0.375,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,1.0,63.0,3.5,1.7000000000000002,72.80000000000001,4.044444444444445,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,L (-10),L (-10)
4,4,2022-10-25,31-292,WAS,DET,0,29.166666666666668,6.0,9.0,.667,4.0,6.0,.667,0,0.0,,0.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,16.0,16.4,+18,3.0,2.0,0.6666666666666666,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,15.0,75.0,4.166666666666667,16.4,81.89999999999999,4.55,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,W (+21),W (+21)
5,5,2022-10-28,31-295,WAS,IND,0,29.066666666666663,3.0,6.0,.500,3.0,5.0,.600,0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,9.0,6.9,-7,1.0,0.0,0.0,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,7.0,55.0,3.055555555555556,6.9,71.8,3.988888888888889,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,L (-10),L (-10)
6,6,2022-10-30,31-297,WAS,BOS,0,14.483333333333333,2.0,8.0,.250,0.0,3.0,.000,0,1.0,.000,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,-0.3,-16,5.0,2.0,0.4,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,-2.0,58.0,3.2222222222222223,-0.3,61.10000000000001,3.394444444444445,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,L (-18),L (-18)
7,7,2022-10-31,31-298,WAS,PHI,0,21.466666666666665,2.0,6.0,.333,1.0,3.0,.333,2,2.0,1.000,1.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,7.0,5.1,-17,3.0,1.0,0.3333333333333333,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,4.0,62.0,3.4444444444444446,4.300000000000001,74.7,4.15,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,L (-7),L (-7)
8,8,2022-11-02,31-300,WAS,PHI,0,24.15,4.0,9.0,.444,1.0,4.0,.250,2,2.0,1.000,0.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,11.0,9.6,+3,5.0,3.0,0.6,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,6.0,82.0,4.555555555555555,8.799999999999997,91.1,5.061111111111111,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,W (+10),W (+10)
9,9,2022-11-04,31-302,WAS,BRK,0,19.05,1.0,7.0,.143,1.0,4.0,.250,0,0.0,,0.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,3.0,1.5,-33,3.0,0.0,0.0,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,2.0,34.0,1.8888888888888888,1.5,43.79999999999999,2.4333333333333327,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,L (-42),L (-42)
10,10,2022-11-06,31-304,WAS,MEM,0,23.73333333333333,5.0,12.0,.417,1.0,5.0,.200,1,1.0,1.000,0.0,4.0,4.0,5.0,0.0,0.0,0.0,2.0,12.0,9.5,+3,7.0,4.0,0.5714285714285714,33,25,32,39,13,39,6,4,7,10,32,33,37,34,7,22,23,7,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,10.0,0.559322033898305,0.5,0.4324324324324324,0.5,0.26,0.5131578947368421,1.0,0.6666666666666666,1.0,0.3571428571428571,0.5161290322580645,0.0,0.5076923076923077,0.578125,0.5483870967741935,0.7777777777777778,0.3492063492063492,0.4693877551020408,0.6363636363636364,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,8.0,70.0,3.888888888888889,9.1,65.8,3.655555555555555,10.0,0.4,-2.6,-2.0,-0.6,0.0330854617954521,0.493,0.495,0.129,-0.2,-0.4,L (-6),L (-6)
