Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,1,2022-10-19,27-087,WAS,IND,1,34.5,8.0,19.0,.421,3.0,10.0,.300,3,5.0,.600,1.0,12.0,13.0,2.0,0.0,2.0,2.0,4.0,22.0,14.6,+7,9.0,5.0,0.5555555555555556,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,13.0,59.0,3.2777777777777777,13.4,67.99999999999999,3.777777777777777,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+7),W (+7)
2,2,2022-10-21,27-089,WAS,CHI,1,33.9,8.0,16.0,.500,4.0,8.0,.500,6,7.0,.857,1.0,5.0,6.0,2.0,0.0,0.0,1.0,1.0,26.0,19.8,+6,8.0,4.0,0.5,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,10.0,67.0,3.7222222222222223,17.4,62.6,3.477777777777778,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+2),W (+2)
3,3,2022-10-23,27-091,WAS,CLE,1,37.43333333333333,4.0,8.0,.500,1.0,2.0,.500,2,4.0,.500,0.0,2.0,2.0,3.0,0.0,2.0,0.0,4.0,11.0,8.7,-5,6.0,3.0,0.5,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,6.0,58.0,3.2222222222222223,7.9,66.60000000000001,3.7000000000000006,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-10),L (-10)
4,4,2022-10-25,27-093,WAS,DET,1,27.4,9.0,17.0,.529,0.0,5.0,.000,7,8.0,.875,0.0,6.0,6.0,1.0,0.0,1.0,3.0,4.0,25.0,14.9,+23,12.0,9.0,0.75,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,5.0,85.0,4.722222222222222,12.100000000000003,86.19999999999999,4.788888888888888,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+21),W (+21)
5,5,2022-10-28,27-096,WAS,IND,1,37.3,7.0,19.0,.368,3.0,7.0,.429,1,1.0,1.000,0.0,9.0,9.0,3.0,1.0,0.0,3.0,4.0,18.0,8.7,+2,12.0,4.0,0.3333333333333333,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,8.0,54.0,3.0,8.300000000000002,70.39999999999999,3.911111111111111,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-10),L (-10)
6,6,2022-10-30,27-098,WAS,BOS,1,28.45,3.0,13.0,.231,1.0,5.0,.200,2,2.0,1.000,1.0,7.0,8.0,1.0,1.0,0.0,0.0,3.0,9.0,4.4,-20,8.0,2.0,0.25,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,4.0,52.0,2.888888888888889,3.599999999999998,57.20000000000002,3.177777777777779,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-18),L (-18)
7,7,2022-10-31,27-099,WAS,PHI,1,32.7,3.0,5.0,.600,1.0,1.0,1.000,2,2.0,1.000,1.0,6.0,7.0,2.0,0.0,1.0,1.0,3.0,9.0,9.1,+6,4.0,2.0,0.5,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,11.0,55.0,3.055555555555556,8.299999999999997,70.69999999999999,3.927777777777777,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-7),L (-7)
8,8,2022-11-02,27-101,WAS,PHI,1,31.3,8.0,12.0,.667,2.0,5.0,.400,0,0.0,,2.0,6.0,8.0,4.0,0.0,0.0,4.0,4.0,18.0,13.2,+2,7.0,6.0,0.8571428571428571,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,14.0,74.0,4.111111111111111,13.2,86.70000000000002,4.816666666666667,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,W (+10),W (+10)
9,9,2022-11-04,27-103,WAS,BRK,1,23.716666666666665,5.0,12.0,.417,3.0,8.0,.375,6,8.0,.750,0.0,5.0,5.0,2.0,0.0,0.0,1.0,2.0,19.0,12.9,-22,4.0,2.0,0.5,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,5.0,31.0,1.7222222222222223,10.5,34.8,1.933333333333333,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-42),L (-42)
10,10,2022-11-06,27-105,WAS,MEM,1,34.36666666666667,5.0,14.0,.357,2.0,9.0,.222,0,0.0,,2.0,9.0,11.0,2.0,0.0,1.0,3.0,3.0,12.0,6.2,-5,5.0,3.0,0.6,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,9.0,69.0,3.8333333333333335,6.199999999999999,68.69999999999999,3.816666666666666,14.3,0.9,-1.7,-0.2,-1.5,0.1462442073499299,0.544,0.421,0.208,0.2,-1.0,L (-6),L (-6)
