Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,,2022-10-19,37-117,WAS,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,72.0,4.0,0.0,81.39999999999998,4.522222222222221,11.4,0.8,-3.2,-3.6,0.5,0.0181053992887164,0.585,0.192,0.336,-0.1,0.4,W (+7),W (+7)
2,,2022-10-21,37-119,WAS,CHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,77.0,4.277777777777778,0.0,79.99999999999999,4.444444444444444,11.4,0.8,-3.2,-3.6,0.5,0.0181053992887164,0.585,0.192,0.336,-0.1,0.4,W (+2),W (+2)
3,,2022-10-23,37-121,WAS,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,64.0,3.555555555555556,0.0,74.50000000000001,4.138888888888889,11.4,0.8,-3.2,-3.6,0.5,0.0181053992887164,0.585,0.192,0.336,-0.1,0.4,L (-10),L (-10)
4,1,2022-10-25,37-123,WAS,DET,0,2.9,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,+1,0.0,0.0,,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,-1.0,91.0,5.055555555555555,-0.7,99.0,5.5,11.4,0.8,-3.2,-3.6,0.5,0.0181053992887164,0.585,0.192,0.336,-0.1,0.4,W (+21),W (+21)
5,,2022-10-28,37-126,WAS,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,62.0,3.4444444444444446,0.0,78.7,4.372222222222223,11.4,0.8,-3.2,-3.6,0.5,0.0181053992887164,0.585,0.192,0.336,-0.1,0.4,L (-10),L (-10)
6,2,2022-10-30,37-128,WAS,BOS,0,5.216666666666667,3.0,4.0,.750,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.7,+4,2.0,2.0,1.0,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,4.0,52.0,2.888888888888889,5.7,55.10000000000001,3.061111111111112,11.4,0.8,-3.2,-3.6,0.5,0.0181053992887164,0.585,0.192,0.336,-0.1,0.4,L (-18),L (-18)
7,3,2022-10-31,37-129,WAS,PHI,0,2.6833333333333336,0.0,0.0,,0.0,0.0,,2,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.6,-3,0.0,0.0,,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,0.0,66.0,3.6666666666666665,0.7999999999999999,78.2,4.344444444444445,11.4,0.8,-3.2,-3.6,0.5,0.0181053992887164,0.585,0.192,0.336,-0.1,0.4,L (-7),L (-7)
8,,2022-11-02,37-131,WAS,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,88.0,4.888888888888889,0.0,99.9,5.550000000000001,11.4,0.8,-3.2,-3.6,0.5,0.0181053992887164,0.585,0.192,0.336,-0.1,0.4,W (+10),W (+10)
9,4,2022-11-04,37-133,WAS,BRK,0,7.716666666666667,1.0,3.0,.333,0.0,0.0,,2,2.0,1.000,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,2.8,-5,3.0,1.0,0.3333333333333333,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,2.0,34.0,1.8888888888888888,2.0000000000000013,43.29999999999999,2.405555555555555,11.4,0.8,-3.2,-3.6,0.5,0.0181053992887164,0.585,0.192,0.336,-0.1,0.4,L (-42),L (-42)
10,5,2022-11-06,37-135,WAS,MEM,0,3.55,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.4,-11,1.0,1.0,1.0,33,31,46,46,30,47,3,2,4,18,37,37,41,38,5,16,4,23,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,11.0,56.0,10.0,0.559322033898305,0.62,0.6216216216216216,0.5897435897435898,0.6,0.618421052631579,0.5,0.3333333333333333,0.5714285714285714,0.6428571428571429,0.5967741935483871,0.0,0.5692307692307692,0.640625,0.6129032258064516,0.5555555555555556,0.2539682539682539,0.3636363636363636,0.4107142857142857,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,2.0,76.0,4.222222222222222,2.4,72.5,4.027777777777778,11.4,0.8,-3.2,-3.6,0.5,0.0181053992887164,0.585,0.192,0.336,-0.1,0.4,L (-6),L (-6)
