Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,,2022-10-19,23-230,WAS,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,72.0,4.0,0.0,81.39999999999998,4.522222222222221,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,W (+7),W (+7)
2,,2022-10-21,23-232,WAS,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,77.0,4.277777777777778,0.0,79.99999999999999,4.444444444444444,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,W (+2),W (+2)
3,,2022-10-23,23-234,WAS,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,64.0,3.555555555555556,0.0,74.50000000000001,4.138888888888889,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,L (-10),L (-10)
4,,2022-10-25,23-236,WAS,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,90.0,5.0,0.0,98.29999999999998,5.46111111111111,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,W (+21),W (+21)
5,,2022-10-28,23-239,WAS,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,62.0,3.4444444444444446,0.0,78.7,4.372222222222223,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,L (-10),L (-10)
6,,2022-10-30,23-241,WAS,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,56.0,3.111111111111111,0.0,60.80000000000001,3.377777777777778,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,L (-18),L (-18)
7,,2022-10-31,23-242,WAS,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,66.0,3.6666666666666665,0.0,79.0,4.388888888888889,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,L (-7),L (-7)
8,,2022-11-02,23-244,WAS,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,,88.0,4.888888888888889,0.0,99.9,5.550000000000001,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,W (+10),W (+10)
9,1,2022-11-04,23-246,WAS,BRK,0,18.116666666666667,0.0,6.0,.000,0.0,5.0,.000,2,2.0,1.000,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,-2.5,-9,1.0,0.0,0.0,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,-5.0,41.0,2.2777777777777777,-3.3,48.59999999999999,2.7,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,L (-42),L (-42)
10,2,2022-11-06,23-248,WAS,MEM,1,23.78333333333333,3.0,6.0,.500,0.0,3.0,.000,0,1.0,.000,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,5.6,-15,3.0,3.0,1.0,51,42,70,46,68,4,3,6,24,60,57,56,54,6,22,46,10,32,59.0,50.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.864406779661017,0.84,0.8974358974358975,0.92,0.8947368421052632,0.6666666666666666,0.5,0.8571428571428571,0.8571428571428571,0.967741935483871,0.0,0.8769230769230769,0.875,0.8709677419354839,0.6666666666666666,0.3492063492063492,0.9387755102040816,0.9090909090909092,0.5714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,5.0,73.0,4.055555555555555,5.6,69.3,3.85,11.5,3.8,-1.5,-0.1,-1.4,0.0883715917663541,0.657,0.656,0.15,0.2,2.9,L (-6),L (-6)
