Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,24-018,WAS,@,IND,W (+7),0,15:59,6.0,8.0,.750,0.0,0.0,,0,0.0,,4.0,3.0,7.0,0.0,1.0,1.0,2.0,0.0,12.0,12.2,-2,8.0,6.0,0.75,56,49,70,47,73,6,5,7,26,59,63,62,59,9,29,46,10,39,59.0,50.0,74.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9491525423728814,0.98,0.945945945945946,0.94,0.9605263157894736,1.0,0.8333333333333334,1.0,0.9285714285714286,0.9516129032258064,0.0,0.9692307692307692,0.96875,0.9516129032258064,1.0,0.4603174603174603,0.9387755102040816,0.9090909090909092,0.6964285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,11.0,61.0,3.388888888888889,12.199999999999998,69.19999999999999,3.8444444444444437
1,2,2,2022-10-21,24-020,WAS,,CHI,W (+2),0,17:45,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,0.0,1.0,1.0,3.0,4.0,2.0,-0.6,-15,1.0,1.0,1.0,56,49,70,47,73,6,5,7,26,59,63,62,59,9,29,46,10,39,59.0,50.0,74.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9491525423728814,0.98,0.945945945945946,0.94,0.9605263157894736,1.0,0.8333333333333334,1.0,0.9285714285714286,0.9516129032258064,0.0,0.9692307692307692,0.96875,0.9516129032258064,1.0,0.4603174603174603,0.9387755102040816,0.9090909090909092,0.6964285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,2.0,75.0,4.166666666666667,-0.6000000000000001,80.59999999999998,4.477777777777777
2,3,3,2022-10-23,24-022,WAS,@,CLE,L (-10),0,14:48,1.0,2.0,.500,0.0,0.0,,0,0.0,,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9,-11,2.0,1.0,0.5,56,49,70,47,73,6,5,7,26,59,63,62,59,9,29,46,10,39,59.0,50.0,74.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9491525423728814,0.98,0.945945945945946,0.94,0.9605263157894736,1.0,0.8333333333333334,1.0,0.9285714285714286,0.9516129032258064,0.0,0.9692307692307692,0.96875,0.9516129032258064,1.0,0.4603174603174603,0.9387755102040816,0.9090909090909092,0.6964285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,2.0,62.0,3.4444444444444446,0.8999999999999997,73.60000000000001,4.0888888888888895
3,4,4,2022-10-25,24-024,WAS,,DET,W (+21),0,19:48,4.0,6.0,.667,0.0,0.0,,1,2.0,.500,1.0,4.0,5.0,1.0,0.0,2.0,0.0,2.0,9.0,9.2,+19,6.0,4.0,0.6666666666666666,56,49,70,47,73,6,5,7,26,59,63,62,59,9,29,46,10,39,59.0,50.0,74.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9491525423728814,0.98,0.945945945945946,0.94,0.9605263157894736,1.0,0.8333333333333334,1.0,0.9285714285714286,0.9516129032258064,0.0,0.9692307692307692,0.96875,0.9516129032258064,1.0,0.4603174603174603,0.9387755102040816,0.9090909090909092,0.6964285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,9.0,81.0,4.5,8.799999999999997,89.49999999999997,4.9722222222222205
4,5,5,2022-10-28,24-027,WAS,,IND,L (-10),0,14:56,3.0,4.0,.750,0.0,0.0,,4,5.0,.800,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,10.0,8.2,+1,4.0,3.0,0.75,56,49,70,47,73,6,5,7,26,59,63,62,59,9,29,46,10,39,59.0,50.0,74.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9491525423728814,0.98,0.945945945945946,0.94,0.9605263157894736,1.0,0.8333333333333334,1.0,0.9285714285714286,0.9516129032258064,0.0,0.9692307692307692,0.96875,0.9516129032258064,1.0,0.4603174603174603,0.9387755102040816,0.9090909090909092,0.6964285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,4.0,58.0,3.2222222222222223,6.599999999999999,72.10000000000001,4.005555555555556
5,6,6,2022-10-30,24-029,WAS,@,BOS,L (-18),0,10:03,0.0,1.0,.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,-1.7,-16,1.0,0.0,0.0,56,49,70,47,73,6,5,7,26,59,63,62,59,9,29,46,10,39,59.0,50.0,74.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9491525423728814,0.98,0.945945945945946,0.94,0.9605263157894736,1.0,0.8333333333333334,1.0,0.9285714285714286,0.9516129032258064,0.0,0.9692307692307692,0.96875,0.9516129032258064,1.0,0.4603174603174603,0.9387755102040816,0.9090909090909092,0.6964285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,-1.0,57.0,3.1666666666666665,-1.7000000000000002,62.5,3.4722222222222223
6,7,7,2022-10-31,24-030,WAS,,PHI,L (-7),0,10:39,0.0,2.0,.000,0.0,0.0,,1,2.0,.500,0.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,-2.3,-12,2.0,0.0,0.0,56,49,70,47,73,6,5,7,26,59,63,62,59,9,29,46,10,39,59.0,50.0,74.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9491525423728814,0.98,0.945945945945946,0.94,0.9605263157894736,1.0,0.8333333333333334,1.0,0.9285714285714286,0.9516129032258064,0.0,0.9692307692307692,0.96875,0.9516129032258064,1.0,0.4603174603174603,0.9387755102040816,0.9090909090909092,0.6964285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,-2.0,68.0,3.7777777777777777,-2.7,81.69999999999999,4.538888888888888
7,8,8,2022-11-02,24-032,WAS,@,PHI,W (+10),0,11:15,4.0,5.0,.800,0.0,0.0,,2,5.0,.400,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,10.0,10.7,+2,5.0,4.0,0.8,56,49,70,47,73,6,5,7,26,59,63,62,59,9,29,46,10,39,59.0,50.0,74.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9491525423728814,0.98,0.945945945945946,0.94,0.9605263157894736,1.0,0.8333333333333334,1.0,0.9285714285714286,0.9516129032258064,0.0,0.9692307692307692,0.96875,0.9516129032258064,1.0,0.4603174603174603,0.9387755102040816,0.9090909090909092,0.6964285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,5.0,83.0,4.611111111111111,9.9,90.00000000000001,5.000000000000001
8,9,9,2022-11-04,24-034,WAS,,BRK,L (-42),0,10:20,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,-13,2.0,2.0,1.0,56,49,70,47,73,6,5,7,26,59,63,62,59,9,29,46,10,39,59.0,50.0,74.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9491525423728814,0.98,0.945945945945946,0.94,0.9605263157894736,1.0,0.8333333333333334,1.0,0.9285714285714286,0.9516129032258064,0.0,0.9692307692307692,0.96875,0.9516129032258064,1.0,0.4603174603174603,0.9387755102040816,0.9090909090909092,0.6964285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,3.0,33.0,1.8333333333333333,3.0,42.29999999999999,2.3499999999999996
9,10,10,2022-11-06,24-036,WAS,@,MEM,L (-6),0,13:34,4.0,6.0,.667,0.0,0.0,,1,1.0,1.000,2.0,3.0,5.0,2.0,0.0,0.0,0.0,3.0,9.0,8.9,+3,6.0,4.0,0.6666666666666666,56,49,70,47,73,6,5,7,26,59,63,62,59,9,29,46,10,39,59.0,50.0,74.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.9491525423728814,0.98,0.945945945945946,0.94,0.9605263157894736,1.0,0.8333333333333334,1.0,0.9285714285714286,0.9516129032258064,0.0,0.9692307692307692,0.96875,0.9516129032258064,1.0,0.4603174603174603,0.9387755102040816,0.9090909090909092,0.6964285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,18,9.0,69.0,3.8333333333333335,8.5,66.39999999999999,3.688888888888888
