Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,Shared Games with A.J. Green,Shared Games with A.J. Lawson,Shared Games with Aaron Gordon,Shared Games with Aaron Holiday,Shared Games with Aaron Nesmith,Shared Games with Aaron Wiggins,Shared Games with Admiral Schofield,Shared Games with AJ Griffin,Shared Games with Al Horford,Shared Games with Alec Burks,Shared Games with Aleksej Pokusevski,Shared Games with Alex Len,Shared Games with Alperen Şengün,Shared Games with Amir Coffey,Shared Games with Andre Drummond,Shared Games with Andre Iguodala,Shared Games with Andrew Nembhard,Shared Games with Andrew Wiggins,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Kyle Kuzma,Marcus Smart,co_inf with A.J. Green,co_inf with A.J. Lawson,co_inf with Aaron Gordon,co_inf with Aaron Holiday,co_inf with Aaron Nesmith,co_inf with Aaron Wiggins,co_inf with Admiral Schofield,co_inf with AJ Griffin,co_inf with Al Horford,co_inf with Alec Burks,co_inf with Aleksej Pokusevski,co_inf with Alex Caruso,co_inf with Alex Len,co_inf with Alondes Williams,co_inf with Alperen Şengün,co_inf with Amir Coffey,co_inf with Andre Drummond,co_inf with Andre Iguodala,co_inf with Andrew Nembhard,co_inf with Andrew Wiggins,co_inf with Anfernee Simons,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,27-087,WAS,IND,1.0,34.5,8.0,19.0,0.421,3.0,10.0,0.3,3.0,5.0,0.6,1.0,12.0,13.0,2.0,0.0,2.0,2.0,4.0,22.0,14.6,7.0,9.0,5.0,0.5555555555555556,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,64.0,61.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.0,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,36,13.0,126.0,3.5,13.4,136.0,3.7777777777777777,4.3,-0.1,-9.1,-7.4,-1.7,0.0007552055237889,0.509,0.333,0.333,-0.1,-0.1,W (+7),W (+7)
2.0,2.0,2022-10-21,27-089,WAS,CHI,1.0,33.9,8.0,16.0,0.5,4.0,8.0,0.5,6.0,7.0,0.857,1.0,5.0,6.0,2.0,0.0,0.0,1.0,1.0,26.0,19.8,6.0,8.0,4.0,0.5,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,64.0,61.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.0,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,36,10.0,136.0,3.7777777777777777,17.4,125.2,3.477777777777778,4.3,-0.1,-9.1,-7.4,-1.7,0.0007552055237889,0.509,0.333,0.333,-0.1,-0.1,W (+2),W (+2)
3.0,3.0,2022-10-23,27-091,WAS,CLE,1.0,37.43333333333333,4.0,8.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.0,2.0,2.0,3.0,0.0,2.0,0.0,4.0,11.0,8.7,-5.0,6.0,3.0,0.5,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,64.0,61.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.0,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,36,6.0,119.0,3.305555555555556,7.9,133.20000000000002,3.7000000000000006,4.3,-0.1,-9.1,-7.4,-1.7,0.0007552055237889,0.509,0.333,0.333,-0.1,-0.1,L (-10),L (-10)
4.0,4.0,2022-10-25,27-093,WAS,DET,1.0,27.4,9.0,17.0,0.529,0.0,5.0,0.0,7.0,8.0,0.875,0.0,6.0,6.0,1.0,0.0,1.0,3.0,4.0,25.0,14.9,23.0,12.0,9.0,0.75,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,64.0,61.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.0,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,36,5.0,185.0,5.138888888888889,12.100000000000003,172.4,4.788888888888889,4.3,-0.1,-9.1,-7.4,-1.7,0.0007552055237889,0.509,0.333,0.333,-0.1,-0.1,W (+21),W (+21)
5.0,5.0,2022-10-28,27-096,WAS,IND,1.0,37.3,7.0,19.0,0.368,3.0,7.0,0.429,1.0,1.0,1.0,0.0,9.0,9.0,3.0,1.0,0.0,3.0,4.0,18.0,8.7,2.0,12.0,4.0,0.3333333333333333,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,64.0,61.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.0,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,36,8.0,112.0,3.111111111111111,8.300000000000002,140.79999999999998,3.911111111111111,4.3,-0.1,-9.1,-7.4,-1.7,0.0007552055237889,0.509,0.333,0.333,-0.1,-0.1,L (-10),L (-10)
6.0,6.0,2022-10-30,27-098,WAS,BOS,1.0,28.45,3.0,13.0,0.231,1.0,5.0,0.2,2.0,2.0,1.0,1.0,7.0,8.0,1.0,1.0,0.0,0.0,3.0,9.0,4.4,-20.0,8.0,2.0,0.25,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,64.0,61.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.0,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,36,4.0,114.0,3.1666666666666665,3.599999999999998,114.40000000000003,3.177777777777779,4.3,-0.1,-9.1,-7.4,-1.7,0.0007552055237889,0.509,0.333,0.333,-0.1,-0.1,L (-18),L (-18)
7.0,7.0,2022-10-31,27-099,WAS,PHI,1.0,32.7,3.0,5.0,0.6,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,7.0,2.0,0.0,1.0,1.0,3.0,9.0,9.1,6.0,4.0,2.0,0.5,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,64.0,61.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.0,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,36,11.0,119.0,3.305555555555556,8.299999999999997,141.40000000000003,3.927777777777779,4.3,-0.1,-9.1,-7.4,-1.7,0.0007552055237889,0.509,0.333,0.333,-0.1,-0.1,L (-7),L (-7)
8.0,8.0,2022-11-02,27-101,WAS,PHI,1.0,31.3,8.0,12.0,0.667,2.0,5.0,0.4,0.0,0.0,,2.0,6.0,8.0,4.0,0.0,0.0,4.0,4.0,18.0,13.2,2.0,7.0,6.0,0.8571428571428571,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,64.0,61.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.0,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,36,14.0,151.0,4.194444444444445,13.2,173.40000000000003,4.816666666666667,4.3,-0.1,-9.1,-7.4,-1.7,0.0007552055237889,0.509,0.333,0.333,-0.1,-0.1,W (+10),W (+10)
9.0,9.0,2022-11-04,27-103,WAS,BRK,1.0,23.716666666666665,5.0,12.0,0.417,3.0,8.0,0.375,6.0,8.0,0.75,0.0,5.0,5.0,2.0,0.0,0.0,1.0,2.0,19.0,12.9,-22.0,4.0,2.0,0.5,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,64.0,61.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.0,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,36,5.0,78.0,2.1666666666666665,10.5,69.59999999999998,1.933333333333333,4.3,-0.1,-9.1,-7.4,-1.7,0.0007552055237889,0.509,0.333,0.333,-0.1,-0.1,L (-42),L (-42)
10.0,10.0,2022-11-06,27-105,WAS,MEM,1.0,34.36666666666667,5.0,14.0,0.357,2.0,9.0,0.222,0.0,0.0,,2.0,9.0,11.0,2.0,0.0,1.0,3.0,3.0,12.0,6.2,-5.0,5.0,3.0,0.6,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,41,43,56,62,36,62,6,4,6,14,45,53,52,9,30,41,10,37,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,64.0,61.0,0.6949152542372882,0.86,0.7567567567567568,0.7948717948717948,0.72,0.8157894736842105,1.0,0.6666666666666666,0.8571428571428571,0.5,0.7258064516129032,0.0,0.8153846153846154,0.0,0.8387096774193549,1.0,0.4761904761904761,0.8367346938775511,0.9090909090909092,0.6607142857142857,0.0,36,9.0,156.0,4.333333333333333,6.199999999999999,137.39999999999998,3.816666666666666,4.3,-0.1,-9.1,-7.4,-1.7,0.0007552055237889,0.509,0.333,0.333,-0.1,-0.1,L (-6),L (-6)
