Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,22-122,ATL,HOU,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,28,17,24,21,25,2,21,26,8,22,14,29,23,16,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,0.4285714285714285,0.3888888888888889,0.3148148148148148,0.3692307692307692,0.3134328358208955,0.3378378378378378,,1.0,0.5833333333333334,0.3714285714285714,0.8,0.3098591549295774,0.3043478260869565,0.3625,0.3150684931506849,0.6956521739130435,0.9375,9,3,4,39.0,54.0,77.0,0.1168831168831168,0.0769230769230769,0.074074074074074,19,,103.0,5.421052631578948,0.0,115.2,6.063157894736842,7.7,0.1,-3.6,-4.2,0.6,0.003707136,0.475,0.568,0.054,-0.1,0.0,W (+10),W (+10)
2.0,,2022-10-21,22-124,ATL,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,28,17,24,21,25,2,21,26,8,22,14,29,23,16,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,0.4285714285714285,0.3888888888888889,0.3148148148148148,0.3692307692307692,0.3134328358208955,0.3378378378378378,,1.0,0.5833333333333334,0.3714285714285714,0.8,0.3098591549295774,0.3043478260869565,0.3625,0.3150684931506849,0.6956521739130435,0.9375,9,3,4,39.0,54.0,77.0,0.1168831168831168,0.0769230769230769,0.074074074074074,19,,88.0,4.631578947368421,0.0,96.10000000000002,5.0578947368421066,7.7,0.1,-3.6,-4.2,0.6,0.003707136,0.475,0.568,0.054,-0.1,0.0,W (+10),W (+10)
3.0,1.0,2022-10-23,22-126,ATL,CHO,0,1.6666666666666663,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,+1,0.0,0.0,,27,28,17,24,21,25,2,21,26,8,22,14,29,23,16,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,0.4285714285714285,0.3888888888888889,0.3148148148148148,0.3692307692307692,0.3134328358208955,0.3378378378378378,,1.0,0.5833333333333334,0.3714285714285714,0.8,0.3098591549295774,0.3043478260869565,0.3625,0.3150684931506849,0.6956521739130435,0.9375,9,3,4,39.0,54.0,77.0,0.1168831168831168,0.0769230769230769,0.074074074074074,19,1.0,69.0,3.631578947368421,0.7,90.00000000000001,4.736842105263158,7.7,0.1,-3.6,-4.2,0.6,0.003707136,0.475,0.568,0.054,-0.1,0.0,L (-17),L (-17)
4.0,,2022-10-26,22-129,ATL,DET,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,28,17,24,21,25,2,21,26,8,22,14,29,23,16,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,0.4285714285714285,0.3888888888888889,0.3148148148148148,0.3692307692307692,0.3134328358208955,0.3378378378378378,,1.0,0.5833333333333334,0.3714285714285714,0.8,0.3098591549295774,0.3043478260869565,0.3625,0.3150684931506849,0.6956521739130435,0.9375,9,3,4,39.0,54.0,77.0,0.1168831168831168,0.0769230769230769,0.074074074074074,19,,76.0,4.0,0.0,92.3,4.8578947368421055,7.7,0.1,-3.6,-4.2,0.6,0.003707136,0.475,0.568,0.054,-0.1,0.0,W (+5),W (+5)
5.0,2.0,2022-10-28,22-131,ATL,DET,0,1.6666666666666663,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,0,0.0,0.0,,27,28,17,24,21,25,2,21,26,8,22,14,29,23,16,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,0.4285714285714285,0.3888888888888889,0.3148148148148148,0.3692307692307692,0.3134328358208955,0.3378378378378378,,1.0,0.5833333333333334,0.3714285714285714,0.8,0.3098591549295774,0.3043478260869565,0.3625,0.3150684931506849,0.6956521739130435,0.9375,9,3,4,39.0,54.0,77.0,0.1168831168831168,0.0769230769230769,0.074074074074074,19,0.0,110.0,5.789473684210527,-0.4,133.79999999999998,7.042105263157894,7.7,0.1,-3.6,-4.2,0.6,0.003707136,0.475,0.568,0.054,-0.1,0.0,W (+24),W (+24)
6.0,,2022-10-29,22-132,ATL,MIL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,28,17,24,21,25,2,21,26,8,22,14,29,23,16,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,0.4285714285714285,0.3888888888888889,0.3148148148148148,0.3692307692307692,0.3134328358208955,0.3378378378378378,,1.0,0.5833333333333334,0.3714285714285714,0.8,0.3098591549295774,0.3043478260869565,0.3625,0.3150684931506849,0.6956521739130435,0.9375,9,3,4,39.0,54.0,77.0,0.1168831168831168,0.0769230769230769,0.074074074074074,19,,56.0,2.9473684210526314,0.0,72.30000000000001,3.805263157894737,7.7,0.1,-3.6,-4.2,0.6,0.003707136,0.475,0.568,0.054,-0.1,0.0,L (-8),L (-8)
7.0,3.0,2022-10-31,22-134,ATL,TOR,0,6.333333333333333,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.6,-6,1.0,1.0,1.0,27,28,17,24,21,25,2,21,26,8,22,14,29,23,16,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,0.4285714285714285,0.3888888888888889,0.3148148148148148,0.3692307692307692,0.3134328358208955,0.3378378378378378,,1.0,0.5833333333333334,0.3714285714285714,0.8,0.3098591549295774,0.3043478260869565,0.3625,0.3150684931506849,0.6956521739130435,0.9375,9,3,4,39.0,54.0,77.0,0.1168831168831168,0.0769230769230769,0.074074074074074,19,3.0,54.0,2.8421052631578947,3.6,70.0,3.684210526315789,7.7,0.1,-3.6,-4.2,0.6,0.003707136,0.475,0.568,0.054,-0.1,0.0,L (-30),L (-30)
8.0,4.0,2022-11-02,22-136,ATL,NYK,0,1.1166666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,27,28,17,24,21,25,2,21,26,8,22,14,29,23,16,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,0.4285714285714285,0.3888888888888889,0.3148148148148148,0.3692307692307692,0.3134328358208955,0.3378378378378378,,1.0,0.5833333333333334,0.3714285714285714,0.8,0.3098591549295774,0.3043478260869565,0.3625,0.3150684931506849,0.6956521739130435,0.9375,9,3,4,39.0,54.0,77.0,0.1168831168831168,0.0769230769230769,0.074074074074074,19,0.0,82.0,4.315789473684211,0.0,96.5,5.078947368421052,7.7,0.1,-3.6,-4.2,0.6,0.003707136,0.475,0.568,0.054,-0.1,0.0,W (+13),W (+13)
9.0,,2022-11-05,22-139,ATL,NOP,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,28,17,24,21,25,2,21,26,8,22,14,29,23,16,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,0.4285714285714285,0.3888888888888889,0.3148148148148148,0.3692307692307692,0.3134328358208955,0.3378378378378378,,1.0,0.5833333333333334,0.3714285714285714,0.8,0.3098591549295774,0.3043478260869565,0.3625,0.3150684931506849,0.6956521739130435,0.9375,9,3,4,39.0,54.0,77.0,0.1168831168831168,0.0769230769230769,0.074074074074074,19,,84.0,4.421052631578948,0.0,105.4,5.547368421052632,7.7,0.1,-3.6,-4.2,0.6,0.003707136,0.475,0.568,0.054,-0.1,0.0,W (+3),W (+3)
10.0,5.0,2022-11-07,22-141,ATL,MIL,0,2.533333333333333,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.3,-2,0.0,0.0,,27,28,17,24,21,25,2,21,26,8,22,14,29,23,16,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,0.4285714285714285,0.3888888888888889,0.3148148148148148,0.3692307692307692,0.3134328358208955,0.3378378378378378,,1.0,0.5833333333333334,0.3714285714285714,0.8,0.3098591549295774,0.3043478260869565,0.3625,0.3150684931506849,0.6956521739130435,0.9375,9,3,4,39.0,54.0,77.0,0.1168831168831168,0.0769230769230769,0.074074074074074,19,2.0,81.0,4.2631578947368425,2.3,98.1,5.163157894736842,7.7,0.1,-3.6,-4.2,0.6,0.003707136,0.475,0.568,0.054,-0.1,0.0,W (+19),W (+19)
