Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,1,2022/10/19,24-030,ATL,HOU,1,37.9,7,22,0.318,1,9,0.111,8,8,1,0,3,3,13,1,1,3,1,23,18.7,16,13,6,0.461538462,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,8,95,5,15.5,99.7,5.247368421,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+10),W (+10)
2,2,2022/10/21,24-032,ATL,ORL,1,37.36666667,7,24,0.292,4,11,0.364,7,7,1,2,2,4,13,0,0,6,3,25,14.9,5,13,3,0.230769231,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,5,83,4.368421053,12.1,84,4.421052632,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+10),W (+10)
3,3,2022/10/23,24-034,ATL,CHO,1,33.28333333,9,25,0.36,2,8,0.25,8,9,0.889,2,3,5,9,0,0,1,4,28,19.7,-6,17,7,0.411764706,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,7,63,3.315789474,16.5,74.2,3.905263158,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-17),L (-17)
4,4,2022/10/26,24-037,ATL,DET,1,37.73333333,9,21,0.429,1,7,0.143,16,17,0.941,0,3,3,6,1,0,1,2,35,27.8,10,14,8,0.571428571,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,6,70,3.684210526,21.4,70.9,3.731578947,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+5),W (+5)
5,5,2022/10/28,24-039,ATL,DET,1,30.11666667,12,20,0.6,4,6,0.667,8,10,0.8,1,1,2,12,0,0,1,1,36,34,12,14,8,0.571428571,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,19,91,4.789473684,30.8,102.6,5.4,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+24),W (+24)
6,6,2022/10/29,24-040,ATL,MIL,1,36.43333333,15,32,0.469,5,10,0.5,7,7,1,1,5,6,5,0,0,2,1,42,28.9,-13,22,10,0.454545455,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,12,44,2.315789474,26.1,46.2,2.431578947,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-8),L (-8)
7,7,2022/10/31,24-042,ATL,TOR,1,32.45,3,13,0.231,1,5,0.2,7,8,0.875,0,0,0,10,1,0,10,0,14,3.7,-29,8,2,0.25,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,-6,63,3.315789474,0.9,72.7,3.826315789,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,L (-30),L (-30)
8,8,2022/11/2,24-044,ATL,NYK,1,27.86666667,7,22,0.318,2,7,0.286,1,2,0.5,1,5,6,7,1,0,1,1,17,10.7,17,15,5,0.333333333,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,6,76,4,10.3,86.2,4.536842105,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+13),W (+13)
9,9,2022/11/5,24-047,ATL,NOP,1,42.35,9,26,0.346,2,9,0.222,14,15,0.933,1,0,1,10,2,1,5,3,34,23.2,-6,17,7,0.411764706,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,2,82,4.315789474,17.6,87.8,4.621052632,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+3),W (+3)
10,,2022/11/7,24-049,ATL,MIL,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,54,63,48,60,61,67,2,29,62,7,65,35,71,16,12,23,63,72,54,65,67,74,,2,36,70,10,71,46,80,23,16,29,0.857142857,0.875,0.888888889,0.923076923,0.910447761,0.905405405,,1,0.805555556,0.885714286,0.7,0.915492958,0.760869565,0.8875,0.695652174,0.75,0.793103448,23,7,8,39,54,77,0.298701299,0.179487179,0.148148148,19,,83,4.368421053,0,100.4,5.284210526,22,6.7,3.3,5.3,-2,0.197096077,0.573,0.331,0.46,3.4,5.3,W (+19),W (+19)
