Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Stanley Umude,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Mfiondu Kabengele,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Shared Games with James Wiseman,Shared Games with Aaron Holiday,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Bruno Fernando,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Garrison Mathews,Jalen Johnson,Jarrett Culver,John Collins,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,co_inf with Aaron Holiday,co_inf with Bruno Fernando,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,23-193,DET,ORL,1.0,31.383333333333333,2.0,5.0,0.4,0.0,2.0,0.0,4.0,4.0,1.0,3.0,3.0,6.0,3.0,1.0,0.0,1.0,2.0,8.0,9.6,6.0,3.0,2.0,0.6666666666666666,39,49,2,1,12,34,43,30,45,49,44,14,38,48,21,13,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,1.0,0.7647058823529411,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5483870967741935,0.7678571428571429,0.5769230769230769,0.9,0.6621621621621622,0.6567164179104478,1.0,0.6031746031746031,0.631578947368421,0.5,0.7647058823529411,0.59375,0.0,19,22,24,20,22,19,17,22,26,3,25,23,5,3,9,25,14,8,9,63.0,72.0,54.0,39.0,65.0,67.0,74.0,,2.0,54.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.2638888888888889,0.4074074074074074,0.3692307692307692,0.2985074626865671,0.2972972972972973,0.2428571428571428,0.0,0.3098591549295774,0.3125,0.3150684931506849,0.217391304347826,0.1875,0.3103448275862069,0.2222222222222222,0.2051282051282051,,0.0,0.1666666666666666,36,8.0,95.0,2.638888888888889,8.0,107.2,2.977777777777778,14.6,3.9,-0.3,0.9,-1.2,0.0852404643449419,0.564,0.5,0.285,0.9,2.6,W (+4),W (+4)
2.0,2.0,2022-10-21,23-195,DET,NYK,1.0,32.983333333333334,9.0,15.0,0.6,4.0,8.0,0.5,4.0,4.0,1.0,1.0,6.0,7.0,0.0,1.0,1.0,2.0,1.0,26.0,20.9,-3.0,7.0,5.0,0.7142857142857143,39,49,2,1,12,34,43,30,45,49,44,14,38,48,21,13,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,1.0,0.7647058823529411,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5483870967741935,0.7678571428571429,0.5769230769230769,0.9,0.6621621621621622,0.6567164179104478,1.0,0.6031746031746031,0.631578947368421,0.5,0.7647058823529411,0.59375,0.0,19,22,24,20,22,19,17,22,26,3,25,23,5,3,9,25,14,8,9,63.0,72.0,54.0,39.0,65.0,67.0,74.0,,2.0,54.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.2638888888888889,0.4074074074074074,0.3692307692307692,0.2985074626865671,0.2972972972972973,0.2428571428571428,0.0,0.3098591549295774,0.3125,0.3150684931506849,0.217391304347826,0.1875,0.3103448275862069,0.2222222222222222,0.2051282051282051,,0.0,0.1666666666666666,36,14.0,74.0,2.055555555555556,19.300000000000004,76.80000000000001,2.1333333333333337,14.6,3.9,-0.3,0.9,-1.2,0.0852404643449419,0.564,0.5,0.285,0.9,2.6,L (-24),L (-24)
3.0,3.0,2022-10-22,23-196,DET,IND,1.0,36.38333333333333,5.0,16.0,0.313,2.0,8.0,0.25,8.0,8.0,1.0,4.0,7.0,11.0,3.0,1.0,0.0,1.0,1.0,20.0,17.4,5.0,8.0,3.0,0.375,39,49,2,1,12,34,43,30,45,49,44,14,38,48,21,13,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,1.0,0.7647058823529411,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5483870967741935,0.7678571428571429,0.5769230769230769,0.9,0.6621621621621622,0.6567164179104478,1.0,0.6031746031746031,0.631578947368421,0.5,0.7647058823529411,0.59375,0.0,19,22,24,20,22,19,17,22,26,3,25,23,5,3,9,25,14,8,9,63.0,72.0,54.0,39.0,65.0,67.0,74.0,,2.0,54.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.2638888888888889,0.4074074074074074,0.3692307692307692,0.2985074626865671,0.2972972972972973,0.2428571428571428,0.0,0.3098591549295774,0.3125,0.3150684931506849,0.217391304347826,0.1875,0.3103448275862069,0.2222222222222222,0.2051282051282051,,0.0,0.1666666666666666,36,10.0,60.0,1.6666666666666667,14.2,76.50000000000001,2.1250000000000004,14.6,3.9,-0.3,0.9,-1.2,0.0852404643449419,0.564,0.5,0.285,0.9,2.6,L (-9),L (-9)
4.0,4.0,2022-10-25,23-199,DET,WAS,1.0,27.05,2.0,5.0,0.4,1.0,3.0,0.333,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,6.0,4.3,-24.0,2.0,1.0,0.5,39,49,2,1,12,34,43,30,45,49,44,14,38,48,21,13,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,1.0,0.7647058823529411,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5483870967741935,0.7678571428571429,0.5769230769230769,0.9,0.6621621621621622,0.6567164179104478,1.0,0.6031746031746031,0.631578947368421,0.5,0.7647058823529411,0.59375,0.0,19,22,24,20,22,19,17,22,26,3,25,23,5,3,9,25,14,8,9,63.0,72.0,54.0,39.0,65.0,67.0,74.0,,2.0,54.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.2638888888888889,0.4074074074074074,0.3692307692307692,0.2985074626865671,0.2972972972972973,0.2428571428571428,0.0,0.3098591549295774,0.3125,0.3150684931506849,0.217391304347826,0.1875,0.3103448275862069,0.2222222222222222,0.2051282051282051,,0.0,0.1666666666666666,36,3.0,73.0,2.0277777777777777,3.8999999999999977,88.4,2.455555555555556,14.6,3.9,-0.3,0.9,-1.2,0.0852404643449419,0.564,0.5,0.285,0.9,2.6,L (-21),L (-21)
5.0,5.0,2022-10-26,23-200,DET,ATL,1.0,29.916666666666668,6.0,11.0,0.545,2.0,4.0,0.5,3.0,6.0,0.5,1.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,17.0,10.1,-11.0,7.0,4.0,0.5714285714285714,39,49,2,1,12,34,43,30,45,49,44,14,38,48,21,13,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,1.0,0.7647058823529411,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5483870967741935,0.7678571428571429,0.5769230769230769,0.9,0.6621621621621622,0.6567164179104478,1.0,0.6031746031746031,0.631578947368421,0.5,0.7647058823529411,0.59375,0.0,19,22,24,20,22,19,17,22,26,3,25,23,5,3,9,25,14,8,9,63.0,72.0,54.0,39.0,65.0,67.0,74.0,,2.0,54.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.2638888888888889,0.4074074074074074,0.3692307692307692,0.2985074626865671,0.2972972972972973,0.2428571428571428,0.0,0.3098591549295774,0.3125,0.3150684931506849,0.217391304347826,0.1875,0.3103448275862069,0.2222222222222222,0.2051282051282051,,0.0,0.1666666666666666,36,2.0,108.0,3.0,8.899999999999997,124.49999999999996,3.458333333333332,14.6,3.9,-0.3,0.9,-1.2,0.0852404643449419,0.564,0.5,0.285,0.9,2.6,L (-5),L (-5)
6.0,6.0,2022-10-28,23-202,DET,ATL,1.0,29.883333333333333,2.0,8.0,0.25,0.0,4.0,0.0,3.0,4.0,0.75,0.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,7.0,1.2,-21.0,4.0,2.0,0.5,39,49,2,1,12,34,43,30,45,49,44,14,38,48,21,13,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,1.0,0.7647058823529411,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5483870967741935,0.7678571428571429,0.5769230769230769,0.9,0.6621621621621622,0.6567164179104478,1.0,0.6031746031746031,0.631578947368421,0.5,0.7647058823529411,0.59375,0.0,19,22,24,20,22,19,17,22,26,3,25,23,5,3,9,25,14,8,9,63.0,72.0,54.0,39.0,65.0,67.0,74.0,,2.0,54.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.2638888888888889,0.4074074074074074,0.3692307692307692,0.2985074626865671,0.2972972972972973,0.2428571428571428,0.0,0.3098591549295774,0.3125,0.3150684931506849,0.217391304347826,0.1875,0.3103448275862069,0.2222222222222222,0.2051282051282051,,0.0,0.1666666666666666,36,-2.0,58.0,1.6111111111111112,2.220446049250313e-16,72.30000000000001,2.0083333333333337,14.6,3.9,-0.3,0.9,-1.2,0.0852404643449419,0.564,0.5,0.285,0.9,2.6,L (-24),L (-24)
7.0,7.0,2022-10-30,23-204,DET,GSW,1.0,34.53333333333333,9.0,17.0,0.529,4.0,9.0,0.444,6.0,6.0,1.0,0.0,6.0,6.0,3.0,0.0,0.0,3.0,2.0,28.0,19.8,20.0,8.0,5.0,0.625,39,49,2,1,12,34,43,30,45,49,44,14,38,48,21,13,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,1.0,0.7647058823529411,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5483870967741935,0.7678571428571429,0.5769230769230769,0.9,0.6621621621621622,0.6567164179104478,1.0,0.6031746031746031,0.631578947368421,0.5,0.7647058823529411,0.59375,0.0,19,22,24,20,22,19,17,22,26,3,25,23,5,3,9,25,14,8,9,63.0,72.0,54.0,39.0,65.0,67.0,74.0,,2.0,54.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.2638888888888889,0.4074074074074074,0.3692307692307692,0.2985074626865671,0.2972972972972973,0.2428571428571428,0.0,0.3098591549295774,0.3125,0.3150684931506849,0.217391304347826,0.1875,0.3103448275862069,0.2222222222222222,0.2051282051282051,,0.0,0.1666666666666666,36,11.0,46.0,1.2777777777777777,17.400000000000002,56.2,1.5611111111111111,14.6,3.9,-0.3,0.9,-1.2,0.0852404643449419,0.564,0.5,0.285,0.9,2.6,W (+14),W (+14)
8.0,8.0,2022-10-31,23-205,DET,MIL,1.0,26.85,4.0,9.0,0.444,1.0,4.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,10.0,7.0,-12.0,5.0,3.0,0.6,39,49,2,1,12,34,43,30,45,49,44,14,38,48,21,13,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,1.0,0.7647058823529411,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5483870967741935,0.7678571428571429,0.5769230769230769,0.9,0.6621621621621622,0.6567164179104478,1.0,0.6031746031746031,0.631578947368421,0.5,0.7647058823529411,0.59375,0.0,19,22,24,20,22,19,17,22,26,3,25,23,5,3,9,25,14,8,9,63.0,72.0,54.0,39.0,65.0,67.0,74.0,,2.0,54.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.2638888888888889,0.4074074074074074,0.3692307692307692,0.2985074626865671,0.2972972972972973,0.2428571428571428,0.0,0.3098591549295774,0.3125,0.3150684931506849,0.217391304347826,0.1875,0.3103448275862069,0.2222222222222222,0.2051282051282051,,0.0,0.1666666666666666,36,5.0,77.0,2.138888888888889,6.6,89.89999999999999,2.497222222222222,14.6,3.9,-0.3,0.9,-1.2,0.0852404643449419,0.564,0.5,0.285,0.9,2.6,L (-2),L (-2)
9.0,9.0,2022-11-02,23-207,DET,MIL,1.0,35.11666666666667,5.0,12.0,0.417,3.0,7.0,0.429,9.0,10.0,0.9,0.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,22.0,14.7,-22.0,5.0,2.0,0.4,39,49,2,1,12,34,43,30,45,49,44,14,38,48,21,13,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,1.0,0.7647058823529411,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5483870967741935,0.7678571428571429,0.5769230769230769,0.9,0.6621621621621622,0.6567164179104478,1.0,0.6031746031746031,0.631578947368421,0.5,0.7647058823529411,0.59375,0.0,19,22,24,20,22,19,17,22,26,3,25,23,5,3,9,25,14,8,9,63.0,72.0,54.0,39.0,65.0,67.0,74.0,,2.0,54.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.2638888888888889,0.4074074074074074,0.3692307692307692,0.2985074626865671,0.2972972972972973,0.2428571428571428,0.0,0.3098591549295774,0.3125,0.3150684931506849,0.217391304347826,0.1875,0.3103448275862069,0.2222222222222222,0.2051282051282051,,0.0,0.1666666666666666,36,3.0,81.0,2.25,11.099999999999998,94.3,2.6194444444444445,14.6,3.9,-0.3,0.9,-1.2,0.0852404643449419,0.564,0.5,0.285,0.9,2.6,L (-25),L (-25)
10.0,10.0,2022-11-04,23-209,DET,CLE,1.0,32.3,6.0,13.0,0.462,3.0,7.0,0.429,3.0,3.0,1.0,0.0,4.0,4.0,2.0,3.0,0.0,2.0,0.0,18.0,14.9,-13.0,6.0,3.0,0.5,39,49,2,1,12,34,43,30,45,49,44,14,38,48,21,13,19,51.0,59.0,3.0,10.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,1.0,0.7647058823529411,0.8305084745762712,0.6666666666666666,0.1,1.0,0.5483870967741935,0.7678571428571429,0.5769230769230769,0.9,0.6621621621621622,0.6567164179104478,1.0,0.6031746031746031,0.631578947368421,0.5,0.7647058823529411,0.59375,0.0,19,22,24,20,22,19,17,22,26,3,25,23,5,3,9,25,14,8,9,63.0,72.0,54.0,39.0,65.0,67.0,74.0,,2.0,54.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.2638888888888889,0.4074074074074074,0.3692307692307692,0.2985074626865671,0.2972972972972973,0.2428571428571428,0.0,0.3098591549295774,0.3125,0.3150684931506849,0.217391304347826,0.1875,0.3103448275862069,0.2222222222222222,0.2051282051282051,,0.0,0.1666666666666666,36,9.0,74.0,2.055555555555556,13.7,86.69999999999999,2.408333333333333,14.6,3.9,-0.3,0.9,-1.2,0.0852404643449419,0.564,0.5,0.285,0.9,2.6,L (-24),L (-24)
