Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Derrick Favors,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci
0,1,1,2022-10-19,33-197,ATL,,HOU,W (+10),0,18.533333333333335,1.0,5.0,.200,1.0,4.0,.250,0,0,,0,1,1,3,1,1,0,2,3,3.2,+3,1.0,0.0,0.0,26,24,9,23,23,24,0,1,13,27,5,23,27,25,13,9,12,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.4126984126984127,0.3333333333333333,0.1666666666666666,0.3538461538461538,0.3432835820895522,0.3243243243243243,,0.5,0.3611111111111111,0.3857142857142857,0.5,0.323943661971831,0.3375,0.3424657534246575,0.5652173913043478,0.5625,0.4137931034482758
1,2,2,2022-10-21,33-199,ATL,,ORL,W (+10),0,20.116666666666667,3.0,8.0,.375,3.0,6.0,.500,0,0,,0,1,1,2,1,0,0,2,9,6.5,+2,2.0,0.0,0.0,26,24,9,23,23,24,0,1,13,27,5,23,27,25,13,9,12,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.4126984126984127,0.3333333333333333,0.1666666666666666,0.3538461538461538,0.3432835820895522,0.3243243243243243,,0.5,0.3611111111111111,0.3857142857142857,0.5,0.323943661971831,0.3375,0.3424657534246575,0.5652173913043478,0.5625,0.4137931034482758
2,3,3,2022-10-23,33-201,ATL,,CHO,L (-17),0,17.216666666666665,1.0,7.0,.143,1.0,5.0,.200,0,0,,0,0,0,0,0,1,0,1,3,-1.2,-18,2.0,0.0,0.0,26,24,9,23,23,24,0,1,13,27,5,23,27,25,13,9,12,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.4126984126984127,0.3333333333333333,0.1666666666666666,0.3538461538461538,0.3432835820895522,0.3243243243243243,,0.5,0.3611111111111111,0.3857142857142857,0.5,0.323943661971831,0.3375,0.3424657534246575,0.5652173913043478,0.5625,0.4137931034482758
3,4,4,2022-10-26,33-204,ATL,@,DET,W (+5),0,22.366666666666667,1.0,3.0,.333,0.0,1.0,.000,0,0,,0,3,3,3,0,0,1,1,2,1.9,-3,2.0,1.0,0.5,26,24,9,23,23,24,0,1,13,27,5,23,27,25,13,9,12,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.4126984126984127,0.3333333333333333,0.1666666666666666,0.3538461538461538,0.3432835820895522,0.3243243243243243,,0.5,0.3611111111111111,0.3857142857142857,0.5,0.323943661971831,0.3375,0.3424657534246575,0.5652173913043478,0.5625,0.4137931034482758
4,5,5,2022-10-28,33-206,ATL,@,DET,W (+24),0,25.816666666666666,2.0,8.0,.250,0.0,6.0,.000,0,0,,0,0,0,3,0,0,0,5,4,-0.7,+14,2.0,2.0,1.0,26,24,9,23,23,24,0,1,13,27,5,23,27,25,13,9,12,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.4126984126984127,0.3333333333333333,0.1666666666666666,0.3538461538461538,0.3432835820895522,0.3243243243243243,,0.5,0.3611111111111111,0.3857142857142857,0.5,0.323943661971831,0.3375,0.3424657534246575,0.5652173913043478,0.5625,0.4137931034482758
5,6,6,2022-10-29,33-207,ATL,@,MIL,L (-8),0,12.75,4.0,5.0,.800,2.0,3.0,.667,0,0,,0,0,0,0,0,0,0,4,10,6.5,-1,2.0,2.0,1.0,26,24,9,23,23,24,0,1,13,27,5,23,27,25,13,9,12,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.4126984126984127,0.3333333333333333,0.1666666666666666,0.3538461538461538,0.3432835820895522,0.3243243243243243,,0.5,0.3611111111111111,0.3857142857142857,0.5,0.323943661971831,0.3375,0.3424657534246575,0.5652173913043478,0.5625,0.4137931034482758
6,7,7,2022-10-31,33-209,ATL,@,TOR,L (-30),0,23.733333333333334,5.0,8.0,.625,2.0,4.0,.500,0,0,,0,0,0,1,0,1,0,2,12,9.0,-13,4.0,3.0,0.75,26,24,9,23,23,24,0,1,13,27,5,23,27,25,13,9,12,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.4126984126984127,0.3333333333333333,0.1666666666666666,0.3538461538461538,0.3432835820895522,0.3243243243243243,,0.5,0.3611111111111111,0.3857142857142857,0.5,0.323943661971831,0.3375,0.3424657534246575,0.5652173913043478,0.5625,0.4137931034482758
7,8,8,2022-11-02,33-211,ATL,@,NYK,W (+13),0,14.5,1.0,4.0,.250,1.0,3.0,.333,0,0,,0,1,1,2,0,0,0,1,3,1.9,-11,1.0,0.0,0.0,26,24,9,23,23,24,0,1,13,27,5,23,27,25,13,9,12,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.4126984126984127,0.3333333333333333,0.1666666666666666,0.3538461538461538,0.3432835820895522,0.3243243243243243,,0.5,0.3611111111111111,0.3857142857142857,0.5,0.323943661971831,0.3375,0.3424657534246575,0.5652173913043478,0.5625,0.4137931034482758
8,9,9,2022-11-05,33-214,ATL,,NOP,W (+3),0,16.366666666666667,2.0,7.0,.286,1.0,6.0,.167,0,0,,0,1,1,0,2,0,1,1,5,1.8,-11,1.0,1.0,1.0,26,24,9,23,23,24,0,1,13,27,5,23,27,25,13,9,12,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.4126984126984127,0.3333333333333333,0.1666666666666666,0.3538461538461538,0.3432835820895522,0.3243243243243243,,0.5,0.3611111111111111,0.3857142857142857,0.5,0.323943661971831,0.3375,0.3424657534246575,0.5652173913043478,0.5625,0.4137931034482758
9,10,10,2022-11-07,33-216,ATL,,MIL,W (+19),0,23.0,5.0,10.0,.500,4.0,7.0,.571,0,0,,0,0,0,0,0,0,0,1,14,8.6,+18,3.0,1.0,0.3333333333333333,26,24,9,23,23,24,0,1,13,27,5,23,27,25,13,9,12,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,80.0,73.0,23.0,16.0,29.0,0.4126984126984127,0.3333333333333333,0.1666666666666666,0.3538461538461538,0.3432835820895522,0.3243243243243243,,0.5,0.3611111111111111,0.3857142857142857,0.5,0.323943661971831,0.3375,0.3424657534246575,0.5652173913043478,0.5625,0.4137931034482758
