Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Donovan Williams,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,co_inf with Saddiq Bey,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,,2023-02-24,21-171,ATL,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,85.0,5.0,0.0,106.09999999999998,6.241176470588234,0.000411904,W (+17),W (+17)
12.0,,2023-02-26,21-173,ATL,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,52.0,3.0588235294117645,0.0,69.0,4.0588235294117645,0.000411904,W (+2),W (+2)
13.0,,2023-02-28,21-175,ATL,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,39.0,2.294117647058824,0.0,65.8,3.8705882352941177,0.000411904,L (-3),L (-3)
14.0,,2023-03-03,21-178,ATL,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,67.0,3.941176470588236,0.0,89.29999999999998,5.252941176470587,0.000411904,W (+18),W (+18)
15.0,,2023-03-04,21-179,ATL,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,55.0,3.235294117647059,0.0,73.2,4.305882352941176,0.000411904,L (-8),L (-8)
16.0,,2023-03-06,21-181,ATL,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,79.0,4.647058823529412,0.0,95.0,5.588235294117647,0.000411904,L (-2),L (-2)
17.0,,2023-03-08,21-183,ATL,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,57.0,3.3529411764705883,0.0,71.5,4.205882352941177,0.000411904,W (+2),W (+2)
18.0,,2023-03-10,21-185,ATL,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,87.0,5.117647058823529,0.0,104.9,6.170588235294118,0.000411904,W (+7),W (+7)
19.0,,2023-03-11,21-186,ATL,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,53.0,3.117647058823529,0.0,82.5,4.852941176470588,0.000411904,L (-9),L (-9)
20.0,,2023-03-13,21-188,ATL,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,63.0,72.0,54.0,65.0,67.0,74.0,,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.0317460317460317,0.0277777777777777,0.037037037037037,0.0153846153846153,0.0298507462686567,0.0135135135135135,,0.0555555555555555,0.0285714285714285,0.1,0.0140845070422535,0.0217391304347826,0.025,0.0273972602739726,0.0434782608695652,0.125,0.0689655172413793,2,39.0,54.0,77.0,0.0,0.0,0.0,17,,54.0,3.176470588235294,0.0,68.2,4.011764705882353,0.000411904,L (-21),L (-21)
