Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-09,24-150,ATL,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,85.0,4.473684210526316,0.0,106.09999999999998,5.584210526315789,6.1,-0.1,-5.1,-5.3,0.2,0.005354752,0.424,0.033,0.05,-0.2,-0.2,L (-6),L (-6)
12.0,,2022-11-10,24-151,ATL,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,52.0,2.736842105263158,0.0,69.0,3.631578947368421,6.1,-0.1,-5.1,-5.3,0.2,0.005354752,0.424,0.033,0.05,-0.2,-0.2,W (+9),W (+9)
13.0,,2022-11-12,24-153,ATL,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,39.0,2.0526315789473686,0.0,65.8,3.4631578947368418,6.1,-0.1,-5.1,-5.3,0.2,0.005354752,0.424,0.033,0.05,-0.2,-0.2,L (-12),L (-12)
14.0,,2022-11-14,24-155,ATL,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,67.0,3.526315789473684,0.0,89.29999999999998,4.699999999999999,6.1,-0.1,-5.1,-5.3,0.2,0.005354752,0.424,0.033,0.05,-0.2,-0.2,W (+15),W (+15)
15.0,5.0,2022-11-16,24-157,ATL,BOS,0,5.366666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,+4,0.0,0.0,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,2.0,53.0,2.789473684210526,1.4,71.8,3.778947368421053,6.1,-0.1,-5.1,-5.3,0.2,0.005354752,0.424,0.033,0.05,-0.2,-0.2,L (-25),L (-25)
16.0,,2022-11-19,24-160,ATL,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,79.0,4.157894736842105,0.0,95.0,5.0,6.1,-0.1,-5.1,-5.3,0.2,0.005354752,0.424,0.033,0.05,-0.2,-0.2,W (+2),W (+2)
17.0,,2022-11-21,24-162,ATL,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,57.0,3.0,0.0,71.5,3.763157894736842,6.1,-0.1,-5.1,-5.3,0.2,0.005354752,0.424,0.033,0.05,-0.2,-0.2,L (-12),L (-12)
18.0,,2022-11-23,24-164,ATL,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,87.0,4.578947368421052,0.0,104.9,5.521052631578947,6.1,-0.1,-5.1,-5.3,0.2,0.005354752,0.424,0.033,0.05,-0.2,-0.2,W (+9),W (+9)
19.0,,2022-11-25,24-166,ATL,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,53.0,2.789473684210526,0.0,82.5,4.342105263157895,6.1,-0.1,-5.1,-5.3,0.2,0.005354752,0.424,0.033,0.05,-0.2,-0.2,L (-6),L (-6)
20.0,6.0,2022-11-27,24-168,ATL,MIA,0,12.716666666666669,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.1,+1,1.0,1.0,1.0,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,3.0,51.0,2.6842105263157894,3.1,65.10000000000001,3.426315789473685,6.1,-0.1,-5.1,-5.3,0.2,0.005354752,0.424,0.033,0.05,-0.2,-0.2,L (-8),L (-8)
